,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-11-18 22:35:00,0.111,0.1111,0.1104,0.1108,361534
1,1,2025-11-18 22:40:00,0.1107,0.1114,0.1105,0.1111,462217
2,2,2025-11-18 22:45:00,0.111,0.1115,0.1104,0.111,432315
3,3,2025-11-18 22:50:00,0.111,0.1117,0.1109,0.1116,321337
4,4,2025-11-18 22:55:00,0.1115,0.1122,0.1113,0.112,606333
5,5,2025-11-18 23:00:00,0.112,0.112,0.1112,0.1115,341677
6,6,2025-11-18 23:05:00,0.1115,0.1118,0.1108,0.1114,446275
7,7,2025-11-18 23:10:00,0.1115,0.112,0.1115,0.112,253854
8,8,2025-11-18 23:15:00,0.112,0.1123,0.1116,0.1119,407505
9,9,2025-11-18 23:20:00,0.1118,0.1121,0.1112,0.1121,267510
10,10,2025-11-18 23:25:00,0.1121,0.1127,0.112,0.1121,494912
11,11,2025-11-18 23:30:00,0.1121,0.1125,0.1115,0.1117,375893
12,12,2025-11-18 23:35:00,0.1118,0.1131,0.1118,0.1128,426411
13,13,2025-11-18 23:40:00,0.1128,0.1129,0.1119,0.1123,337056
14,14,2025-11-18 23:45:00,0.1123,0.113,0.1122,0.113,362228
15,15,2025-11-18 23:50:00,0.113,0.1136,0.1123,0.113,779652
16,16,2025-11-18 23:55:00,0.113,0.1131,0.1121,0.1122,286890
17,17,2025-11-19 00:00:00,0.1121,0.1122,0.1111,0.1116,547168
18,18,2025-11-19 00:05:00,0.1115,0.1132,0.1115,0.1127,194777
19,19,2025-11-19 00:10:00,0.1126,0.1134,0.1125,0.1131,368226
20,20,2025-11-19 00:15:00,0.113,0.1134,0.1127,0.1128,381856
21,21,2025-11-19 00:20:00,0.1127,0.1136,0.1125,0.1135,461660
22,22,2025-11-19 00:25:00,0.1134,0.1135,0.113,0.1134,479402
23,23,2025-11-19 00:30:00,0.1134,0.1137,0.1129,0.1133,444505
24,24,2025-11-19 00:35:00,0.1134,0.114,0.1131,0.1131,556720
25,25,2025-11-19 00:40:00,0.1131,0.1133,0.1123,0.1127,342852
26,26,2025-11-19 00:45:00,0.1127,0.1129,0.1123,0.1127,400599
27,27,2025-11-19 00:50:00,0.1127,0.1127,0.1107,0.1107,809321
28,28,2025-11-19 00:55:00,0.1107,0.1112,0.11,0.1105,615768
29,29,2025-11-19 01:00:00,0.1105,0.1105,0.1096,0.1101,457988
30,30,2025-11-19 01:05:00,0.1101,0.1104,0.1098,0.1101,388153
31,31,2025-11-19 01:10:00,0.1101,0.1108,0.1098,0.1102,426263
32,32,2025-11-19 01:15:00,0.1102,0.1115,0.1102,0.1115,465213
33,33,2025-11-19 01:20:00,0.1114,0.112,0.1108,0.1119,384911
34,34,2025-11-19 01:25:00,0.1119,0.112,0.1114,0.1118,227209
35,35,2025-11-19 01:30:00,0.1117,0.1119,0.1115,0.1115,144960
36,36,2025-11-19 01:35:00,0.1114,0.1117,0.111,0.1113,148420
37,37,2025-11-19 01:40:00,0.1113,0.1115,0.1106,0.1111,183434
38,38,2025-11-19 01:45:00,0.1112,0.1113,0.1111,0.1113,98720
