,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-10-14 20:30:00,0.18,0.1956,0.15,0.16109,55913876
1,1,2025-10-14 20:35:00,0.16109,0.17,0.15919,0.16647,26761221
2,2,2025-10-14 20:40:00,0.16658,0.18447,0.16214,0.18244,26788844
3,3,2025-10-14 20:45:00,0.18217,0.185,0.17022,0.17308,23451547
4,4,2025-10-14 20:50:00,0.17288,0.17467,0.16784,0.16934,15954090
5,5,2025-10-14 20:55:00,0.16938,0.16981,0.16126,0.16692,16679687
6,6,2025-10-14 21:00:00,0.16692,0.16698,0.15058,0.15595,46727258
7,7,2025-10-14 21:05:00,0.15597,0.17431,0.15565,0.16615,28979808
8,8,2025-10-14 21:10:00,0.16615,0.16883,0.16351,0.16509,9298168
9,9,2025-10-14 21:15:00,0.165,0.166,0.162,0.1649,8300282
10,10,2025-10-14 21:20:00,0.1649,0.16815,0.16194,0.16194,9516444
11,11,2025-10-14 21:25:00,0.16196,0.16481,0.158,0.15931,9450851
12,12,2025-10-14 21:30:00,0.15931,0.162,0.15816,0.16123,8497285
13,13,2025-10-14 21:35:00,0.16111,0.164,0.15864,0.16394,6894923
14,14,2025-10-14 21:40:00,0.16399,0.16625,0.16,0.1612,7659955
15,15,2025-10-14 21:45:00,0.16108,0.16374,0.16013,0.16229,4409104
16,16,2025-10-14 21:50:00,0.16209,0.1674,0.158,0.16182,9118954
17,17,2025-10-14 21:55:00,0.16191,0.174,0.161,0.16954,13506016
18,18,2025-10-14 22:00:00,0.16963,0.18265,0.16832,0.181,17997818
19,19,2025-10-14 22:05:00,0.18105,0.208,0.17697,0.20283,29042958
20,20,2025-10-14 22:10:00,0.20256,0.2165,0.19056,0.21483,32119110
21,21,2025-10-14 22:15:00,0.21491,0.26622,0.21491,0.25672,57857501
22,22,2025-10-14 22:20:00,0.25671,0.27197,0.2303,0.26821,59036956
23,23,2025-10-14 22:25:00,0.26826,0.27148,0.2531,0.26162,36500211
24,24,2025-10-14 22:30:00,0.26207,0.295,0.2504,0.28954,57509416
25,25,2025-10-14 22:35:00,0.28937,0.30876,0.2805,0.28395,51286794
26,26,2025-10-14 22:40:00,0.28394,0.29414,0.27065,0.27585,30794380
27,27,2025-10-14 22:45:00,0.27605,0.3094,0.26667,0.29985,47570909
