,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-11-27 01:00:00,0.032,0.03952,0.02633,0.037776,194870250
1,1,2025-11-27 01:05:00,0.037788,0.047766,0.037501,0.04524,237906783
2,2,2025-11-27 01:10:00,0.045314,0.0515,0.04422,0.045832,233254304
3,3,2025-11-27 01:15:00,0.0459,0.047331,0.041275,0.042813,195948330
4,4,2025-11-27 01:20:00,0.042816,0.04548,0.0407,0.043143,136833699
5,5,2025-11-27 01:25:00,0.043142,0.048,0.04236,0.04768,114217299
6,6,2025-11-27 01:30:00,0.047678,0.049663,0.041,0.041158,159332366
7,7,2025-11-27 01:35:00,0.041166,0.044143,0.040945,0.043137,115623638
8,8,2025-11-27 01:40:00,0.043134,0.046685,0.0425,0.043403,87426340
9,9,2025-11-27 01:45:00,0.043439,0.045,0.041848,0.043147,83254875
10,10,2025-11-27 01:50:00,0.04315,0.044748,0.041577,0.044162,69406092
11,11,2025-11-27 01:55:00,0.044162,0.0452,0.043485,0.045103,57548487
12,12,2025-11-27 02:00:00,0.045111,0.04641,0.042,0.042397,111829817
13,13,2025-11-27 02:05:00,0.042429,0.043,0.0382,0.039165,157270407
14,14,2025-11-27 02:10:00,0.039162,0.040269,0.037784,0.039513,99387560
15,15,2025-11-27 02:15:00,0.039473,0.04018,0.038556,0.04,46123399
16,16,2025-11-27 02:20:00,0.03997,0.04059,0.038246,0.039602,57076208
17,17,2025-11-27 02:25:00,0.039633,0.043083,0.039611,0.042371,59526987
18,18,2025-11-27 02:30:00,0.042346,0.042997,0.040986,0.042277,46139149
19,19,2025-11-27 02:35:00,0.042251,0.04271,0.041,0.041636,32124258
20,20,2025-11-27 02:40:00,0.04163,0.04384,0.041426,0.04279,57763144
21,21,2025-11-27 02:45:00,0.042809,0.043768,0.0423,0.042707,39892921
22,22,2025-11-27 02:50:00,0.042734,0.043363,0.04122,0.041526,34876588
23,23,2025-11-27 02:55:00,0.041526,0.043,0.041204,0.04292,26127889
24,24,2025-11-27 03:00:00,0.042901,0.044605,0.04249,0.043356,43658672
25,25,2025-11-27 03:05:00,0.043356,0.04375,0.041734,0.042933,39476151
26,26,2025-11-27 03:10:00,0.042932,0.043604,0.042765,0.042952,20183694
27,27,2025-11-27 03:15:00,0.042942,0.042961,0.04162,0.042071,26943704
28,28,2025-11-27 03:20:00,0.042052,0.043383,0.04164,0.042747,20201484
29,29,2025-11-27 03:25:00,0.042735,0.04285,0.041875,0.041875,18630108
30,30,2025-11-27 03:30:00,0.041876,0.0429,0.041366,0.041691,27020394
31,31,2025-11-27 03:35:00,0.041691,0.042413,0.041689,0.042254,16062611
32,32,2025-11-27 03:40:00,0.042259,0.042664,0.042,0.042106,15672325
33,33,2025-11-27 03:45:00,0.042106,0.047653,0.041734,0.046049,75310896
34,34,2025-11-27 03:50:00,0.046034,0.052,0.045679,0.048906,96584242
35,35,2025-11-27 03:55:00,0.04889,0.05236,0.0488,0.049741,76097086
36,36,2025-11-27 04:00:00,0.049744,0.050602,0.047318,0.048066,69606772
37,37,2025-11-27 04:05:00,0.048066,0.0512,0.047818,0.05079,50060319
38,38,2025-11-27 04:10:00,0.050749,0.055649,0.0504,0.055054,94554731
39,39,2025-11-27 04:15:00,0.055055,0.055599,0.051577,0.052741,79845294
40,40,2025-11-27 04:20:00,0.052741,0.0533,0.051227,0.052481,36721296
41,41,2025-11-27 04:25:00,0.052455,0.054975,0.05166,0.052995,41409411
42,42,2025-11-27 04:30:00,0.053013,0.0534,0.05129,0.052437,36203833
43,43,2025-11-27 04:35:00,0.052408,0.052883,0.051557,0.052351,23191387
44,44,2025-11-27 04:40:00,0.052381,0.0525,0.048643,0.050056,68710923
45,45,2025-11-27 04:45:00,0.050117,0.0509,0.049143,0.049701,37875375
46,46,2025-11-27 04:50:00,0.049719,0.05099,0.049637,0.049727,24867882
47,47,2025-11-27 04:55:00,0.049765,0.050152,0.049106,0.049879,19603517
48,48,2025-11-27 05:00:00,0.049897,0.052089,0.049844,0.051285,31296030
49,49,2025-11-27 05:05:00,0.051285,0.052309,0.051079,0.052167,21188323
50,50,2025-11-27 05:10:00,0.0522,0.0525,0.050423,0.050628,24723557
51,51,2025-11-27 05:15:00,0.050613,0.051024,0.046948,0.047961,58088898
52,52,2025-11-27 05:20:00,0.047971,0.048792,0.047662,0.048249,21788519
53,53,2025-11-27 05:25:00,0.048292,0.048946,0.048197,0.048667,14674697
54,54,2025-11-27 05:30:00,0.048659,0.049984,0.045744,0.048209,37951749
55,55,2025-11-27 05:35:00,0.048197,0.048382,0.047352,0.04819,17194088
56,56,2025-11-27 05:40:00,0.04819,0.0491,0.047366,0.0479,19152634
57,57,2025-11-27 05:45:00,0.047919,0.048989,0.047232,0.047579,21304519
58,58,2025-11-27 05:50:00,0.0476,0.048458,0.047408,0.048199,12966380
59,59,2025-11-27 05:55:00,0.048209,0.049078,0.048148,0.048504,13934120
60,60,2025-11-27 06:00:00,0.048491,0.05,0.048491,0.04874,26938866
61,61,2025-11-27 06:05:00,0.048769,0.049365,0.047232,0.048136,23565594
62,62,2025-11-27 06:10:00,0.048121,0.048456,0.047591,0.048402,17750964
63,63,2025-11-27 06:15:00,0.048402,0.0505,0.048049,0.049559,29567398
64,64,2025-11-27 06:20:00,0.049551,0.052698,0.049513,0.052019,50184136
65,65,2025-11-27 06:25:00,0.052026,0.052423,0.049657,0.050209,35614519
66,66,2025-11-27 06:30:00,0.050209,0.051479,0.050003,0.050436,21236841
67,67,2025-11-27 06:35:00,0.050437,0.051679,0.050148,0.050912,20076865
68,68,2025-11-27 06:40:00,0.050898,0.053364,0.050793,0.052259,36365243
69,69,2025-11-27 06:45:00,0.052234,0.052546,0.05132,0.05179,24828961
70,70,2025-11-27 06:50:00,0.051812,0.05209,0.050966,0.051078,16478644
71,71,2025-11-27 06:55:00,0.051067,0.05126,0.047354,0.048326,39793404
72,72,2025-11-27 07:00:00,0.048349,0.049316,0.0442,0.045225,65708607
73,73,2025-11-27 07:05:00,0.04523,0.046375,0.044601,0.045782,36753117
74,74,2025-11-27 07:10:00,0.045782,0.047954,0.0456,0.046954,29541143
75,75,2025-11-27 07:15:00,0.046987,0.047999,0.046411,0.047854,19524371
76,76,2025-11-27 07:20:00,0.047854,0.048945,0.046937,0.047089,29290728
77,77,2025-11-27 07:25:00,0.047129,0.047521,0.046353,0.046956,18486430
78,78,2025-11-27 07:30:00,0.046956,0.0474,0.045642,0.04616,25665897
79,79,2025-11-27 07:35:00,0.046167,0.047342,0.045904,0.047048,15616699
80,80,2025-11-27 07:40:00,0.047044,0.048,0.046537,0.047199,13626083
81,81,2025-11-27 07:45:00,0.047165,0.047796,0.046918,0.047397,8933962
82,82,2025-11-27 07:50:00,0.047362,0.047464,0.046104,0.046954,9442013
83,83,2025-11-27 07:55:00,0.046948,0.047189,0.046458,0.047175,8711814
84,84,2025-11-27 08:00:00,0.047191,0.048471,0.047062,0.048135,20965746
85,85,2025-11-27 08:05:00,0.048135,0.048135,0.0467,0.04737,16980101
86,86,2025-11-27 08:10:00,0.04737,0.04795,0.047083,0.047306,11185538
87,87,2025-11-27 08:15:00,0.047322,0.04742,0.0468,0.046966,9435357
88,88,2025-11-27 08:20:00,0.046961,0.047545,0.046323,0.046344,10948585
89,89,2025-11-27 08:25:00,0.046361,0.046663,0.04525,0.046091,20433013
90,90,2025-11-27 08:30:00,0.046084,0.047666,0.045912,0.047236,13483820
91,91,2025-11-27 08:35:00,0.047256,0.0485,0.046937,0.04738,14886623
92,92,2025-11-27 08:40:00,0.047363,0.04737,0.045734,0.046592,13379500
93,93,2025-11-27 08:45:00,0.046599,0.046797,0.046201,0.046577,7759217
94,94,2025-11-27 08:50:00,0.046569,0.047381,0.046387,0.046845,7330546
95,95,2025-11-27 08:55:00,0.04684,0.046975,0.046409,0.046565,6770538
96,96,2025-11-27 09:00:00,0.046569,0.048256,0.046463,0.048198,16633272
97,97,2025-11-27 09:05:00,0.048199,0.050588,0.047747,0.048378,35211982
98,98,2025-11-27 09:10:00,0.048367,0.0487,0.045048,0.046181,40276049
99,99,2025-11-27 09:15:00,0.046206,0.047099,0.04568,0.046883,18143991
100,100,2025-11-27 09:20:00,0.046884,0.047525,0.0464,0.046478,14606025
101,101,2025-11-27 09:25:00,0.046478,0.046601,0.045528,0.046333,12598742
102,102,2025-11-27 09:30:00,0.046359,0.046777,0.045015,0.045353,18317072
103,103,2025-11-27 09:35:00,0.045358,0.04622,0.04529,0.045564,11642174
104,104,2025-11-27 09:40:00,0.045595,0.046996,0.045492,0.045988,14564929
105,105,2025-11-27 09:45:00,0.045974,0.047297,0.045756,0.04693,15544597
106,106,2025-11-27 09:50:00,0.046911,0.047676,0.046789,0.04694,13336927
