,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-09-27 20:30:00,0.77,0.99,0.7,0.97936,14263979
1,1,2025-09-27 20:35:00,0.9788,1.18047,0.96826,1.0848,13148495
2,2,2025-09-27 20:40:00,1.08478,1.12,0.92977,1.02797,12908881
3,3,2025-09-27 20:45:00,1.02794,1.12202,1.01201,1.06598,8563812
4,4,2025-09-27 20:50:00,1.06597,1.07777,0.97825,1.03001,6906743
5,5,2025-09-27 20:55:00,1.03001,1.115,1.01027,1.06679,6299576
6,6,2025-09-27 21:00:00,1.0651,1.22222,1.03785,1.21238,9362666
7,7,2025-09-27 21:05:00,1.21241,1.33,1.15943,1.3064,9829331
8,8,2025-09-27 21:10:00,1.30641,1.32872,1.23456,1.2589,8467612
9,9,2025-09-27 21:15:00,1.25816,1.32,1.23456,1.26244,6488347
10,10,2025-09-27 21:20:00,1.26244,1.26413,1.0613,1.13801,12647580
11,11,2025-09-27 21:25:00,1.13748,1.14851,1.0222,1.04988,8490898
12,12,2025-09-27 21:30:00,1.04981,1.144,1.04,1.12099,6842165
13,13,2025-09-27 21:35:00,1.12099,1.21,1.11,1.13925,7458516
14,14,2025-09-27 21:40:00,1.14007,1.18369,1.10346,1.13396,5070105
15,15,2025-09-27 21:45:00,1.13512,1.169,1.10959,1.14371,3914098
16,16,2025-09-27 21:50:00,1.14349,1.1976,1.13306,1.16164,4190305
17,17,2025-09-27 21:55:00,1.16165,1.17482,1.13,1.172,3027407
18,18,2025-09-27 22:00:00,1.17136,1.19711,1.10889,1.13334,5693687
19,19,2025-09-27 22:05:00,1.13335,1.14919,1.05451,1.09699,6419551
20,20,2025-09-27 22:10:00,1.09698,1.11523,1.07,1.10142,3609175
21,21,2025-09-27 22:15:00,1.10226,1.12,1.0166,1.04861,6569689
22,22,2025-09-27 22:20:00,1.04776,1.06937,0.97667,0.97924,7985898
23,23,2025-09-27 22:25:00,0.97833,0.99146,0.93133,0.95907,8437000
24,24,2025-09-27 22:30:00,0.95847,0.96329,0.89,0.89289,9512982
25,25,2025-09-27 22:35:00,0.89249,0.99389,0.89248,0.98363,9539101
26,26,2025-09-27 22:40:00,0.98383,0.99069,0.9187,0.95246,5733400
27,27,2025-09-27 22:45:00,0.95244,0.97685,0.91601,0.94318,5170522
28,28,2025-09-27 22:50:00,0.9424,0.94866,0.89539,0.90109,4569726
29,29,2025-09-27 22:55:00,0.90109,0.92317,0.87812,0.91524,6002704
30,30,2025-09-27 23:00:00,0.91462,0.94599,0.9025,0.93473,5190323
31,31,2025-09-27 23:05:00,0.93405,0.966,0.93263,0.93717,4467350
32,32,2025-09-27 23:10:00,0.93618,0.9682,0.93586,0.95134,2626334
33,33,2025-09-27 23:15:00,0.95078,0.96369,0.922,0.94575,3151229
