,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-10-01 17:00:00,0.0507,0.0507,0.03007,0.0422,191501170
1,1,2025-10-01 17:05:00,0.0422,0.04415,0.03858,0.03882,142345930
2,2,2025-10-01 17:10:00,0.03882,0.04266,0.03876,0.03978,124131990
3,3,2025-10-01 17:15:00,0.03984,0.04185,0.03804,0.03873,157563883
4,4,2025-10-01 17:20:00,0.03871,0.042,0.03848,0.03946,129884536
5,5,2025-10-01 17:25:00,0.03943,0.04129,0.03913,0.04015,82482702
6,6,2025-10-01 17:30:00,0.04013,0.04165,0.03964,0.04063,74729136
7,7,2025-10-01 17:35:00,0.04064,0.0427,0.0396,0.04167,75029598
8,8,2025-10-01 17:40:00,0.04166,0.04217,0.04037,0.04062,63182623
9,9,2025-10-01 17:45:00,0.04063,0.04227,0.0403,0.04204,61858667
10,10,2025-10-01 17:50:00,0.04208,0.04372,0.04117,0.04261,78839543
11,11,2025-10-01 17:55:00,0.04263,0.04339,0.04174,0.04315,40137875
12,12,2025-10-01 18:00:00,0.04312,0.04588,0.04254,0.04536,114505125
13,13,2025-10-01 18:05:00,0.04536,0.04849,0.04455,0.0461,154637789
14,14,2025-10-01 18:10:00,0.0461,0.04642,0.04302,0.04431,128903375
15,15,2025-10-01 18:15:00,0.04434,0.04498,0.04,0.04054,190509910
16,16,2025-10-01 18:20:00,0.04052,0.04155,0.0396,0.04137,102669041
17,17,2025-10-01 18:25:00,0.04136,0.043,0.04101,0.04196,98715147
18,18,2025-10-01 18:30:00,0.04198,0.04269,0.0411,0.04188,58926697
19,19,2025-10-01 18:35:00,0.04189,0.04389,0.04155,0.04171,69842888
20,20,2025-10-01 18:40:00,0.0417,0.0422,0.04012,0.04032,61693645
21,21,2025-10-01 18:45:00,0.04032,0.04097,0.03906,0.04026,109124831
22,22,2025-10-01 18:50:00,0.04029,0.04148,0.04003,0.04078,39634816
23,23,2025-10-01 18:55:00,0.04078,0.04096,0.03926,0.04008,49042323
24,24,2025-10-01 19:00:00,0.04006,0.04117,0.0396,0.04095,59030344
25,25,2025-10-01 19:05:00,0.04093,0.04219,0.04076,0.04179,62144756
26,26,2025-10-01 19:10:00,0.04174,0.04208,0.04043,0.04062,49043397
27,27,2025-10-01 19:15:00,0.04063,0.04219,0.0406,0.04167,49733227
28,28,2025-10-01 19:20:00,0.04164,0.04361,0.0412,0.04279,74260623
29,29,2025-10-01 19:25:00,0.04278,0.04333,0.04131,0.04185,50765610
30,30,2025-10-01 19:30:00,0.04184,0.04275,0.04173,0.04245,35922120
31,31,2025-10-01 19:35:00,0.04245,0.0425,0.04064,0.04128,51944393
32,32,2025-10-01 19:40:00,0.04128,0.04227,0.04128,0.04175,32082077
33,33,2025-10-01 19:45:00,0.04173,0.04225,0.0402,0.04121,48380605
