,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-09-26 21:45:00,0.22274,0.22434,0.2,0.21168,19205201
1,1,2025-09-26 21:50:00,0.21168,0.2124,0.17825,0.20536,21517995
2,2,2025-09-26 21:55:00,0.20481,0.216,0.20003,0.21197,11892158
3,3,2025-09-26 22:00:00,0.21196,0.2382,0.21049,0.23005,13501391
4,4,2025-09-26 22:05:00,0.23005,0.23575,0.22129,0.22222,7736141
5,5,2025-09-26 22:10:00,0.22213,0.23593,0.22213,0.23364,3521090
6,6,2025-09-26 22:15:00,0.23362,0.24355,0.22537,0.23183,7759092
7,7,2025-09-26 22:20:00,0.23176,0.23338,0.22367,0.22586,4728362
8,8,2025-09-26 22:25:00,0.22573,0.22862,0.22395,0.22599,2186811
9,9,2025-09-26 22:30:00,0.22599,0.22863,0.21712,0.22219,4159017
10,10,2025-09-26 22:35:00,0.22224,0.22689,0.22208,0.2251,2504748
11,11,2025-09-26 22:40:00,0.22509,0.22737,0.22024,0.222,1743927
12,12,2025-09-26 22:45:00,0.2219,0.22201,0.21615,0.21856,3613731
13,13,2025-09-26 22:50:00,0.21867,0.22019,0.21321,0.21616,4408789
14,14,2025-09-26 22:55:00,0.21617,0.2234,0.21556,0.22232,3770686
15,15,2025-09-26 23:00:00,0.22216,0.22245,0.21654,0.22083,3094658
16,16,2025-09-26 23:05:00,0.22082,0.22253,0.21639,0.22127,3125604
17,17,2025-09-26 23:10:00,0.22125,0.222,0.21748,0.21904,2039317
18,18,2025-09-26 23:15:00,0.21896,0.22587,0.21834,0.22419,3837415
19,19,2025-09-26 23:20:00,0.22418,0.22593,0.22038,0.22243,4038307
20,20,2025-09-26 23:25:00,0.22267,0.22282,0.21269,0.21318,4853785
21,21,2025-09-26 23:30:00,0.21325,0.21647,0.21148,0.21573,4425054
22,22,2025-09-26 23:35:00,0.21567,0.21763,0.21433,0.21663,1924790
23,23,2025-09-26 23:40:00,0.21657,0.21835,0.21457,0.21523,1668759
24,24,2025-09-26 23:45:00,0.21513,0.21718,0.21162,0.21603,3512926
25,25,2025-09-26 23:50:00,0.21606,0.22916,0.21492,0.22566,6751922
26,26,2025-09-26 23:55:00,0.22569,0.23,0.2232,0.22814,3803786
27,27,2025-09-27 00:00:00,0.22831,0.23349,0.22661,0.2322,3224151
28,28,2025-09-27 00:05:00,0.23215,0.25328,0.23049,0.25165,12732610
29,29,2025-09-27 00:10:00,0.25149,0.25272,0.23691,0.24177,10434508
30,30,2025-09-27 00:15:00,0.24175,0.24604,0.23701,0.24241,5508070
31,31,2025-09-27 00:20:00,0.24241,0.24241,0.22681,0.23311,7298483
32,32,2025-09-27 00:25:00,0.23311,0.23626,0.23025,0.23626,3117239
33,33,2025-09-27 00:30:00,0.23619,0.2371,0.22872,0.23072,2666694
34,34,2025-09-27 00:35:00,0.23068,0.23376,0.22912,0.23296,2003092
35,35,2025-09-27 00:40:00,0.23276,0.23849,0.2321,0.23343,3065619
36,36,2025-09-27 00:45:00,0.23343,0.23594,0.2312,0.23369,1417237
37,37,2025-09-27 00:50:00,0.23387,0.23804,0.23236,0.23665,2027252
38,38,2025-09-27 00:55:00,0.23688,0.23708,0.22995,0.23135,2485449
39,39,2025-09-27 01:00:00,0.23116,0.23315,0.22397,0.22852,4050534
40,40,2025-09-27 01:05:00,0.22878,0.231,0.22734,0.22967,1797750
41,41,2025-09-27 01:10:00,0.22961,0.22961,0.22604,0.22604,1431171
42,42,2025-09-27 01:15:00,0.22627,0.23404,0.2244,0.23242,3237637
43,43,2025-09-27 01:20:00,0.2324,0.23584,0.23053,0.23218,2477628
44,44,2025-09-27 01:25:00,0.2322,0.23231,0.22648,0.22848,1777128
45,45,2025-09-27 01:30:00,0.22857,0.23456,0.22823,0.23391,2151332
46,46,2025-09-27 01:35:00,0.23385,0.23689,0.23272,0.23553,2096191
47,47,2025-09-27 01:40:00,0.23556,0.23563,0.22934,0.23149,2608747
48,48,2025-09-27 01:45:00,0.23149,0.2368,0.23029,0.23642,1586833
49,49,2025-09-27 01:50:00,0.23642,0.23649,0.23343,0.23628,1315717
50,50,2025-09-27 01:55:00,0.2362,0.23824,0.23514,0.23538,1881974
51,51,2025-09-27 02:00:00,0.23524,0.23589,0.23201,0.23498,1861132
52,52,2025-09-27 02:05:00,0.23485,0.2369,0.23217,0.23652,1533050
53,53,2025-09-27 02:10:00,0.23649,0.24098,0.23622,0.23858,2657363
54,54,2025-09-27 02:15:00,0.2384,0.24048,0.23517,0.23572,1578113
