,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-11-18 22:35:00,0.1881,0.1882,0.1854,0.1869,1129833
1,1,2025-11-18 22:40:00,0.187,0.1897,0.1866,0.1889,1302340
2,2,2025-11-18 22:45:00,0.1889,0.1902,0.1886,0.1894,918806
3,3,2025-11-18 22:50:00,0.1895,0.1916,0.188,0.1907,1419048
4,4,2025-11-18 22:55:00,0.1907,0.1908,0.1893,0.1899,1024063
5,5,2025-11-18 23:00:00,0.1899,0.1902,0.1879,0.188,1207342
6,6,2025-11-18 23:05:00,0.1879,0.1882,0.1868,0.1871,848039
7,7,2025-11-18 23:10:00,0.1872,0.1879,0.187,0.1873,511260
8,8,2025-11-18 23:15:00,0.1874,0.1875,0.1859,0.1868,674506
9,9,2025-11-18 23:20:00,0.1867,0.1883,0.1861,0.188,583954
10,10,2025-11-18 23:25:00,0.1881,0.1896,0.1874,0.1887,948548
11,11,2025-11-18 23:30:00,0.1887,0.1899,0.1864,0.189,2223291
12,12,2025-11-18 23:35:00,0.1891,0.191,0.189,0.1896,1720494
13,13,2025-11-18 23:40:00,0.1895,0.19,0.1876,0.1879,1100044
14,14,2025-11-18 23:45:00,0.188,0.189,0.1869,0.1884,1020116
15,15,2025-11-18 23:50:00,0.1885,0.189,0.1871,0.1877,608928
16,16,2025-11-18 23:55:00,0.1878,0.1878,0.1859,0.186,875794
17,17,2025-11-19 00:00:00,0.186,0.1906,0.1844,0.1896,3206614
18,18,2025-11-19 00:05:00,0.1896,0.1988,0.1895,0.198,5268429
19,19,2025-11-19 00:10:00,0.1981,0.2015,0.1973,0.2,3256648
20,20,2025-11-19 00:15:00,0.2001,0.203,0.1997,0.2004,2123768
21,21,2025-11-19 00:20:00,0.2005,0.2052,0.2005,0.2031,3652684
22,22,2025-11-19 00:25:00,0.2031,0.2048,0.2016,0.2041,1679863
23,23,2025-11-19 00:30:00,0.2041,0.2044,0.2013,0.2018,1640147
24,24,2025-11-19 00:35:00,0.2018,0.2038,0.2018,0.2031,1029491
25,25,2025-11-19 00:40:00,0.2031,0.2031,0.1994,0.1999,1885749
26,26,2025-11-19 00:45:00,0.2,0.2022,0.1977,0.2016,3265598
27,27,2025-11-19 00:50:00,0.2016,0.2017,0.199,0.2002,1618418
28,28,2025-11-19 00:55:00,0.2002,0.201,0.1991,0.1995,754854
29,29,2025-11-19 01:00:00,0.1996,0.1996,0.1961,0.1962,2405613
30,30,2025-11-19 01:05:00,0.1963,0.1992,0.1954,0.199,1465308
31,31,2025-11-19 01:10:00,0.199,0.1992,0.1978,0.1981,860043
32,32,2025-11-19 01:15:00,0.1981,0.2006,0.1981,0.2,1413912
33,33,2025-11-19 01:20:00,0.2,0.202,0.1987,0.1997,1874166
34,34,2025-11-19 01:25:00,0.1997,0.2015,0.199,0.1997,1626946
35,35,2025-11-19 01:30:00,0.1997,0.2031,0.1996,0.2009,1355970
36,36,2025-11-19 01:35:00,0.2009,0.2016,0.1997,0.2004,728317
37,37,2025-11-19 01:40:00,0.2005,0.2011,0.1985,0.199,1002423
38,38,2025-11-19 01:45:00,0.1992,0.1997,0.1984,0.199,622942
