,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-09-30 21:00:00,0.165,0.1888,0.1328,0.1855,86707100
1,1,2025-09-30 21:05:00,0.1855,0.1875,0.15511,0.15799,51397340
2,2,2025-09-30 21:10:00,0.15799,0.18018,0.13831,0.1652,87443105
3,3,2025-09-30 21:15:00,0.16499,0.17777,0.15605,0.17277,36161481
4,4,2025-09-30 21:20:00,0.17242,0.175,0.1592,0.17031,35375467
5,5,2025-09-30 21:25:00,0.17047,0.18484,0.17,0.18427,33422934
6,6,2025-09-30 21:30:00,0.18409,0.208,0.18401,0.1964,63309337
7,7,2025-09-30 21:35:00,0.19632,0.20939,0.1932,0.20357,36525028
8,8,2025-09-30 21:40:00,0.20355,0.20565,0.18817,0.1977,35276212
9,9,2025-09-30 21:45:00,0.19786,0.20853,0.19013,0.19052,42242075
10,10,2025-09-30 21:50:00,0.19052,0.19206,0.16694,0.17193,62216271
11,11,2025-09-30 21:55:00,0.17217,0.186,0.16901,0.18181,28428257
12,12,2025-09-30 22:00:00,0.18181,0.19,0.17312,0.18668,30949012
13,13,2025-09-30 22:05:00,0.1864,0.1895,0.17363,0.1768,28445587
14,14,2025-09-30 22:10:00,0.17672,0.17672,0.16666,0.16941,35859331
15,15,2025-09-30 22:15:00,0.16926,0.17149,0.15724,0.16398,41974381
16,16,2025-09-30 22:20:00,0.16408,0.1739,0.16156,0.17076,27344486
17,17,2025-09-30 22:25:00,0.17066,0.17293,0.16512,0.17012,19452203
18,18,2025-09-30 22:30:00,0.17015,0.17513,0.15953,0.16028,34936263
19,19,2025-09-30 22:35:00,0.1604,0.167,0.153,0.1542,31927080
20,20,2025-09-30 22:40:00,0.1542,0.15889,0.148,0.1519,33843803
21,21,2025-09-30 22:45:00,0.15189,0.15833,0.14909,0.15369,26311835
22,22,2025-09-30 22:50:00,0.15369,0.15815,0.14941,0.14988,20794097
23,23,2025-09-30 22:55:00,0.14977,0.1555,0.14821,0.1553,14523746
24,24,2025-09-30 23:00:00,0.15529,0.16377,0.15488,0.16001,24223251
25,25,2025-09-30 23:05:00,0.15991,0.16671,0.15325,0.16599,18904220
26,26,2025-09-30 23:10:00,0.16589,0.17637,0.16407,0.17441,31630123
27,27,2025-09-30 23:15:00,0.17439,0.1782,0.167,0.16777,22918525
28,28,2025-09-30 23:20:00,0.16769,0.17135,0.16585,0.16629,14574383
29,29,2025-09-30 23:25:00,0.16639,0.16957,0.16289,0.16698,16781835
30,30,2025-09-30 23:30:00,0.16705,0.17237,0.16311,0.16454,15424490
31,31,2025-09-30 23:35:00,0.16453,0.17165,0.16289,0.16832,14127905
32,32,2025-09-30 23:40:00,0.16845,0.18315,0.16838,0.18159,26279727
33,33,2025-09-30 23:45:00,0.18163,0.19239,0.1788,0.18877,38210154
34,34,2025-09-30 23:50:00,0.18879,0.18986,0.17367,0.17877,29549319
35,35,2025-09-30 23:55:00,0.17877,0.18276,0.174,0.17945,16766085
36,36,2025-10-01 00:00:00,0.17939,0.17959,0.16416,0.16614,27836667
37,37,2025-10-01 00:05:00,0.16615,0.16672,0.15729,0.16213,26465556
