,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-09-29 19:30:00,0.13,0.16406,0.13,0.14431,88780940
1,1,2025-09-29 19:35:00,0.14462,0.1526,0.14093,0.14636,42802932
2,2,2025-09-29 19:40:00,0.14641,0.164,0.143,0.16225,58067023
3,3,2025-09-29 19:45:00,0.16182,0.175,0.15676,0.16211,69119615
4,4,2025-09-29 19:50:00,0.16216,0.16564,0.1525,0.15922,46425145
5,5,2025-09-29 19:55:00,0.15924,0.165,0.148,0.1504,38689235
6,6,2025-09-29 20:00:00,0.15035,0.1589,0.148,0.15085,33092993
7,7,2025-09-29 20:05:00,0.15071,0.16,0.14895,0.15672,23783100
8,8,2025-09-29 20:10:00,0.15674,0.16553,0.15519,0.15757,28802382
9,9,2025-09-29 20:15:00,0.15763,0.15859,0.15242,0.15491,17750796
10,10,2025-09-29 20:20:00,0.15485,0.15485,0.14788,0.14952,21927179
11,11,2025-09-29 20:25:00,0.14952,0.14958,0.142,0.14625,29192694
12,12,2025-09-29 20:30:00,0.14618,0.15088,0.141,0.14819,24433084
13,13,2025-09-29 20:35:00,0.14819,0.15157,0.14662,0.15041,14107884
14,14,2025-09-29 20:40:00,0.1504,0.1523,0.1433,0.15034,20054953
15,15,2025-09-29 20:45:00,0.15035,0.152,0.14681,0.14918,14358821
16,16,2025-09-29 20:50:00,0.14914,0.15639,0.14891,0.15376,19959384
17,17,2025-09-29 20:55:00,0.15376,0.15507,0.14805,0.14925,13991902
18,18,2025-09-29 21:00:00,0.14922,0.15218,0.1445,0.14998,17206739
19,19,2025-09-29 21:05:00,0.14998,0.16,0.14907,0.15701,26151911
20,20,2025-09-29 21:10:00,0.15701,0.175,0.15343,0.17126,45390268
21,21,2025-09-29 21:15:00,0.17126,0.18663,0.16865,0.17653,55657136
22,22,2025-09-29 21:20:00,0.17656,0.17664,0.16402,0.17075,28478264
23,23,2025-09-29 21:25:00,0.17075,0.1725,0.16608,0.17078,16013020
24,24,2025-09-29 21:30:00,0.1707,0.17588,0.16606,0.17163,29710820
25,25,2025-09-29 21:35:00,0.17164,0.17692,0.17087,0.17368,24054952
26,26,2025-09-29 21:40:00,0.17368,0.18302,0.17173,0.17985,38829835
27,27,2025-09-29 21:45:00,0.17978,0.18417,0.17723,0.17781,27108546
28,28,2025-09-29 21:50:00,0.1777,0.18286,0.17513,0.18014,26656868
29,29,2025-09-29 21:55:00,0.18019,0.18793,0.178,0.18156,31488269
30,30,2025-09-29 22:00:00,0.18145,0.196,0.17801,0.19418,54224824
31,31,2025-09-29 22:05:00,0.19417,0.2084,0.19224,0.20398,68963503
32,32,2025-09-29 22:10:00,0.20384,0.2053,0.1975,0.20185,36081477
33,33,2025-09-29 22:15:00,0.20189,0.20688,0.196,0.20035,42266510
34,34,2025-09-29 22:20:00,0.20033,0.215,0.19606,0.21241,57958121
35,35,2025-09-29 22:25:00,0.21241,0.21559,0.2088,0.21112,33703234
36,36,2025-09-29 22:30:00,0.2111,0.2126,0.18703,0.19521,74015432
37,37,2025-09-29 22:35:00,0.19522,0.19892,0.1905,0.19388,27402000
38,38,2025-09-29 22:40:00,0.19379,0.208,0.1915,0.2042,31236730
39,39,2025-09-29 22:45:00,0.20404,0.20628,0.19784,0.2025,24114744
40,40,2025-09-29 22:50:00,0.20257,0.205,0.19837,0.20353,16552621
41,41,2025-09-29 22:55:00,0.2035,0.2125,0.20297,0.20571,27585099
42,42,2025-09-29 23:00:00,0.20555,0.231,0.20423,0.23008,56802075
43,43,2025-09-29 23:05:00,0.23036,0.23475,0.21925,0.23045,48317429
44,44,2025-09-29 23:10:00,0.23046,0.23456,0.22437,0.22728,28114032
45,45,2025-09-29 23:15:00,0.22732,0.24177,0.22536,0.23689,46601921
46,46,2025-09-29 23:20:00,0.23687,0.238,0.21663,0.22708,53693858
47,47,2025-09-29 23:25:00,0.22706,0.23308,0.22246,0.22515,27637642
48,48,2025-09-29 23:30:00,0.22534,0.22994,0.21307,0.21468,39466637
49,49,2025-09-29 23:35:00,0.2146,0.21843,0.201,0.21375,42885634
50,50,2025-09-29 23:40:00,0.21361,0.21373,0.196,0.20064,41473794
51,51,2025-09-29 23:45:00,0.20062,0.20461,0.1896,0.19685,47945780
52,52,2025-09-29 23:50:00,0.19692,0.22,0.19674,0.21543,44406117
53,53,2025-09-29 23:55:00,0.21543,0.225,0.21309,0.21972,31688565
54,54,2025-09-30 00:00:00,0.21996,0.22538,0.21391,0.21706,33995730
55,55,2025-09-30 00:05:00,0.21711,0.21976,0.21068,0.21453,20261053
56,56,2025-09-30 00:10:00,0.21448,0.23379,0.21413,0.23294,34610597
57,57,2025-09-30 00:15:00,0.23286,0.238,0.223,0.226,36983441
58,58,2025-09-30 00:20:00,0.22625,0.22878,0.21944,0.224,25910854
59,59,2025-09-30 00:25:00,0.224,0.2265,0.22132,0.22368,13990106
60,60,2025-09-30 00:30:00,0.22355,0.2239,0.20618,0.20975,35537008
61,61,2025-09-30 00:35:00,0.20968,0.21852,0.20968,0.21529,19506090
62,62,2025-09-30 00:40:00,0.21525,0.21777,0.214,0.21614,11088434
63,63,2025-09-30 00:45:00,0.21615,0.22759,0.21466,0.22046,23693639
64,64,2025-09-30 00:50:00,0.2204,0.22331,0.21126,0.21355,17580456
65,65,2025-09-30 00:55:00,0.21349,0.21794,0.20852,0.20945,15733171
66,66,2025-09-30 01:00:00,0.20938,0.21599,0.20668,0.21377,23555502
67,67,2025-09-30 01:05:00,0.21383,0.22099,0.21201,0.2183,19546123
68,68,2025-09-30 01:10:00,0.21825,0.22497,0.21754,0.22103,21709889
69,69,2025-09-30 01:15:00,0.22102,0.22636,0.21684,0.21869,17038321
70,70,2025-09-30 01:20:00,0.21868,0.23172,0.21573,0.22625,30941670
71,71,2025-09-30 01:25:00,0.22632,0.235,0.225,0.23313,27021911
72,72,2025-09-30 01:30:00,0.23298,0.25457,0.229,0.25176,72025151
73,73,2025-09-30 01:35:00,0.25178,0.25675,0.24072,0.2442,48892398
74,74,2025-09-30 01:40:00,0.2442,0.26073,0.24377,0.256,44361988
75,75,2025-09-30 01:45:00,0.25583,0.25759,0.24505,0.24778,34559484
76,76,2025-09-30 01:50:00,0.24778,0.24994,0.24353,0.24759,19262150
77,77,2025-09-30 01:55:00,0.24756,0.2497,0.238,0.24667,30656014
78,78,2025-09-30 02:00:00,0.24664,0.25225,0.24577,0.24916,22986563
79,79,2025-09-30 02:05:00,0.24918,0.2525,0.24201,0.24387,23142394
80,80,2025-09-30 02:10:00,0.24386,0.253,0.24285,0.24674,23894368
81,81,2025-09-30 02:15:00,0.2467,0.26,0.24494,0.25569,24821282
82,82,2025-09-30 02:20:00,0.25562,0.26,0.24416,0.24935,29941292
83,83,2025-09-30 02:25:00,0.2494,0.25026,0.24011,0.24767,22637810
84,84,2025-09-30 02:30:00,0.24767,0.2493,0.24437,0.24659,10727995
85,85,2025-09-30 02:35:00,0.24654,0.2483,0.23929,0.24277,20832034
86,86,2025-09-30 02:40:00,0.24281,0.24339,0.22331,0.22922,53183640
87,87,2025-09-30 02:45:00,0.22935,0.2345,0.22632,0.23155,20605229
88,88,2025-09-30 02:50:00,0.23146,0.23315,0.22812,0.2297,10898041
89,89,2025-09-30 02:55:00,0.22967,0.23821,0.22925,0.23566,16088561
90,90,2025-09-30 03:00:00,0.23567,0.23659,0.2164,0.22315,29350020
91,91,2025-09-30 03:05:00,0.22321,0.22665,0.21349,0.21612,22213375
92,92,2025-09-30 03:10:00,0.2161,0.22434,0.21578,0.22106,17711240
93,93,2025-09-30 03:15:00,0.22101,0.22167,0.2155,0.21936,13535168
94,94,2025-09-30 03:20:00,0.21936,0.226,0.2192,0.22106,14101251
95,95,2025-09-30 03:25:00,0.22108,0.2235,0.21972,0.22077,7208061
96,96,2025-09-30 03:30:00,0.22071,0.22797,0.22064,0.22494,12325183
97,97,2025-09-30 03:35:00,0.22493,0.2406,0.22307,0.23473,38822933
98,98,2025-09-30 03:40:00,0.23485,0.2382,0.23031,0.23411,17658365
99,99,2025-09-30 03:45:00,0.23416,0.23705,0.2308,0.23268,12673121
100,100,2025-09-30 03:50:00,0.2327,0.23548,0.22843,0.23288,11588933
101,101,2025-09-30 03:55:00,0.23298,0.23298,0.22904,0.22988,7024160
102,102,2025-09-30 04:00:00,0.22986,0.23371,0.22409,0.23075,17039620
103,103,2025-09-30 04:05:00,0.23079,0.23198,0.22636,0.22851,7579294
104,104,2025-09-30 04:10:00,0.22855,0.23688,0.22825,0.23332,13313533
105,105,2025-09-30 04:15:00,0.23331,0.23396,0.23107,0.23293,5445077
106,106,2025-09-30 04:20:00,0.23285,0.2356,0.23025,0.2313,8764930
107,107,2025-09-30 04:25:00,0.2312,0.23142,0.226,0.22788,10447955
108,108,2025-09-30 04:30:00,0.22795,0.23154,0.2212,0.22422,12706457
109,109,2025-09-30 04:35:00,0.2243,0.22609,0.2202,0.2214,11091810
110,110,2025-09-30 04:40:00,0.2214,0.225,0.22078,0.22452,8243988
111,111,2025-09-30 04:45:00,0.2245,0.22486,0.22128,0.22301,6129147
112,112,2025-09-30 04:50:00,0.22315,0.22466,0.21928,0.22297,9653531
113,113,2025-09-30 04:55:00,0.22292,0.22821,0.22289,0.22476,11054222
114,114,2025-09-30 05:00:00,0.22478,0.22481,0.21969,0.22278,10141433
115,115,2025-09-30 05:05:00,0.22272,0.227,0.218,0.21911,13041284
116,116,2025-09-30 05:10:00,0.21911,0.22251,0.21723,0.22202,12297024
117,117,2025-09-30 05:15:00,0.22204,0.2243,0.21629,0.21934,12082864
118,118,2025-09-30 05:20:00,0.21934,0.224,0.21934,0.22144,6646702
119,119,2025-09-30 05:25:00,0.22144,0.22397,0.22001,0.22186,4897853
120,120,2025-09-30 05:30:00,0.22186,0.23086,0.22174,0.22745,15660125
121,121,2025-09-30 05:35:00,0.22747,0.22938,0.22504,0.22736,6921405
122,122,2025-09-30 05:40:00,0.22736,0.24141,0.22668,0.23645,16135463
123,123,2025-09-30 05:45:00,0.23656,0.23869,0.23233,0.23427,10452077
124,124,2025-09-30 05:50:00,0.23431,0.23713,0.232,0.23411,7725500
125,125,2025-09-30 05:55:00,0.23411,0.24419,0.2332,0.23807,14423620
126,126,2025-09-30 06:00:00,0.23807,0.2408,0.23608,0.23953,7764212
127,127,2025-09-30 06:05:00,0.2395,0.24285,0.23288,0.23473,10309159
128,128,2025-09-30 06:10:00,0.23474,0.24115,0.234,0.2392,7276828
129,129,2025-09-30 06:15:00,0.23911,0.24332,0.236,0.23853,11811034
130,130,2025-09-30 06:20:00,0.23861,0.24021,0.23677,0.23707,4267264
131,131,2025-09-30 06:25:00,0.23707,0.23836,0.23318,0.23728,6705355
132,132,2025-09-30 06:30:00,0.2374,0.23984,0.22906,0.23291,13484244
133,133,2025-09-30 06:35:00,0.23291,0.23737,0.23249,0.23505,7576730
134,134,2025-09-30 06:40:00,0.23498,0.23498,0.2322,0.23313,3561848
135,135,2025-09-30 06:45:00,0.23318,0.236,0.23309,0.23505,3223160
136,136,2025-09-30 06:50:00,0.23502,0.23964,0.235,0.23597,3574826
137,137,2025-09-30 06:55:00,0.23597,0.2368,0.23551,0.23593,2189853
138,138,2025-09-30 07:00:00,0.23593,0.23597,0.22784,0.23092,11321857
139,139,2025-09-30 07:05:00,0.23093,0.23691,0.23078,0.23417,7989203
140,140,2025-09-30 07:10:00,0.2342,0.23969,0.23384,0.23752,5843568
141,141,2025-09-30 07:15:00,0.23763,0.24188,0.2373,0.23958,6455225
142,142,2025-09-30 07:20:00,0.23959,0.24062,0.23589,0.24023,6047188
143,143,2025-09-30 07:25:00,0.24029,0.24977,0.23952,0.24587,10229990
144,144,2025-09-30 07:30:00,0.24571,0.25664,0.2442,0.25285,17017204
145,145,2025-09-30 07:35:00,0.25278,0.25697,0.25023,0.25351,11851256
146,146,2025-09-30 07:40:00,0.25351,0.2539,0.24232,0.24533,13339611
147,147,2025-09-30 07:45:00,0.24547,0.25054,0.24114,0.24635,9334162
148,148,2025-09-30 07:50:00,0.24632,0.24805,0.242,0.24464,6383001
149,149,2025-09-30 07:55:00,0.24467,0.24848,0.24267,0.24602,5141428
150,150,2025-09-30 08:00:00,0.24595,0.24693,0.23082,0.24162,16750389
151,151,2025-09-30 08:05:00,0.24165,0.24245,0.23717,0.23927,5069035
152,152,2025-09-30 08:10:00,0.23926,0.243,0.2378,0.24073,5975603
153,153,2025-09-30 08:15:00,0.24073,0.24399,0.23833,0.24193,6339015
154,154,2025-09-30 08:20:00,0.24187,0.24539,0.23875,0.24398,6719907
155,155,2025-09-30 08:25:00,0.24396,0.24413,0.24151,0.24254,2643695
156,156,2025-09-30 08:30:00,0.24254,0.24421,0.24117,0.24341,4201399
157,157,2025-09-30 08:35:00,0.24335,0.24335,0.23627,0.23824,8727601
158,158,2025-09-30 08:40:00,0.23819,0.24014,0.23488,0.23798,6377511
159,159,2025-09-30 08:45:00,0.23801,0.24199,0.23576,0.24067,6777167
160,160,2025-09-30 08:50:00,0.24065,0.24135,0.236,0.23682,4975203
161,161,2025-09-30 08:55:00,0.23687,0.24,0.23641,0.23877,3856425
162,162,2025-09-30 09:00:00,0.23876,0.24763,0.23664,0.24385,11250971
163,163,2025-09-30 09:05:00,0.24383,0.24542,0.24027,0.24285,7847386
164,164,2025-09-30 09:10:00,0.24289,0.24495,0.23643,0.23887,9234541
165,165,2025-09-30 09:15:00,0.23882,0.24335,0.23731,0.2411,7240349
166,166,2025-09-30 09:20:00,0.2411,0.24233,0.23855,0.2397,5200824
167,167,2025-09-30 09:25:00,0.23964,0.24078,0.23685,0.23728,6549023
168,168,2025-09-30 09:30:00,0.2373,0.23801,0.22409,0.22905,26488924
169,169,2025-09-30 09:35:00,0.22908,0.2325,0.2275,0.22783,10696659
170,170,2025-09-30 09:40:00,0.22784,0.23009,0.22576,0.22908,6673392
171,171,2025-09-30 09:45:00,0.22906,0.23081,0.22518,0.22629,7582243
172,172,2025-09-30 09:50:00,0.22633,0.23172,0.22511,0.22985,8252660
173,173,2025-09-30 09:55:00,0.22986,0.23081,0.22401,0.22455,9127799
174,174,2025-09-30 10:00:00,0.22463,0.2259,0.217,0.22077,20921485
175,175,2025-09-30 10:05:00,0.22084,0.22867,0.22072,0.22684,12774054
176,176,2025-09-30 10:10:00,0.22675,0.22725,0.2226,0.2256,6765675
177,177,2025-09-30 10:15:00,0.22562,0.22733,0.22331,0.22543,6410320
178,178,2025-09-30 10:20:00,0.22556,0.22573,0.22205,0.22228,6203622
179,179,2025-09-30 10:25:00,0.2223,0.223,0.2193,0.22129,8353164
180,180,2025-09-30 10:30:00,0.22129,0.222,0.22,0.22136,6206717
181,181,2025-09-30 10:35:00,0.22137,0.222,0.218,0.22134,10639802
182,182,2025-09-30 10:40:00,0.22145,0.22193,0.21962,0.22007,5151139
183,183,2025-09-30 10:45:00,0.2201,0.22759,0.21874,0.22488,11244662
184,184,2025-09-30 10:50:00,0.22488,0.22733,0.22295,0.22541,8148975
185,185,2025-09-30 10:55:00,0.22536,0.22544,0.21985,0.2221,8052395
186,186,2025-09-30 11:00:00,0.22222,0.22558,0.22004,0.22425,8704945
187,187,2025-09-30 11:05:00,0.22426,0.22575,0.22304,0.22419,4561372
188,188,2025-09-30 11:10:00,0.22416,0.2245,0.19475,0.19824,52284762
189,189,2025-09-30 11:15:00,0.19818,0.20338,0.1854,0.18808,48107414
190,190,2025-09-30 11:20:00,0.18815,0.192,0.18622,0.19011,22111656
191,191,2025-09-30 11:25:00,0.19001,0.1915,0.18785,0.18933,11611610
192,192,2025-09-30 11:30:00,0.18944,0.18989,0.18,0.18533,27857583
193,193,2025-09-30 11:35:00,0.18548,0.19135,0.18313,0.18925,17990399
194,194,2025-09-30 11:40:00,0.18919,0.19049,0.18641,0.18973,9820930
195,195,2025-09-30 11:45:00,0.18969,0.19586,0.18882,0.19349,19805148
196,196,2025-09-30 11:50:00,0.19346,0.19347,0.18855,0.19215,10407959
197,197,2025-09-30 11:55:00,0.19204,0.19288,0.18927,0.19037,7301688
198,198,2025-09-30 12:00:00,0.19031,0.19279,0.18751,0.19253,9166788
199,199,2025-09-30 12:05:00,0.19253,0.19349,0.1903,0.1913,7823153
200,200,2025-09-30 12:10:00,0.19124,0.1945,0.189,0.19406,7686787
201,201,2025-09-30 12:15:00,0.19406,0.1962,0.19196,0.1953,6838512
202,202,2025-09-30 12:20:00,0.19528,0.19536,0.19209,0.1935,5940974
203,203,2025-09-30 12:25:00,0.19349,0.19478,0.1929,0.1935,4239907
204,204,2025-09-30 12:30:00,0.1935,0.19373,0.1881,0.19178,12531392
205,205,2025-09-30 12:35:00,0.19184,0.19226,0.18191,0.1845,17524551
206,206,2025-09-30 12:40:00,0.18459,0.192,0.18459,0.19153,10199051
207,207,2025-09-30 12:45:00,0.19158,0.195,0.19148,0.193,9342572
208,208,2025-09-30 12:50:00,0.193,0.19328,0.18934,0.18986,5595111
209,209,2025-09-30 12:55:00,0.18989,0.19263,0.18964,0.19068,4919820
