,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-10-10 23:45:00,1.1,1.4898,0.8801,1.4039,3901104
1,1,2025-10-10 23:50:00,1.4039,1.4076,1.2629,1.3165,1544086
2,2,2025-10-10 23:55:00,1.3168,1.37,1.2819,1.295,1353449
3,3,2025-10-11 00:00:00,1.2964,1.3017,1.1247,1.1781,2715465
4,4,2025-10-11 00:05:00,1.1783,1.2117,1.1,1.1948,1727187
5,5,2025-10-11 00:10:00,1.1948,1.1949,1.0263,1.0566,1398002
6,6,2025-10-11 00:15:00,1.0545,1.1156,1.0233,1.1136,1740669
7,7,2025-10-11 00:20:00,1.114,1.191,1.1087,1.1408,1679834
8,8,2025-10-11 00:25:00,1.1415,1.15,1.0652,1.0742,1072640
9,9,2025-10-11 00:30:00,1.0745,1.1488,1.0636,1.1269,858044
10,10,2025-10-11 00:35:00,1.1269,1.18,1.1258,1.1672,937562
11,11,2025-10-11 00:40:00,1.1677,1.18,1.1214,1.1559,977552
12,12,2025-10-11 00:45:00,1.1561,1.1569,1.1116,1.1387,952195
13,13,2025-10-11 00:50:00,1.1387,1.165,1.112,1.1223,907466
14,14,2025-10-11 00:55:00,1.1229,1.1278,1.0677,1.0808,1248625
15,15,2025-10-11 01:00:00,1.0808,1.1379,1.05,1.1114,1351417
16,16,2025-10-11 01:05:00,1.1114,1.121,1.086,1.1005,606158
17,17,2025-10-11 01:10:00,1.1002,1.13,1.0777,1.1178,714498
18,18,2025-10-11 01:15:00,1.1181,1.16,1.1126,1.1268,910837
19,19,2025-10-11 01:20:00,1.1268,1.1491,1.1168,1.1302,490780
20,20,2025-10-11 01:25:00,1.1299,1.33,1.1146,1.315,1569618
21,21,2025-10-11 01:30:00,1.3149,1.322,1.1764,1.1819,1604556
22,22,2025-10-11 01:35:00,1.1821,1.2071,1.1668,1.195,598426
23,23,2025-10-11 01:40:00,1.1949,1.2195,1.1776,1.1948,479290
24,24,2025-10-11 01:45:00,1.1945,1.2576,1.175,1.2347,837319
25,25,2025-10-11 01:50:00,1.2344,1.277,1.223,1.2579,668194
26,26,2025-10-11 01:55:00,1.259,1.27,1.2362,1.255,461959
27,27,2025-10-11 02:00:00,1.2565,1.2565,1.21,1.2209,559964
28,28,2025-10-11 02:05:00,1.2209,1.2301,1.185,1.1905,548156
29,29,2025-10-11 02:10:00,1.1922,1.2,1.15,1.1847,552222
30,30,2025-10-11 02:15:00,1.1852,1.1854,1.08,1.1324,1288255
31,31,2025-10-11 02:20:00,1.1316,1.1503,1.1163,1.1421,346538
32,32,2025-10-11 02:25:00,1.1422,1.1434,1.13,1.1342,194971
33,33,2025-10-11 02:30:00,1.1345,1.1563,1.1247,1.1356,406390
34,34,2025-10-11 02:35:00,1.1352,1.1582,1.1321,1.1342,243003
35,35,2025-10-11 02:40:00,1.134,1.1744,1.1307,1.1611,264636
36,36,2025-10-11 02:45:00,1.162,1.245,1.157,1.2095,872614
37,37,2025-10-11 02:50:00,1.2095,1.226,1.1914,1.2138,299582
38,38,2025-10-11 02:55:00,1.2137,1.2374,1.2079,1.215,264161
39,39,2025-10-11 03:00:00,1.2151,1.2487,1.1908,1.2232,468210
40,40,2025-10-11 03:05:00,1.2232,1.2254,1.18,1.2061,458177
41,41,2025-10-11 03:10:00,1.2058,1.274,1.2045,1.2683,608790
42,42,2025-10-11 03:15:00,1.2683,1.3,1.2608,1.2938,891600
43,43,2025-10-11 03:20:00,1.2938,1.3093,1.2684,1.2703,554364
44,44,2025-10-11 03:25:00,1.2698,1.2788,1.2382,1.2698,441617
45,45,2025-10-11 03:30:00,1.2696,1.2866,1.2557,1.2817,332662
46,46,2025-10-11 03:35:00,1.2822,1.2864,1.1674,1.1997,1194953
47,47,2025-10-11 03:40:00,1.2006,1.2122,1.1869,1.1961,371248
48,48,2025-10-11 03:45:00,1.197,1.2069,1.17,1.2011,251074
49,49,2025-10-11 03:50:00,1.2002,1.253,1.1997,1.2267,482277
50,50,2025-10-11 03:55:00,1.2267,1.2267,1.1869,1.2053,264504
51,51,2025-10-11 04:00:00,1.2054,1.211,1.1388,1.1859,654947
52,52,2025-10-11 04:05:00,1.1872,1.2,1.1755,1.1919,214513
53,53,2025-10-11 04:10:00,1.1925,1.2,1.1822,1.1911,131580
54,54,2025-10-11 04:15:00,1.1899,1.2,1.18,1.1842,125359
55,55,2025-10-11 04:20:00,1.1849,1.1999,1.178,1.1952,139871
56,56,2025-10-11 04:25:00,1.196,1.243,1.189,1.2064,246045
57,57,2025-10-11 04:30:00,1.2082,1.245,1.2029,1.2307,285544
58,58,2025-10-11 04:35:00,1.2307,1.2401,1.21,1.228,159174
59,59,2025-10-11 04:40:00,1.2282,1.26,1.2269,1.2461,363235
60,60,2025-10-11 04:45:00,1.2453,1.2757,1.244,1.2702,321839
61,61,2025-10-11 04:50:00,1.27,1.282,1.2374,1.2428,389510
62,62,2025-10-11 04:55:00,1.2428,1.2547,1.187,1.2076,601987
63,63,2025-10-11 05:00:00,1.2076,1.2277,1.1916,1.2136,379646
64,64,2025-10-11 05:05:00,1.2146,1.2336,1.1716,1.1989,341602
65,65,2025-10-11 05:10:00,1.198,1.2208,1.185,1.2071,243971
66,66,2025-10-11 05:15:00,1.2075,1.2203,1.2014,1.2034,134034
67,67,2025-10-11 05:20:00,1.2036,1.2093,1.16,1.1738,444169
68,68,2025-10-11 05:25:00,1.1737,1.1876,1.1639,1.1815,158444
69,69,2025-10-11 05:30:00,1.1802,1.24,1.17,1.2101,283508
70,70,2025-10-11 05:35:00,1.2096,1.23,1.2063,1.2139,192682
71,71,2025-10-11 05:40:00,1.2134,1.2211,1.205,1.2158,109523
72,72,2025-10-11 05:45:00,1.2157,1.2258,1.2113,1.2193,125308
73,73,2025-10-11 05:50:00,1.22,1.223,1.1573,1.1896,334245
74,74,2025-10-11 05:55:00,1.1874,1.193,1.113,1.1305,431915
75,75,2025-10-11 06:00:00,1.1305,1.2193,1.1179,1.1941,323745
76,76,2025-10-11 06:05:00,1.1949,1.22,1.1941,1.2069,232303
77,77,2025-10-11 06:10:00,1.2078,1.2133,1.108,1.1414,463500
78,78,2025-10-11 06:15:00,1.1414,1.1828,1.0817,1.0893,452064
79,79,2025-10-11 06:20:00,1.0895,1.1639,1.0754,1.1182,279352
80,80,2025-10-11 06:25:00,1.1198,1.1717,1.1143,1.1517,202884
81,81,2025-10-11 06:30:00,1.1473,1.26,1.1452,1.2364,364735
82,82,2025-10-11 06:35:00,1.2364,1.2872,1.2336,1.2678,181615
83,83,2025-10-11 06:40:00,1.2679,1.4,1.2676,1.3349,639035
84,84,2025-10-11 06:45:00,1.335,1.3446,1.292,1.3041,201797
85,85,2025-10-11 06:50:00,1.3059,1.85,1.3001,1.7769,942503
86,86,2025-10-11 06:55:00,1.7819,1.88,1.6,1.6332,580754
87,87,2025-10-11 07:00:00,1.6358,1.7,1.5356,1.6498,558678
88,88,2025-10-11 07:05:00,1.6473,2.338,1.5926,2.2763,1064218
89,89,2025-10-11 07:10:00,2.2822,2.3599,1.8616,1.9889,1322332
90,90,2025-10-11 07:15:00,1.982,2.0234,1.68,1.7478,993757
91,91,2025-10-11 07:20:00,1.7494,1.87,1.65,1.7873,826557
92,92,2025-10-11 07:25:00,1.791,1.8,1.7005,1.7929,309304
93,93,2025-10-11 07:30:00,1.7932,1.7992,1.7129,1.7276,368989
94,94,2025-10-11 07:35:00,1.7209,1.79,1.7128,1.7656,293877
95,95,2025-10-11 07:40:00,1.7655,1.7993,1.6,1.66,532141
96,96,2025-10-11 07:45:00,1.6619,1.6661,1.4447,1.4938,788309
97,97,2025-10-11 07:50:00,1.498,1.7507,1.498,1.6291,615943
98,98,2025-10-11 07:55:00,1.6276,1.6357,1.5606,1.5698,290956
99,99,2025-10-11 08:00:00,1.5698,1.6342,1.4777,1.5315,538708
100,100,2025-10-11 08:05:00,1.5333,1.6,1.5,1.5752,353163
101,101,2025-10-11 08:10:00,1.5751,1.5884,1.5101,1.583,254155
102,102,2025-10-11 08:15:00,1.5787,1.581,1.5134,1.5233,216610
103,103,2025-10-11 08:20:00,1.5196,1.55,1.2566,1.3158,1164090
104,104,2025-10-11 08:25:00,1.3158,1.3666,1.31,1.3425,388622
105,105,2025-10-11 08:30:00,1.3453,1.4988,1.32,1.4707,432298
106,106,2025-10-11 08:35:00,1.472,1.4721,1.36,1.4326,395114
107,107,2025-10-11 08:40:00,1.4327,1.464,1.4123,1.4386,164863
108,108,2025-10-11 08:45:00,1.4395,1.4523,1.4034,1.4227,204710
109,109,2025-10-11 08:50:00,1.4227,1.441,1.4,1.4068,166541
110,110,2025-10-11 08:55:00,1.4091,1.44,1.367,1.4197,278306
111,111,2025-10-11 09:00:00,1.4161,1.46,1.3061,1.3768,422056
112,112,2025-10-11 09:05:00,1.3798,1.4019,1.2546,1.2827,498627
113,113,2025-10-11 09:10:00,1.2852,1.3117,1.2133,1.3,518839
114,114,2025-10-11 09:15:00,1.2999,1.3524,1.2711,1.3198,313389
115,115,2025-10-11 09:20:00,1.3226,1.3468,1.3026,1.3254,145209
116,116,2025-10-11 09:25:00,1.3255,1.346,1.32,1.3274,96028
117,117,2025-10-11 09:30:00,1.3275,1.344,1.307,1.3112,123849
118,118,2025-10-11 09:35:00,1.3119,1.336,1.3113,1.3176,96276
119,119,2025-10-11 09:40:00,1.3176,1.324,1.2585,1.2749,229155
120,120,2025-10-11 09:45:00,1.275,1.2961,1.2716,1.2892,100263
121,121,2025-10-11 09:50:00,1.2892,1.3496,1.2812,1.3125,180491
122,122,2025-10-11 09:55:00,1.3123,1.319,1.2744,1.2805,124132
123,123,2025-10-11 10:00:00,1.2806,1.2841,1.2234,1.2392,333373
124,124,2025-10-11 10:05:00,1.2394,1.2402,1.1968,1.2078,388228
125,125,2025-10-11 10:10:00,1.2078,1.2282,1.179,1.2225,289252
126,126,2025-10-11 10:15:00,1.224,1.2317,1.205,1.208,181609
127,127,2025-10-11 10:20:00,1.2081,1.2553,1.2081,1.2269,177066
128,128,2025-10-11 10:25:00,1.2283,1.2373,1.22,1.2262,102164
129,129,2025-10-11 10:30:00,1.2263,1.2543,1.2207,1.2236,122588
130,130,2025-10-11 10:35:00,1.2236,1.35,1.2088,1.3399,475825
131,131,2025-10-11 10:40:00,1.3382,1.44,1.3359,1.3847,473663
132,132,2025-10-11 10:45:00,1.3839,1.4553,1.3406,1.3665,574121
133,133,2025-10-11 10:50:00,1.3689,1.4251,1.3676,1.4001,280177
134,134,2025-10-11 10:55:00,1.4019,1.4393,1.382,1.4252,294284
135,135,2025-10-11 11:00:00,1.425,1.4568,1.4019,1.4207,365149
