,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-10-20 20:00:00,0.2306,0.28,0.2306,0.258,56440108
1,1,2025-10-20 20:05:00,0.258,0.2784,0.256,0.2775,39051976
2,2,2025-10-20 20:10:00,0.27713,0.30542,0.27036,0.30061,61160840
3,3,2025-10-20 20:15:00,0.30029,0.305,0.2652,0.27252,60633260
4,4,2025-10-20 20:20:00,0.2729,0.282,0.26227,0.26449,41468715
5,5,2025-10-20 20:25:00,0.26471,0.271,0.2457,0.24801,52282146
6,6,2025-10-20 20:30:00,0.24842,0.2656,0.24801,0.26309,34515245
7,7,2025-10-20 20:35:00,0.2628,0.2683,0.25303,0.26057,27067702
8,8,2025-10-20 20:40:00,0.26058,0.272,0.258,0.27045,22091970
9,9,2025-10-20 20:45:00,0.27044,0.27999,0.26661,0.27176,27481165
10,10,2025-10-20 20:50:00,0.27152,0.29222,0.27107,0.28471,40135158
11,11,2025-10-20 20:55:00,0.28471,0.28814,0.27247,0.28297,27340592
12,12,2025-10-20 21:00:00,0.28274,0.292,0.28109,0.28234,27148986
13,13,2025-10-20 21:05:00,0.28234,0.31655,0.27881,0.31062,54768075
14,14,2025-10-20 21:10:00,0.31027,0.35008,0.285,0.32329,93044309
15,15,2025-10-20 21:15:00,0.32316,0.35562,0.31602,0.35088,51407807
16,16,2025-10-20 21:20:00,0.35086,0.352,0.3262,0.34138,48035853
17,17,2025-10-20 21:25:00,0.3416,0.35195,0.33786,0.34889,30263055
18,18,2025-10-20 21:30:00,0.34874,0.382,0.347,0.37883,58689304
19,19,2025-10-20 21:35:00,0.37882,0.3923,0.36183,0.37466,65767321
20,20,2025-10-20 21:40:00,0.37465,0.37799,0.35646,0.37081,42532677
21,21,2025-10-20 21:45:00,0.37081,0.37888,0.363,0.36353,31728953
22,22,2025-10-20 21:50:00,0.3635,0.375,0.3508,0.37095,42914225
23,23,2025-10-20 21:55:00,0.37053,0.3845,0.36745,0.37744,32702779
24,24,2025-10-20 22:00:00,0.3773,0.381,0.35562,0.35807,39988985
25,25,2025-10-20 22:05:00,0.35855,0.368,0.35549,0.36266,26096739
26,26,2025-10-20 22:10:00,0.36295,0.3639,0.335,0.34488,58119207
27,27,2025-10-20 22:15:00,0.34522,0.35806,0.33788,0.35346,35223618
28,28,2025-10-20 22:20:00,0.35344,0.3546,0.34,0.3452,22928889
29,29,2025-10-20 22:25:00,0.34519,0.3579,0.34452,0.35321,20229495
30,30,2025-10-20 22:30:00,0.35308,0.37573,0.35147,0.37173,34281497
31,31,2025-10-20 22:35:00,0.37173,0.378,0.3615,0.37083,33910092
32,32,2025-10-20 22:40:00,0.37083,0.37306,0.3616,0.36808,19475825
33,33,2025-10-20 22:45:00,0.36828,0.394,0.36727,0.382,47539245
34,34,2025-10-20 22:50:00,0.3819,0.398,0.38023,0.39072,32631524
35,35,2025-10-20 22:55:00,0.39065,0.39078,0.36571,0.37018,42418343
36,36,2025-10-20 23:00:00,0.37036,0.3771,0.3572,0.365,37017416
37,37,2025-10-20 23:05:00,0.36499,0.38,0.36178,0.37613,24658823
38,38,2025-10-20 23:10:00,0.37612,0.37659,0.36911,0.37339,15063223
39,39,2025-10-20 23:15:00,0.37339,0.37361,0.35534,0.36217,26492507
40,40,2025-10-20 23:20:00,0.36218,0.366,0.35019,0.35182,25778570
41,41,2025-10-20 23:25:00,0.352,0.35695,0.34586,0.35116,29888867
42,42,2025-10-20 23:30:00,0.35128,0.365,0.34905,0.36373,29773553
43,43,2025-10-20 23:35:00,0.36374,0.371,0.35518,0.36723,23267998
44,44,2025-10-20 23:40:00,0.36755,0.36936,0.36363,0.36778,13919590
45,45,2025-10-20 23:45:00,0.36777,0.372,0.358,0.35941,19038718
46,46,2025-10-20 23:50:00,0.3594,0.3677,0.35585,0.36686,15597563
47,47,2025-10-20 23:55:00,0.36693,0.375,0.3643,0.37314,20884159
48,48,2025-10-21 00:00:00,0.37314,0.385,0.368,0.38432,29146028
49,49,2025-10-21 00:05:00,0.38436,0.4078,0.38091,0.40485,50196677
50,50,2025-10-21 00:10:00,0.40484,0.41,0.38435,0.3952,55450442
51,51,2025-10-21 00:15:00,0.3952,0.41932,0.39112,0.415,47270476
52,52,2025-10-21 00:20:00,0.415,0.4316,0.41425,0.42887,58388910
53,53,2025-10-21 00:25:00,0.42874,0.4291,0.4125,0.42415,37321743
54,54,2025-10-21 00:30:00,0.42413,0.42688,0.408,0.41535,37127602
55,55,2025-10-21 00:35:00,0.41534,0.42544,0.41354,0.42041,25086261
