,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-11-18 22:35:00,0.306,0.3066,0.3038,0.305,488728
1,1,2025-11-18 22:40:00,0.3051,0.3078,0.305,0.3062,580272
2,2,2025-11-18 22:45:00,0.3062,0.3076,0.306,0.3068,364002
3,3,2025-11-18 22:50:00,0.3067,0.3079,0.3062,0.3078,340793
4,4,2025-11-18 22:55:00,0.3078,0.3082,0.3071,0.3078,401434
5,5,2025-11-18 23:00:00,0.3078,0.3078,0.3051,0.3061,614121
6,6,2025-11-18 23:05:00,0.3061,0.3069,0.3054,0.3068,295035
7,7,2025-11-18 23:10:00,0.3068,0.3073,0.3057,0.3061,256035
8,8,2025-11-18 23:15:00,0.3061,0.3071,0.3055,0.3065,316493
9,9,2025-11-18 23:20:00,0.3064,0.3077,0.306,0.3076,207248
10,10,2025-11-18 23:25:00,0.3076,0.3095,0.3071,0.3074,664133
11,11,2025-11-18 23:30:00,0.3074,0.3104,0.3055,0.3089,2046705
12,12,2025-11-18 23:35:00,0.309,0.3105,0.3083,0.3091,1335026
13,13,2025-11-18 23:40:00,0.3091,0.3099,0.3057,0.3061,1018679
14,14,2025-11-18 23:45:00,0.3061,0.308,0.3055,0.3061,621318
15,15,2025-11-18 23:50:00,0.3061,0.3061,0.3029,0.304,1188312
16,16,2025-11-18 23:55:00,0.3039,0.3039,0.3015,0.302,1552154
17,17,2025-11-19 00:00:00,0.3019,0.302,0.299,0.2997,2602916
18,18,2025-11-19 00:05:00,0.2996,0.304,0.2996,0.3039,1609116
19,19,2025-11-19 00:10:00,0.3039,0.3065,0.3036,0.3052,2086607
20,20,2025-11-19 00:15:00,0.3053,0.3074,0.305,0.3068,826449
21,21,2025-11-19 00:20:00,0.3068,0.3096,0.3066,0.3089,1785601
22,22,2025-11-19 00:25:00,0.309,0.3104,0.3082,0.3094,738122
23,23,2025-11-19 00:30:00,0.3095,0.3102,0.307,0.3072,1237011
24,24,2025-11-19 00:35:00,0.3072,0.3086,0.3066,0.3084,663370
25,25,2025-11-19 00:40:00,0.3085,0.3085,0.3063,0.3077,634328
26,26,2025-11-19 00:45:00,0.3076,0.3078,0.3049,0.306,646020
27,27,2025-11-19 00:50:00,0.306,0.3078,0.3048,0.3072,897737
28,28,2025-11-19 00:55:00,0.3072,0.3073,0.3061,0.307,371730
29,29,2025-11-19 01:00:00,0.3071,0.3086,0.3068,0.3076,977201
30,30,2025-11-19 01:05:00,0.3076,0.3109,0.3071,0.3108,959338
31,31,2025-11-19 01:10:00,0.3108,0.3108,0.309,0.3097,732355
32,32,2025-11-19 01:15:00,0.3097,0.3136,0.3091,0.313,1493530
33,33,2025-11-19 01:20:00,0.3132,0.3146,0.3119,0.3126,1054156
34,34,2025-11-19 01:25:00,0.3125,0.3136,0.3122,0.3125,515333
35,35,2025-11-19 01:30:00,0.3126,0.3138,0.3118,0.3121,754689
36,36,2025-11-19 01:35:00,0.3121,0.3133,0.3114,0.3116,514259
37,37,2025-11-19 01:40:00,0.3116,0.312,0.3105,0.3111,514802
