,Unnamed: 0,date,open,high,low,close,volume
0,0,2025-11-18 22:35:00,0.03313,0.03362,0.03313,0.03357,1687362
1,1,2025-11-18 22:40:00,0.03356,0.03359,0.03324,0.03338,538103
2,2,2025-11-18 22:45:00,0.03337,0.03339,0.03305,0.03321,403799
3,3,2025-11-18 22:50:00,0.03321,0.03394,0.03309,0.03384,1900252
4,4,2025-11-18 22:55:00,0.03387,0.03397,0.03363,0.03392,725949
5,5,2025-11-18 23:00:00,0.03392,0.03408,0.03373,0.03374,578447
6,6,2025-11-18 23:05:00,0.03375,0.03376,0.03342,0.03351,391481
7,7,2025-11-18 23:10:00,0.03355,0.03423,0.03268,0.03382,3906408
8,8,2025-11-18 23:15:00,0.03384,0.03446,0.03315,0.03404,5600557
9,9,2025-11-18 23:20:00,0.03401,0.0343,0.03396,0.03421,656478
10,10,2025-11-18 23:25:00,0.03422,0.03447,0.03368,0.03419,1230281
11,11,2025-11-18 23:30:00,0.03417,0.03429,0.03388,0.03398,822162
12,12,2025-11-18 23:35:00,0.03398,0.03424,0.03397,0.03416,478521
13,13,2025-11-18 23:40:00,0.03411,0.03431,0.03395,0.034,593227
14,14,2025-11-18 23:45:00,0.034,0.03407,0.03362,0.03374,392589
15,15,2025-11-18 23:50:00,0.03374,0.03394,0.03313,0.03325,1524378
16,16,2025-11-18 23:55:00,0.03326,0.03381,0.03282,0.03318,3238184
17,17,2025-11-19 00:00:00,0.03319,0.03376,0.03295,0.03353,2428462
18,18,2025-11-19 00:05:00,0.03355,0.03431,0.03355,0.03426,595489
19,19,2025-11-19 00:10:00,0.03426,0.03461,0.03424,0.03457,726603
20,20,2025-11-19 00:15:00,0.03457,0.03524,0.03442,0.03489,3087159
21,21,2025-11-19 00:20:00,0.03487,0.03535,0.03479,0.0351,2322658
22,22,2025-11-19 00:25:00,0.03514,0.03539,0.03509,0.03525,1052385
23,23,2025-11-19 00:30:00,0.03522,0.03529,0.03488,0.03492,546914
24,24,2025-11-19 00:35:00,0.03491,0.03493,0.03448,0.03481,1127919
25,25,2025-11-19 00:40:00,0.0348,0.03492,0.03443,0.03487,899471
26,26,2025-11-19 00:45:00,0.03486,0.03486,0.03435,0.0344,645483
27,27,2025-11-19 00:50:00,0.03435,0.03449,0.03385,0.03399,1366101
28,28,2025-11-19 00:55:00,0.03399,0.034,0.03367,0.03376,926930
29,29,2025-11-19 01:00:00,0.03378,0.03391,0.03355,0.03386,1074817
30,30,2025-11-19 01:05:00,0.03386,0.03469,0.03375,0.03463,1018085
31,31,2025-11-19 01:10:00,0.03465,0.03483,0.03429,0.03437,651501
32,32,2025-11-19 01:15:00,0.03435,0.03469,0.03432,0.03443,653965
33,33,2025-11-19 01:20:00,0.03443,0.03472,0.03435,0.03466,543379
34,34,2025-11-19 01:25:00,0.03466,0.03499,0.03464,0.03485,496439
35,35,2025-11-19 01:30:00,0.03484,0.03484,0.03435,0.03437,1126013
36,36,2025-11-19 01:35:00,0.03438,0.0344,0.03388,0.03396,1044307
37,37,2025-11-19 01:40:00,0.034,0.03451,0.03399,0.03406,1011287
38,38,2025-11-19 01:45:00,0.03406,0.03446,0.03406,0.03425,747115
39,39,2025-11-19 01:50:00,0.03425,0.03427,0.03401,0.03403,574042
40,40,2025-11-19 01:55:00,0.03403,0.03403,0.03382,0.03396,946344
41,41,2025-11-19 02:00:00,0.03397,0.03433,0.03386,0.03419,1171361
