id,symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,equity_after_exit,position_fraction,fee_per_side
1,BTC,short,short_max_v7_devw120,13511,13512,13513,1572051300,1572051600,8260.03,8445.134799874291,-0.02271851335245065,stop,99.97728148664756,0.01,0.0004
2,BTC,short,short_max_v7_devw120,13512,13513,13514,1572051600,1572051900,8267.5,8466.004953454698,-0.024247299469591563,stop,99.95303969580392,0.01,0.0004
3,BTC,short,short_max_v7_devw120,13514,13515,13523,1572052200,1572054600,8354.94,8365.881457470368,-0.002107866663661339,stop,99.95093281900087,0.01,0.0004
4,BTC,short,short_max_v7_devw120,13626,13627,13629,1572085800,1572086400,9525.75,9810.377014558602,-0.02981285181356594,stop,99.92113459551325,0.01,0.0004
5,BTC,short,short_max_v7_devw120,13631,13632,13832,1572087300,1572147300,9990.01,9099.77,0.09703104408133392,timeout,100.0180891156692,0.01,0.0004
6,BCH,short,short_max_v7_devw120,7558,7559,7567,1579045800,1579048200,327.93,328.5696522383635,-0.0027467782067087435,stop,100.0153418405946,0.01,0.0004
7,BCH,short,short_max_v7_devw120,7572,7573,7586,1579050000,1579053900,341.28,342.0671413696795,-0.0031011311946763423,stop,100.01224023362933,0.01,0.0004
8,XRP,short,short_max_v7_devw120,2408,2409,2417,1579053900,1579056300,0.2411,0.24133749868687546,-0.0017840935957640128,stop,100.01045592165633,0.01,0.0004
9,BCH,short,short_max_v7_devw120,7661,7662,7662,1579076700,1579076700,350.81,358.9638354718651,-0.023514921855976676,stop,99.98693854109855,0.01,0.0004
10,ETC,short,short_max_v7_devw120,252,253,262,1579269900,1579272600,9.22,9.233124597404936,-0.0022214686768794226,stop,99.9847173625779,0.01,0.0004
11,ETC,short,short_max_v7_devw120,265,266,267,1579273800,1579274100,9.814,10.11588041722317,-0.03064222873069875,stop,99.95407981678791,0.01,0.0004
12,ETC,short,short_max_v7_devw120,267,268,282,1579274400,1579278600,10.123,10.141367435079264,-0.0026111398878746243,stop,99.95146987594025,0.01,0.0004
13,ETC,short,short_max_v7_devw120,387,388,389,1579310400,1579310700,11.552,12.072285881016617,-0.04389754475204686,stop,99.90759363472112,0.01,0.0004
14,ETC,short,short_max_v7_devw120,827,828,828,1579442400,1579442400,9.084,9.25072524206459,-0.018822937413216254,stop,99.8887880909002,0.01,0.0004
15,ETC,short,short_max_v7_devw120,1232,1233,1233,1579563900,1579563900,8.8,9.001800533327005,-0.02321779659301335,stop,99.86559611526204,0.01,0.0004
16,ETC,short,short_max_v7_devw120,1233,1234,1246,1579564200,1579567800,8.852,8.863246480118754,-0.002068889468884815,stop,99.86353000646096,0.01,0.0004
17,ETC,short,short_max_v7_devw120,2347,2348,2352,1579898400,1579899600,8.58,8.775751719941319,-0.023105977446525514,stop,99.84045556174037,0.01,0.0004
18,ETC,short,short_max_v7_devw120,2352,2353,2361,1579899900,1579902300,8.63,8.641332013241291,-0.0021113734345499006,stop,99.8383475568847,0.01,0.0004
19,ETC,short,short_max_v7_devw120,3122,3123,3156,1580130900,1580140800,9.75,9.75701118756665,-0.0015185794329707117,stop,99.83683143227249,0.01,0.0004
20,ETC,short,short_max_v7_devw120,3532,3533,3533,1580253900,1580253900,11.39,11.620980030287711,-0.020676123157058,stop,99.81618904604944,0.01,0.0004
21,ETC,short,short_max_v7_devw120,3534,3535,3643,1580254500,1580286900,11.553,11.566154290208834,-0.001937308899637368,stop,99.81425529813578,0.01,0.0004
22,ETC,short,short_max_v7_devw120,5109,5110,5156,1580727000,1580740800,12.153,12.161397481511612,-0.0014905030054628058,stop,99.81276756366067,0.01,0.0004
23,XRP,short,short_max_v7_devw120,8433,8434,8434,1580861400,1580861400,0.2668,0.2705392773944046,-0.014621569386959332,stop,99.7981733705943,0.01,0.0004
24,BCH,short,short_max_v7_devw120,13845,13846,13854,1580931900,1580934300,416.25,416.56493394914804,-0.0015560260681627184,stop,99.7966204850011,0.01,0.0004
25,ETC,short,short_max_v7_devw120,5997,5998,6007,1580993400,1580996100,13.012,13.02052104784319,-0.0014544321699476496,stop,99.79516901084824,0.01,0.0004
26,TRX,short,short_max_v7_devw120,6414,6415,6440,1581032400,1581039900,0.0231,0.023139821010941558,-0.0025208867312642483,stop,99.79265328767421,0.01,0.0004
27,DASH,short,short_max_v7_devw120,1123,1124,1132,1581173100,1581175500,128.67,128.82449839419115,-0.0019992935824862715,stop,99.79065813956123,0.01,0.0004
28,XTZ,short,short_max_v7_devw120,1713,1714,1717,1581522600,1581523500,3.219,3.274191503491428,-0.01765652883546207,stop,99.77303857323172,0.01,0.0004
29,XTZ,short,short_max_v7_devw120,1843,1844,1846,1581561600,1581562200,3.479,3.550736958635821,-0.021003399877692484,stop,99.75208284297005,0.01,0.0004
30,XTZ,short,short_max_v7_devw120,3755,3756,3768,1582135200,1582138800,3.693,3.696100902886901,-0.001638965972081329,stop,99.75044794027582,0.01,0.0004
31,XTZ,short,short_max_v7_devw120,5870,5871,5879,1582769700,1582772100,2.792,2.797151981248754,-0.002641866757077093,stop,99.74781266635165,0.01,0.0004
32,DASH,short,short_max_v7_devw120,6727,6728,6736,1582854300,1582856700,93.2,93.2620458859337,-0.0014652854904082294,stop,99.74635107612565,0.01,0.0004
33,LINK,short,short_max_v7_devw120,15952,15953,15961,1584066300,1584068700,2.669,2.676004275515781,-0.00341743808852144,stop,99.74294230633205,0.01,0.0004
34,TRX,short,short_max_v7_devw120,16614,16615,16638,1584092400,1584099300,0.00952,0.009557074103183807,-0.004679231528764238,stop,99.73827510312795,0.01,0.0004
35,ETH,short,short_max_v7_devw120,30754,30755,30763,1584099600,1584102000,116.83,118.81101090600241,-0.017473630591104825,stop,99.72084720537849,0.01,0.0004
36,ADA,short,short_max_v7_devw120,12032,12033,12041,1584099900,1584102300,0.0245,0.02462023443861965,-0.005683561889688859,stop,99.71517950931064,0.01,0.0004
37,ATOM,short,short_max_v7_devw120,9966,9967,9975,1584099900,1584102300,1.607,1.633687048125082,-0.017135471445225512,stop,99.69809284319926,0.01,0.0004
39,IOST,short,short_max_v7_devw120,5983,5984,5992,1584099900,1584102300,0.002137,0.002148993272216399,-0.006380879368705216,stop,99.69173122816204,0.01,0.0004
40,IOTA,short,short_max_v7_devw120,8576,8577,8585,1584099900,1584102300,0.1035,0.10404298856454053,-0.006018886654757227,stop,99.68573089585526,0.01,0.0004
41,LTC,short,short_max_v7_devw120,18367,18368,18376,1584099900,1584102300,33.44,33.61411429258827,-0.005979797125479002,stop,99.67976989138464,0.01,0.0004
42,VET,short,short_max_v7_devw120,8000,8001,8009,1584099900,1584102300,0.002133,0.0021457012228978814,-0.0067193809288731195,stop,99.67307202793661,0.01,0.0004
43,XLM,short,short_max_v7_devw120,15200,15201,15209,1584099900,1584102300,0.0357,0.03584929236401105,-0.004964443819284936,stop,99.66812381427283,0.01,0.0004
44,LINK,short,short_max_v7_devw120,16068,16069,16073,1584101100,1584102300,1.93,2.2740208956846613,-0.15208308466184237,stop,99.5165454571515,0.01,0.0004
45,BTC,short,short_max_v7_devw120,53679,53680,53682,1584101700,1584102300,4948.0,5496.166325874867,-0.10053612394046516,stop,99.41649537966943,0.01,0.0004
46,BCH,short,short_max_v7_devw120,24412,24413,24422,1584102000,1584104700,160.62,161.58296844884978,-0.006759591274340315,stop,99.40977523092249,0.01,0.0004
50,ZEC,short,short_max_v7_devw120,10600,10601,10609,1584102300,1584104700,24.7,24.861080754158007,-0.007279233777118343,stop,99.40253896098613,0.01,0.0004
47,ETH,short,short_max_v7_devw120,30763,30764,30784,1584102300,1584108300,123.47,124.7626862738477,-0.011161160956492422,stop,99.39144448361786,0.01,0.0004
48,IOTA,short,short_max_v7_devw120,8584,8585,8606,1584102300,1584108600,0.1049,0.10539739718134995,-0.00551925488344005,stop,99.38595881646448,0.01,0.0004
49,XTZ,short,short_max_v7_devw120,10312,10313,10356,1584102300,1584115200,1.502,1.5118268820598213,-0.007300004846078933,stop,99.37870363665456,0.01,0.0004
52,ATOM,short,short_max_v7_devw120,9976,9977,10023,1584102900,1584116700,1.726,1.7428896586952223,-0.010490606981893724,stop,99.36827820743234,0.01,0.0004
56,IOST,short,short_max_v7_devw120,5993,5994,6040,1584102900,1584116700,0.002217,0.002227452497775347,-0.005492579431339828,stop,99.36282032582224,0.01,0.0004
64,XRP,short,short_max_v7_devw120,19238,19239,19288,1584102900,1584117600,0.1474,0.1480478824727555,-0.005176168452626894,stop,99.3576771388629,0.01,0.0004
55,DASH,short,short_max_v7_devw120,10889,10890,10940,1584102900,1584117900,45.5,45.72984330982697,-0.005826111903986719,stop,99.35188844940758,0.01,0.0004
38,ETC,short,short_max_v7_devw120,16352,16353,16414,1584099900,1584118200,4.309,4.332736694587873,-0.0062784530565918924,stop,99.34565068773044,0.01,0.0004
51,ADA,short,short_max_v7_devw120,12042,12043,12094,1584102900,1584118200,0.02598,0.02609695451678499,-0.0052815388979494445,stop,99.34040370854595,0.01,0.0004
54,BTC,short,short_max_v7_devw120,53683,53684,53735,1584102900,1584118200,5313.1,5340.5654017977695,-0.005942789148977256,stop,99.3345001178138,0.01,0.0004
59,ONT,short,short_max_v7_devw120,8873,8874,8925,1584102900,1584118200,0.3244,0.32608030996388426,-0.005953055589496747,stop,99.32858667980224,0.01,0.0004
60,TRX,short,short_max_v7_devw120,16649,16650,16701,1584102900,1584118200,0.00976,0.009806571504264656,-0.00554900980882087,stop,99.32307492678441,0.01,0.0004
62,XLM,short,short_max_v7_devw120,15210,15211,15262,1584102900,1584118200,0.03661,0.03675710673473697,-0.004802130412455785,stop,99.31830530319678,0.01,0.0004
65,XTZ,short,short_max_v7_devw120,10356,10357,10366,1584115500,1584118200,1.493,1.4977887360659512,-0.003997203951826322,stop,99.31433534797232,0.01,0.0004
66,IOTA,short,short_max_v7_devw120,8635,8636,8638,1584117600,1584118200,0.1149,0.11982119125226956,-0.04187112607408958,stop,99.27275131740913,0.01,0.0004
53,BAT,short,short_max_v7_devw120,8297,8298,8350,1584102900,1584118500,0.1198,0.12069870454661966,-0.008245850806729437,stop,99.26456543444375,0.01,0.0004
61,VET,short,short_max_v7_devw120,8010,8011,8063,1584102900,1584118500,0.002409,0.0024217896717091767,-0.0060810827705571665,stop,99.25852907405785,0.01,0.0004
63,XMR,short,short_max_v7_devw120,11178,11179,11231,1584102900,1584118500,36.21,36.383990404644315,-0.00558205943628729,stop,99.25298840396935,0.01,0.0004
57,LINK,short,short_max_v7_devw120,16074,16075,16128,1584102900,1584118800,2.248,2.264193191135326,-0.007951859301902542,stop,99.24509594597853,0.01,0.0004
67,BCH,short,short_max_v7_devw120,24468,24469,24469,1584118800,1584118800,170.33,177.9024271459335,-0.04336505809064548,stop,99.20205825246944,0.01,0.0004
69,DASH,short,short_max_v7_devw120,10942,10943,10943,1584118800,1584118800,46.86,48.60737024301871,-0.03674866857191637,stop,99.16560281686571,0.01,0.0004
70,IOTA,short,short_max_v7_devw120,8639,8640,8640,1584118800,1584118800,0.1232,0.12858703242414804,-0.04269405667578328,stop,99.12326499819619,0.01,0.0004
71,LINK,short,short_max_v7_devw120,16127,16128,16128,1584118800,1584118800,2.216,2.3279670236376995,-0.04889648182332871,stop,99.07479720894366,0.01,0.0004
68,BTC,short,short_max_v7_devw120,53736,53737,53738,1584118800,1584119100,5374.15,5575.3785593855355,-0.036892358077962185,stop,99.03824617999233,0.01,0.0004
72,ONT,short,short_max_v7_devw120,8926,8927,8928,1584118800,1584119100,0.3353,0.34762393997683877,-0.03625193112321288,stop,99.00234290320152,0.01,0.0004
73,XRP,short,short_max_v7_devw120,19291,19292,19293,1584118800,1584119100,0.1538,0.15897229967276472,-0.033335854884225725,stop,98.96933962583932,0.01,0.0004
77,QTUM,short,short_max_v7_devw120,6336,6337,6350,1584119400,1584123300,1.187,1.1893761912549023,-0.0027978466631278557,stop,98.96657061547309,0.01,0.0004
79,XTZ,short,short_max_v7_devw120,10369,10370,10387,1584119400,1584124500,1.613,1.6176598224040708,-0.0036805947576454604,stop,98.9629280570632,0.01,0.0004
80,VET,short,short_max_v7_devw120,8068,8069,8083,1584120300,1584124500,0.00244,0.002445608880365153,-0.003093449459635388,stop,98.95986668889998,0.01,0.0004
74,ATOM,short,short_max_v7_devw120,10031,10032,10050,1584119400,1584124800,1.828,1.8318141842745495,-0.00288218950769834,stop,98.95701447800543,0.01,0.0004
76,ONT,short,short_max_v7_devw120,8928,8929,8947,1584119400,1584124800,0.341,0.34171844881532804,-0.0029024583771193094,stop,98.95414229184897,0.01,0.0004
75,BAT,short,short_max_v7_devw120,8352,8353,8372,1584119400,1584125100,0.1228,0.12304077793396198,-0.002756895413089854,stop,98.95141422963906,0.01,0.0004
