symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,return,score,same_bar,exit_reason,id,equity_after_exit,position_fraction,fee_per_side
BTC,short,short_max_v7_devw120,13511,13512,13513,1572051300,1572051600,8260.03,8445.134799874291,-0.02271851335245065,-0.02271851335245065,5.231083892643294,False,stop,1,99.97728148664756,0.01,0.0004
BTC,short,short_max_v7_devw120,13514,13515,13523,1572052200,1572054600,8354.94,8365.881457470368,-0.002107866663661339,-0.002107866663661339,3.996571727912249,False,stop,2,99.97517409885987,0.01,0.0004
BTC,short,short_max_v7_devw120,13626,13627,13629,1572085800,1572086400,9525.75,9810.377014558602,-0.02981285181356594,-0.02981285181356594,2.414183406339752,False,stop,3,99.94536864835541,0.01,0.0004
BTC,short,short_max_v7_devw120,13631,13632,13832,1572087300,1572147300,9990.01,9099.77,0.09703104408133392,0.09703104408133392,3.274119453395453,False,fail_fast_or_timeout,4,100.04234668306584,0.01,0.0004
ETH,short,short_max_v7_devw120,35,36,44,1574883900,1574886300,142.95,143.08020674593365,-0.0017100262635548528,-0.0017100262635548528,2.719263566023508,False,stop,5,100.04063593266288,0.01,0.0004
BCH,short,short_max_v7_devw120,7558,7559,7567,1579045800,1579048200,327.93,328.5696522383635,-0.0027467782067087435,-0.0027467782067087435,3.275383286470463,False,stop,6,100.03788803827723,0.01,0.0004
BCH,short,short_max_v7_devw120,7572,7573,7586,1579050000,1579053900,341.28,342.0671413696795,-0.0031011311946763423,-0.0031011311946763423,3.4292506339539286,False,stop,7,100.03478573212477,0.01,0.0004
XRP,short,short_max_v7_devw120,2408,2409,2417,1579053900,1579056300,0.2411,0.24133749868687546,-0.0017840935957640128,-0.0017840935957640128,3.384573431780517,False,stop,8,100.03300101791899,0.01,0.0004
BCH,short,short_max_v7_devw120,7661,7662,7662,1579076700,1579076700,350.81,358.9638354718651,-0.023514921855976676,-0.023514921855976676,2.919523757537661,True,stop,9,100.00947833589944,0.01,0.0004
ETC,short,short_max_v7_devw120,252,253,262,1579269900,1579272600,9.22,9.233124597404936,-0.0022214686768794226,-0.0022214686768794226,2.906424803367541,False,stop,10,100.0072566566643,0.01,0.0004
ETC,short,short_max_v7_devw120,265,266,267,1579273800,1579274100,9.814,10.11588041722317,-0.03064222873069875,-0.03064222873069875,3.5850687734074875,False,stop,11,99.97661220433227,0.01,0.0004
ETC,short,short_max_v7_devw120,387,388,389,1579310400,1579310700,11.552,12.072285881016617,-0.04389754475204686,-0.04389754475204686,3.2446742356250953,False,stop,12,99.9327249262483,0.01,0.0004
ETC,short,short_max_v7_devw120,827,828,828,1579442400,1579442400,9.084,9.25072524206459,-0.018822937413216254,-0.018822937413216254,2.905751861984573,True,stop,13,99.91391465198011,0.01,0.0004
ETC,short,short_max_v7_devw120,1232,1233,1233,1579563900,1579563900,8.8,9.001800533327005,-0.02321779659301335,-0.02321779659301335,2.354767600869309,True,stop,14,99.8907168425081,0.01,0.0004
ETC,short,short_max_v7_devw120,1234,1235,1246,1579564500,1579567800,8.863,8.874080177967414,-0.002048600164209135,-0.002048600164209135,2.375170196848172,False,stop,15,99.88867048111884,0.01,0.0004
ETC,short,short_max_v7_devw120,2347,2348,2352,1579898400,1579899600,8.58,8.775751719941319,-0.023105977446525514,-0.023105977446525514,2.4902409609424714,False,stop,16,99.86559022744584,0.01,0.0004
ETC,short,short_max_v7_devw120,3122,3123,3156,1580130900,1580140800,9.75,9.75701118756665,-0.0015185794329707117,-0.0015185794329707117,2.9800365468382317,False,stop,17,99.86407368913203,0.01,0.0004
