symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,return,score,same_bar,exit_reason,id,equity_after_exit,position_fraction,fee_per_side
Q,short,short_max_v7_devw120,34,35,38,1767236100,1767237000,0.018813,0.019661708768225948,-0.043965565019328,-0.043965565019328,4.004359054018347,False,stop,1,99.95603443498067,0.01,0.0004
Q,short,short_max_v7_devw120,39,40,47,1767237600,1767239700,0.018982,0.020192098139783492,-0.06072929171631234,-0.06072929171631234,3.354735576810949,False,stop,2,99.89533184324058,0.01,0.0004
BANANAS31,short,short_max_v7_devw120,55,56,58,1767242400,1767243000,0.003961,0.004033095200645727,-0.018675898549130186,-0.018675898549130186,3.601218272501505,False,stop,8,99.85832528917244,0.01,0.0004
4,short,short_max_v7_devw120,56,57,58,1767242700,1767243000,0.01967,0.020021771109625795,-0.018369430181762268,-0.018369430181762268,4.0121085928569595,False,stop,11,99.8769816400028,0.01,0.0004
1000CAT,short,short_max_v7_devw120,57,58,58,1767243000,1767243000,0.00269,0.0027265597958535657,-0.014208763640234134,-0.014208763640234134,3.375724627231577,True,stop,14,99.81550206350327,0.01,0.0004
TST,short,short_max_v7_devw120,57,58,58,1767243000,1767243000,0.0167,0.01717886459180608,-0.028675217785608862,-0.028675217785608862,3.8037090789445642,True,stop,13,99.8296906969187,0.01,0.0004
MUBARAK,short,short_max_v7_devw120,57,58,61,1767243000,1767243900,0.02031,0.021443301813397996,-0.05365108717212084,-0.05365108717212084,4.429372053839887,False,stop,12,99.76192698635376,0.01,0.0004
TURTLE,short,short_max_v7_devw120,59,60,61,1767243600,1767243900,0.06058,0.061521685335699905,-0.016106559476735647,-0.016106559476735647,2.7302198010322383,False,stop,17,99.7458501431469,0.01,0.0004
4,short,short_max_v7_devw120,60,61,61,1767243900,1767243900,0.0205,0.020997395189166556,-0.024488423477555064,-0.024488423477555064,4.0084285733509475,True,stop,18,99.72142395696255,0.01,0.0004
BROCCOLI714,short,short_max_v7_devw120,60,61,61,1767243900,1767243900,0.03718,0.04232230380673177,-0.12230339996174408,-0.12230339996174408,3.7048101471401504,True,stop,19,99.59943139091673,0.01,0.0004
LIGHT,short,short_max_v7_devw120,51,52,62,1767241200,1767244200,1.3356,1.3406553368781573,-0.00457079532605984,-0.00457079532605984,3.033228450539029,False,stop,5,99.59486537975789,0.01,0.0004
IOTX,short,short_max_v7_devw120,54,55,63,1767242100,1767244500,0.00745,0.007454872253741967,-0.0014535663625250043,-0.0014535663625250043,2.700920877578324,False,stop,7,99.4948577477036,0.01,0.0004
BROCCOLIF3B,short,short_max_v7_devw120,58,59,63,1767243300,1767244500,0.00736,0.008159082204002513,-0.0987377562356849,-0.0987377562356849,2.78615924186968,False,stop,16,99.49630979264501,0.01,0.0004
TST,short,short_max_v7_devw120,60,61,63,1767243900,1767244500,0.01702,0.01764039275991179,-0.03596887454578943,-0.03596887454578943,2.7134069592306074,False,stop,20,99.45898028800099,0.01,0.0004
MUBARAK,short,short_max_v7_devw120,62,63,64,1767244500,1767244800,0.02103,0.022607447015988467,-0.07057554851164147,-0.07057554851164147,4.297968954856727,False,stop,21,99.38878656711864,0.01,0.0004
TUT,short,short_max_v7_devw120,57,58,65,1767243000,1767245100,0.01655,0.017268471995698056,-0.04240599709557644,-0.04240599709557644,3.372008691364946,False,stop,15,99.31715591885653,0.01,0.0004
TLM,short,short_max_v7_devw120,63,64,65,1767244800,1767245100,0.002307,0.0023750812838878696,-0.02946482269458348,-0.02946482269458348,4.560396341943558,False,stop,22,99.35950183737835,0.01,0.0004
KOMA,short,short_max_v7_devw120,56,57,66,1767242700,1767245400,0.01115,0.011162359888255279,-0.0019072827232782022,-0.0019072827232782022,4.064605639057274,False,stop,10,99.31525063245093,0.01,0.0004
RIVER,short,short_max_v7_devw120,53,54,69,1767241800,1767246300,10.377,10.409710972402808,-0.003942351645451736,-0.003942351645451736,3.021097812914558,False,stop,6,99.31131240719228,0.01,0.0004
LIGHT,short,short_max_v7_devw120,63,64,72,1767244800,1767247200,1.3835,1.389136161549646,-0.004857313966514764,-0.004857313966514764,2.9862666640528412,False,stop,23,99.30648478178121,0.01,0.0004
TURTLE,short,short_max_v7_devw120,65,66,73,1767245400,1767247500,0.06331,0.06461010867070685,-0.020922372449998592,-0.020922372449998592,4.704704884616425,False,stop,25,99.28570567514424,0.01,0.0004
TLM,short,short_max_v7_devw120,66,67,77,1767245700,1767248700,0.002829,0.0028411118511880765,-0.0050630673561872005,-0.0050630673561872005,4.550801270536132,False,stop,28,99.28067727710976,0.01,0.0004
RIVER,short,short_max_v7_devw120,75,76,84,1767248400,1767250800,10.862,10.902681799096259,-0.004531357095978938,-0.004531357095978938,2.823026570203705,False,stop,29,99.27617828724036,0.01,0.0004
LIGHT,short,short_max_v7_devw120,94,95,103,1767254100,1767256500,1.5134,1.5268650413451017,-0.009618750171422863,-0.009618750171422863,2.685949249749976,False,stop,31,99.26662915967117,0.01,0.0004
AERGO,short,short_max_v7_devw120,125,126,127,1767263400,1767263700,0.06187,0.06369110960019465,-0.029392838335306457,-0.029392838335306457,4.794620305170392,False,stop,37,99.23745187984136,0.01,0.0004
LAB,short,short_max_v7_devw120,129,130,132,1767264600,1767265200,0.12695,0.1299751890818877,-0.024075127378208692,-0.024075127378208692,2.381368201817401,False,stop,39,99.2135603368944,0.01,0.0004
ZBT,short,short_max_v7_devw120,138,139,139,1767267300,1767267300,0.1599,0.1659041730252495,-0.03699060880605896,-0.03699060880605896,2.9177497543792685,True,stop,42,99.17686063690762,0.01,0.0004
NAORIS,short,short_max_v7_devw120,102,103,140,1767256500,1767267600,0.03908,0.03912087286109612,-0.0018447839760949761,-0.0018447839760949761,3.153201530385652,False,stop,33,99.17502938203927,0.01,0.0004
CLO,short,short_max_v7_devw120,139,140,144,1767267600,1767268800,0.4262,0.44126753781152694,-0.03494603731390398,-0.03494603731390398,3.901036131928833,False,stop,43,99.14037163926535,0.01,0.0004
ONT,short,short_max_v7_devw120,143,144,148,1767268800,1767270000,0.0675,0.06894237525087257,-0.021721461519478378,-0.021721461519478378,3.0984570390669672,False,stop,45,99.11883690158946,0.01,0.0004
LIGHT,short,short_max_v7_devw120,127,128,153,1767264000,1767271500,1.7483,1.7549340845826116,-0.004580247156228378,-0.004580247156228378,2.7863751947248954,False,stop,38,99.11429158102182,0.01,0.0004
SENT,short,short_max_v7_devw120,161,162,163,1767274200,1767274500,0.05573,0.05669900960275543,-0.017890414974520794,-0.017890414974520794,2.6342487629229554,False,stop,46,99.09655962295892,0.01,0.0004
TLM,short,short_max_v7_devw120,122,123,166,1767262500,1767275400,0.002768,0.0027756391047491177,-0.003552196687259234,-0.003552196687259234,3.5664161865376056,False,stop,36,99.09303347704636,0.01,0.0004
BAS,short,short_max_v7_devw120,168,169,170,1767276300,1767276600,0.006149,0.0063158040061731795,-0.02721057354062004,-0.02721057354062004,2.4630756510927307,False,stop,48,99.06606969429846,0.01,0.0004
BAS,short,short_max_v7_devw120,171,172,177,1767277200,1767278700,0.006322,0.006510387193535888,-0.02973640392432206,-0.02973640392432206,2.691529711742292,False,stop,50,99.03661100766222,0.01,0.0004
GPS,short,short_max_v7_devw120,91,92,183,1767253200,1767280500,0.005399,0.005406449563298479,-0.002177903041776207,-0.002177903041776207,3.5834611260795723,False,stop,30,99.03444886875553,0.01,0.0004
SENT,short,short_max_v7_devw120,164,165,187,1767275100,1767281700,0.05704,0.057098889485190485,-0.0018313595539499509,-0.0018313595539499509,3.30538177636732,False,stop,47,99.03263405444324,0.01,0.0004
RVV,short,short_max_v7_devw120,188,189,189,1767282300,1767282300,0.005042,0.005177281701544089,-0.026929870720332347,-0.026929870720332347,3.4545803475718158,True,stop,55,99.00596469412143,0.01,0.0004
NAORIS,short,short_max_v7_devw120,181,182,190,1767280200,1767282600,0.04167,0.041719582606649264,-0.001988473219321251,-0.001988473219321251,2.8300749865709944,False,stop,52,99.00399537763423,0.01,0.0004
B,short,short_max_v7_devw120,191,192,192,1767283200,1767283200,0.1377,0.1397294694046754,-0.015324276183986551,-0.015324276183986551,2.9481675648831995,True,stop,56,98.98882373194938,0.01,0.0004
AERGO,short,short_max_v7_devw120,131,132,196,1767265200,1767284400,0.06329,0.06340885137876927,-0.0026743657420841053,-0.0026743657420841053,2.4890755866605874,False,stop,40,98.98617039848023,0.01,0.0004
RIVER,short,short_max_v7_devw120,187,188,196,1767282000,1767284400,8.317,8.355667915679058,-0.005427746826378676,-0.005427746826378676,2.449998447199967,False,stop,54,98.98079515782825,0.01,0.0004
TLM,short,short_max_v7_devw120,194,195,196,1767284100,1767284400,0.002894,0.003013175069987736,-0.04035132616579793,-0.04035132616579793,2.715396362678652,False,stop,57,98.94085185469649,0.01,0.0004
ALICE,short,short_max_v7_devw120,197,198,198,1767285000,1767285000,0.173,0.1764665052303161,-0.02044398414187318,-0.02044398414187318,2.6845076092954954,True,stop,61,98.92062440263348,0.01,0.0004
AERGO,short,short_max_v7_devw120,197,198,199,1767285000,1767285300,0.0653,0.06719039447140555,-0.02893489169512251,-0.02893489169512251,2.7147165921247964,False,stop,60,98.8919959743071,0.01,0.0004
