id,symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,equity_after_exit,position_fraction,fee_per_side
1,BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,4618,4619,4619,1569383400,1569383400,9068.78,9015.847843177138,-0.0066367450553284964,stop,99.99917040686809,0.00125,0.0004
2,BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,12897,12898,12905,1571867100,1571869200,7470.58,7414.746403384711,-0.008273796762137442,stop,99.99813619085268,0.00125,0.0004
3,BTC,short,short_main_v6_timeout210,13511,13512,13513,1572051300,1572051600,8260.03,8445.134799874291,-0.02271851335245065,stop,99.99529642961234,0.00125,0.0004
4,BTC,short,short_main_v6_timeout210,13512,13513,13514,1572051600,1572051900,8267.5,8466.004953454698,-0.024247299469591563,stop,99.99226565973974,0.00125,0.0004
5,BTC,short,short_main_v6_timeout210,13514,13515,13523,1572052200,1572054600,8354.94,8365.881457470368,-0.002107866663661339,stop,99.99200219678548,0.00125,0.0004
6,BTC,short,short_main_v6_timeout210,13516,13517,13526,1572052800,1572055500,8438.29,8448.901924425982,-0.002056012263002093,stop,99.99174521580707,0.00125,0.0004
7,BTC,short,short_main_v6_timeout210,13631,13632,13842,1572087300,1572150300,9990.01,9002.06,0.10894710232991126,timeout,100.00536247942979,0.00125,0.0004
8,BTC,short,short_main_v6_timeout210,13633,13634,13844,1572087900,1572150900,10055.02,8974.0,0.11966133273902382,timeout,100.02032094812397,0.00125,0.0004
9,BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,21277,21278,21282,1574381100,1574382300,7500.97,7676.245780473135,0.022567081920489642,target,100.02314240659466,0.00125,0.0004
10,ETH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,5600,5601,5601,1576553400,1576553400,135.01,134.4130121913772,-0.005221804374659666,stop,100.02248952999142,0.00125,0.0004
11,ETH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,5901,5902,5909,1576643700,1576645800,122.39,121.51673995400212,-0.007935060429756313,stop,100.02149742436796,0.00125,0.0004
12,BCH,short,short_main_v6_timeout210,7558,7559,7567,1579045800,1579048200,327.93,328.5696522383635,-0.0027467782067087435,stop,100.0211540032813,0.00125,0.0004
13,BCH,short,short_main_v6_timeout210,7572,7573,7586,1579050000,1579053900,341.28,342.0671413696795,-0.0031011311946763423,stop,100.02076627988029,0.00125,0.0004
14,XRP,short,short_main_v6_timeout210,2408,2409,2417,1579053900,1579056300,0.2411,0.24133749868687546,-0.0017840935957640128,stop,100.02054322186959,0.00125,0.0004
15,BCH,short,short_main_v6_timeout210,7661,7662,7662,1579076700,1579076700,350.81,358.9638354718651,-0.023514921855976676,stop,100.01760325279726,0.00125,0.0004
16,TRX,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,207,208,209,1579170300,1579170600,0.01633,0.016148995064034874,-0.011884196936015145,stop,100.0161174666796,0.00125,0.0004
17,ETC,short,short_main_v6_timeout210,252,253,262,1579269900,1579272600,9.22,9.233124597404936,-0.0022214686768794226,stop,100.01583973833942,0.00125,0.0004
18,ETC,short,short_main_v6_timeout210,265,266,267,1579273800,1579274100,9.814,10.11588041722317,-0.03064222873069875,stop,100.01200885304199,0.00125,0.0004
19,ETC,short,short_main_v6_timeout210,267,268,282,1579274400,1579278600,10.123,10.141367435079264,-0.0026111398878746243,stop,100.01168242136,0.00125,0.0004
20,ETC,short,short_main_v6_timeout210,387,388,389,1579310400,1579310700,11.552,12.072285881016617,-0.04389754475204686,stop,100.00619458722899,0.00125,0.0004
21,ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,427,428,428,1579322400,1579322400,10.92,10.689638596535634,-0.021895366617615906,stop,100.00345749686083,0.00125,0.0004
22,LINK,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,141,142,163,1579323000,1579329300,2.628,2.685,0.02088949771689488,time,100.00606877435716,0.00125,0.0004
23,ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,479,480,492,1579338000,1579341600,9.16,8.947460497471148,-0.0240030024594817,stop,100.00306821696371,0.00125,0.0004
24,BCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,8589,8590,8596,1579355100,1579356900,358.4,353.5183076219075,-0.014420793465659698,stop,100.00126556247285,0.00125,0.0004
25,LINK,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,248,249,270,1579355100,1579361400,2.571,2.624,0.019814546868922502,time,100.00374241217715,0.00125,0.0004
27,ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,667,668,676,1579394400,1579396800,8.586,8.44314288117373,-0.017438378619411974,stop,100.00156253327272,0.00125,0.0004
26,BCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,8720,8721,8730,1579394400,1579397100,341.18,335.82339270029695,-0.016500238289768075,stop,99.99949997125879,0.00125,0.0004
28,ETC,short,short_main_v6_timeout210,827,828,828,1579442400,1579442400,9.084,9.25072524206459,-0.018822937413216254,stop,99.99714711584716,0.00125,0.0004
29,BCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,8953,8954,8954,1579464300,1579464300,338.0,334.32311748443,-0.011678350637781087,stop,99.99568736366365,0.00125,0.0004
