id,symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,equity_after_exit,position_fraction,fee_per_side
1,BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,4618,4619,4619,1569383400,1569383400,9068.78,9015.847843177138,-0.0066367450553284964,stop,99.99336325494467,0.01,0.0004
2,BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,12897,12898,12905,1571867100,1571869200,7470.58,7414.746403384711,-0.008273796762137442,stop,99.98509000729332,0.01,0.0004
3,BTC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,21277,21278,21282,1574381100,1574382300,7500.97,7676.245780473135,0.022567081920489642,target,100.00765372446355,0.01,0.0004
4,ETH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,5600,5601,5601,1576553400,1576553400,135.01,134.4130121913772,-0.005221804374659666,stop,100.00243152042638,0.01,0.0004
5,ETH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,5901,5902,5909,1576643700,1576645800,122.39,121.51673995400212,-0.007935060429756313,stop,99.99449626705402,0.01,0.0004
6,TRX,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,207,208,209,1579170300,1579170600,0.01633,0.016148995064034874,-0.011884196936015145,stop,99.98261272419246,0.01,0.0004
7,ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,427,428,428,1579322400,1579322400,10.92,10.689638596535634,-0.021895366617615906,stop,99.96072116458262,0.01,0.0004
8,LINK,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,141,142,163,1579323000,1579329300,2.628,2.685,0.02088949771689488,time,99.9816024571481,0.01,0.0004
9,ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,479,480,492,1579338000,1579341600,9.16,8.947460497471148,-0.0240030024594817,stop,99.95760387065128,0.01,0.0004
10,BCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,8589,8590,8596,1579355100,1579356900,358.4,353.5183076219075,-0.014420793465659698,stop,99.94318919104387,0.01,0.0004
11,LINK,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,248,249,270,1579355100,1579361400,2.571,2.624,0.019814546868922502,time,99.96299248110843,0.01,0.0004
13,ETC,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,667,668,676,1579394400,1579396800,8.586,8.44314288117373,-0.017438378619411974,stop,99.94556055600027,0.01,0.0004
12,BCH,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,8720,8721,8730,1579394400,1579397100,341.18,335.82339270029695,-0.016500238289768075,stop,99.92906930034849,0.01,0.0004
