variant,same_symbol_mode,close_due_mode,dd_mode,freeze_decrement,dd_trigger_mode,guard_count_position,trades,generated_trades_before_guard,blocked_by_guard,blocked_by_same_symbol,skipped,max_conc,active_leftover,wins,same_bar_trades,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,score_distance_fast,wins_full,losses,win_rate_pct,same_bar_trades_full,profit_factor,exact_match_core,exact_match_full,score_distance_full
signal_block_exit_i_plus_1|per_timestamp|dd_off,signal_block_exit_i_plus_1,per_timestamp,off,none,none,none,33685,33685,0,18796,0,278,0,-1,-1,759.9870135182435,760.4065646541851,4.561387204348746,821.1600897086726,340410,4789.0,28896.0,14.217010538815497,3093.0,1.4312983260436396,0.0,0.0,340600.0
signal_block_exit_i_plus_1|per_candidate|dd_off,signal_block_exit_i_plus_1,per_candidate,off,none,none,none,33685,33685,0,18796,0,278,0,-1,-1,759.9870135182435,760.4065646541851,4.561387204348746,821.1600897086726,340410,4789.0,28896.0,14.217010538815497,3093.0,1.4312983260436396,0.0,0.0,340600.0
signal_block_exit_i_plus_1|per_candidate|edge_current_after_accept|per_candidate|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_candidate,edge_current_after_accept,per_candidate,cross_only,after_same_symbol_before_accept,33639,33710,71,18771,0,278,0,-1,-1,756.7890917496518,757.2070827553941,4.5537970889379835,818.1716115747087,385010,4781.0,28858.0,14.21266981777104,3087.0,1.4310639098390272,0.0,0.0,385260.0
signal_block_exit_i_plus_1|per_candidate|edge_current|per_new_timestamp_after_check|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_candidate,edge_current,per_new_timestamp_after_check,cross_only,after_same_symbol_before_accept,33630,33706,76,18775,0,278,0,-1,-1,764.2891522312533,764.7108021979395,4.553570263337354,825.3355882451882,394910,4786.0,28844.0,14.23134106452572,3083.0,1.4329330086191159,0.0,0.0,395200.0
signal_block_exit_i_plus_1|per_candidate|direct_current|per_new_timestamp_after_check|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_candidate,direct_current,per_new_timestamp_after_check,cross_only,after_same_symbol_before_accept,33630,33706,76,18775,0,278,0,-1,-1,764.2891522312533,764.7108021979395,4.553570263337354,825.3355882451882,394910,4786.0,28844.0,14.23134106452572,3083.0,1.4329330086191159,0.0,0.0,395200.0
signal_block_exit_i_plus_1|per_candidate|edge_current|per_candidate|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_candidate,edge_current,per_candidate,cross_only,after_same_symbol_before_accept,33622,33707,85,18774,0,278,0,-1,-1,757.106422930935,757.5245687490823,4.5535702633373525,818.4765849857123,403710,4781.0,28841.0,14.219856046636131,3090.0,1.4313877614260901,0.0,0.0,403930.0
signal_block_exit_i_plus_1|per_candidate|direct_current|per_candidate|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_candidate,direct_current,per_candidate,cross_only,after_same_symbol_before_accept,33622,33707,85,18774,0,278,0,-1,-1,757.106422930935,757.5245687490823,4.5535702633373525,818.4765849857123,403710,4781.0,28841.0,14.219856046636131,3090.0,1.4313877614260901,0.0,0.0,403930.0
signal_block_exit_i_plus_1|per_timestamp|edge_current|per_new_timestamp_after_check|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_timestamp,edge_current,per_new_timestamp_after_check,cross_only,after_same_symbol_before_accept,33621,33718,97,18763,0,278,0,-1,-1,759.9533360863471,760.3728707925003,4.530304469579476,821.3953601719385,404810,4783.0,28838.0,14.226227655334464,3088.0,1.4318619153163423,0.0,0.0,405050.0
signal_block_exit_i_plus_1|per_timestamp|direct_current|per_new_timestamp_after_check|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_timestamp,direct_current,per_new_timestamp_after_check,cross_only,after_same_symbol_before_accept,33621,33718,97,18763,0,278,0,-1,-1,759.9533360863471,760.3728707925003,4.530304469579476,821.3953601719385,404810,4783.0,28838.0,14.226227655334464,3088.0,1.4318619153163423,0.0,0.0,405050.0
signal_block_exit_i_plus_1|per_timestamp|edge_current_after_accept|per_candidate|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_timestamp,edge_current_after_accept,per_candidate,cross_only,after_same_symbol_before_accept,33621,33725,104,18756,0,278,0,-1,-1,754.1515798199958,754.5682840956962,4.526020827513901,815.8903455721968,404810,4778.0,28843.0,14.211355997739508,3082.0,1.4308274469351763,0.0,0.0,405110.0
signal_block_exit_i_plus_1|per_timestamp|edge_current|per_candidate|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_timestamp,edge_current,per_candidate,cross_only,after_same_symbol_before_accept,33620,33725,105,18756,0,278,0,-1,-1,753.2324840187064,753.6487399066039,4.526020827513831,815.0124201446215,405910,4777.0,28843.0,14.208804283164783,3082.0,1.4306121975020913,0.0,0.0,406210.0
signal_block_exit_i_plus_1|per_timestamp|direct_current|per_candidate|cross_only|after_same_symbol_before_accept,signal_block_exit_i_plus_1,per_timestamp,direct_current,per_candidate,cross_only,after_same_symbol_before_accept,33620,33725,105,18756,0,278,0,-1,-1,753.2324840187064,753.6487399066039,4.526020827513831,815.0124201446215,405910,4777.0,28843.0,14.208804283164783,3082.0,1.4306121975020913,0.0,0.0,406210.0
