period,trades,final_return_pct,max_drawdown_pct,official_cd_value,profit_factor,win_rate_pct,max_conc,same_bar_trades
ALL_TO_2026_END,106337,20964.787242703645,5.655961392725716,19873.371008796516,2.0010696725618833,7.573093090833859,325,43108
2023_FULL_ONLY,11172,58.13785276936261,1.9196538272639008,155.1021534263226,1.8189380113743816,8.190118152524168,150,3108
2023_Q1_ONLY,3518,14.325085464094588,1.7267029478541307,112.3510308432493,1.788019269223446,8.044343376918704,124,1343
2023_Q2_ONLY,1512,10.323127557474066,0.7407560159741422,109.50590235308125,2.4326128966174587,9.656084656084655,40,277
2023_Q3_ONLY,1916,6.086867947969532,1.9196538272637897,104.05036732718206,1.5775327011072602,8.037578288100208,150,480
2023_Q4_ONLY,4163,18.189767860775795,1.1023874435097558,116.88685870036528,1.7767459971835455,7.950996877251981,25,1010
2024_FULL_ONLY,21615,134.59296305171026,1.822985917841291,230.31636637103094,1.9135547532977255,7.323617857969003,183,8926
2024_Q1_ONLY,6319,28.62664863482798,1.2316237398460883,127.04245229447302,1.7819601534322322,7.865168539325842,81,2191
2024_Q2_ONLY,4328,17.424626654286236,1.1906419005761393,116.0265198477452,2.0787824064930964,6.700554528650647,183,1988
2024_Q3_ONLY,3857,11.102068719138813,1.2932521833461164,109.66523878968586,1.7756071320306852,6.792844179414052,98,1520
2024_Q4_ONLY,7034,38.95451317826275,1.822985917841291,136.4213919708181,2.0143545031303796,7.549047483650839,96,3204
2025_FULL_ONLY,43771,1529.7313609927087,5.655961392725628,1537.5543844098192,2.098346033746182,7.977884900961824,325,22328
2025_Q1_ONLY,8181,61.45378635107133,5.655961392725628,152.32202252796102,2.1428443492762224,8.04302652487471,325,4476
2025_Q2_ONLY,9240,58.66354698943957,2.8716572165906284,154.10727379221865,1.943272321963174,7.532467532467532,267,4613
2025_Q3_ONLY,10418,85.4537995293652,2.9551971699104507,179.97327409418202,1.9151462745198007,7.870992512958342,213,4480
2025_Q4_ONLY,15765,219.762672775114,2.6957650399921262,311.14262243149807,2.221224519196206,8.341262289882652,169,8696
2026_FULL_ONLY,1483,7.8345965695261865,1.1085064239765963,106.63924313928375,2.024525285956021,9.575185434929198,33,654
2026_Q1_ONLY,1483,7.8345965695261865,1.1085064239765963,106.63924313928375,2.024525285956021,9.575185434929198,33,654
2026_Q2_ONLY,0,0.0,0.0,100.0,0.0,0.0,0,0
2026_Q3_ONLY,0,0.0,0.0,100.0,0.0,0.0,0,0
2026_Q4_ONLY,0,0.0,0.0,100.0,0.0,0.0,0,0
