strategy_name,side,description,symbols_tested,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,delta_cd_value_vs_baseline,verdict
6V2_L10_vol_reclaim_thrust,long,거래량 급증 동반 하단 회복 추격,597,4,0,4,0.0,-14.123,0.0,14.123,73.7487,108.8106,-35.0619,mdd_fail
6V2_L01_reclaim_uptrend_gate,long,L01 정제형: 상위 추세 회복형 급락 회수,597,79,34,45,43.038,-12.327,0.0,33.1169,58.6384,108.8106,-50.1722,mdd_fail
6V2_L02_breakout_confirm_reclaim,long,급락 회수 후 신호봉 고가 돌파 확인,597,1659,545,1114,32.8511,-96.6327,50.7413,98.9991,0.0337,108.8106,-108.7769,mdd_fail
6V2_L08_failed_breakdown_trend,long,상승 문맥 내 하단 이탈 실패,597,3984,1331,2653,33.4086,-98.1702,0.0,98.1702,0.0335,108.8106,-108.7771,mdd_fail
6V2_L03_range_failure_recovery,long,장기 하단 이탈 실패 후 범위 복귀,597,64785,21996,42789,33.9523,-100.0,0.8182,100.0,0.0,108.8106,-108.8106,ruin
6V2_L04_trend_pullback_resume,long,상승 추세 중 EMA20 되돌림 후 재상승,597,725637,234267,491370,32.2843,-100.0,7.3879,100.0,0.0,108.8106,-108.8106,ruin
6V2_L05_breakout_retest_hold,long,박스 상단 돌파 후 재지지 확인,597,623475,190034,433441,30.4798,-100.0,0.0,100.0,0.0,108.8106,-108.8106,ruin
6V2_L06_squeeze_release_long,long,압축 후 상방 확장,597,723115,221823,501292,30.676,-100.0,2.8554,100.0,0.0,108.8106,-108.8106,ruin
6V2_L07_higher_low_reversal,long,고점은 약하지만 저점 상승 전환,597,1196286,399998,796288,33.4367,-100.0,4.5323,100.0,0.0,108.8106,-108.8106,ruin
6V2_L09_leader_strength_ignition,long,강한 상대강도 후 재점화,597,41332,12167,29165,29.4372,-100.0,12.8726,100.0,0.0,108.8106,-108.8106,ruin
6V2_S07_bear_flag_break,short,약세 플래그 하단 이탈,597,0,0,0,0.0,0.0,0.0,0.0,100.0,391.9606,-291.9606,below_baseline
6V2_S01_trend_bounce_fail,short,하락 추세 중 약한 반등 실패,597,17292,5233,12059,30.2625,-100.0,16.8953,100.0,0.0,391.9606,-391.9606,ruin
6V2_S02_failed_breakout_short,short,상방 돌파 실패 후 재하락,597,178942,62593,116349,34.9795,-100.0,1.493,100.0,0.0,391.9606,-391.9606,ruin
6V2_S03_range_break_pressure,short,압축 후 하단 이탈 + 추세 압력,597,161099,49893,111206,30.9704,-100.0,0.0,100.0,0.0,391.9606,-391.9606,ruin
6V2_S04_bear_pullback_ema,short,하락 추세 EMA20 반등 후 재하락,597,859458,294904,564554,34.3128,-100.0,1.7489,100.0,0.0,391.9606,-391.9606,ruin
6V2_S05_lower_high_rollover,short,낮은 고점 형성 후 롤오버,597,1387734,479044,908690,34.5199,-100.0,0.9162,100.0,0.0,391.9606,-391.9606,ruin
6V2_S06_upthrust_exhaustion,short,장대 윗꼬리 과열 후 소진,597,7759,2680,5079,34.5405,-100.0,596.77,100.0,0.0,391.9606,-391.9606,ruin
6V2_S08_weak_reclaim_trap,short,약한 상방 복귀 실패 트랩,597,1157969,391250,766719,33.7876,-100.0,0.9944,100.0,0.0,391.9606,-391.9606,ruin
6V2_S09_distribution_breakdown,short,분배 구간 하단 붕괴,597,559482,175475,384007,31.3638,-100.0,0.0,100.0,0.0,391.9606,-391.9606,ruin
6V2_S10_volatility_expansion_short,short,변동성 확장 하락 가속,597,25511,7534,17977,29.5324,-100.0,262.8143,100.0,0.0,391.9606,-391.9606,ruin
