batch_label,strategy_name,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,ruined,verdict
7V5_LONG40_REVIEWED,7V5_L09_V03_beartrap_lowanchor_softcap,long,beartrap lowanchor softcap,5m,597,7656,2839,4817,37.08202716823406,39.48899066258227,40.247335174201716,11.270971644794747,123.76722607739224,121.53,False,candidate_cd_win_mdd_fail
7V5_LONG40_REVIEWED,7V5_L09_V04_beartrap_lowanchor_softcap_drive,long,beartrap lowanchor softcap drive,5m,597,6154,2385,3769,38.75528111797205,41.13497078444803,42.109781807718164,13.554808748973201,122.0043954166969,121.53,False,candidate_cd_win_mdd_fail
7V5_LONG40_REVIEWED,7V5_L09_V19_beartrap_agewindow_drive,long,beartrap age-window drive,5m,597,6290,2419,3871,38.45786963434023,40.20888028638865,41.17729485652573,13.699843689719204,121.00048284804788,121.53,False,mdd_fail
7V5_LONG40_REVIEWED,7V5_L09_V02_beartrap_cluster_softcap_extreme,long,beartrap cluster softcap extreme,5m,597,726,336,390,46.28099173553719,14.91524724385549,15.09220684006869,2.4717301893253274,112.07485238559127,121.53,False,baseline_fail
7V5_LONG40_REVIEWED,7V5_L09_V16_beartrap_shocklow_softretake,long,beartrap shock-low soft-retake,5m,597,3305,1217,2088,36.82299546142209,18.798189727786173,19.259999952784202,5.809108024898702,111.89707455487496,121.53,False,mdd_fail
7V5_LONG40_REVIEWED,7V5_L07_V04_wick_lowanchor_softcap_drive,long,wick lowanchor softcap drive,5m,597,1282,522,760,40.71762870514821,15.515548643580823,15.717015437076753,3.2255250742641017,111.78956565740839,121.53,False,baseline_fail
7V5_LONG40_REVIEWED,7V5_L09_V01_beartrap_cluster_softcap,long,beartrap cluster softcap,5m,597,3370,1236,2134,36.676557863501486,18.624848827686446,19.085985215816613,5.932315443461755,111.58764860089843,121.53,False,mdd_fail
7V5_LONG40_REVIEWED,7V5_L07_V19_wick_agewindow_drive,long,wick age-window drive,5m,597,1319,534,785,40.48521607278241,15.268330744724224,15.559842786125033,3.401037224925918,111.34801190754543,121.53,False,baseline_fail
7V5_LONG40_REVIEWED,7V5_L07_V02_wick_cluster_softcap_extreme,long,wick cluster softcap extreme,5m,597,753,340,413,45.15272244355909,13.628449382027718,13.837091379244427,3.044978037877877,110.16848805356379,121.53,False,baseline_fail
7V5_LONG40_REVIEWED,7V5_L07_V01_wick_cluster_softcap,long,wick cluster softcap,5m,597,1822,685,1137,37.596048298572995,15.742004736057735,16.02714521215742,5.2307272796204956,109.68785612034912,121.53,False,mdd_fail
7V5_LONG40_REVIEWED,7V5_L07_V16_wick_shocklow_softretake,long,wick shock-low soft-retake,5m,597,1819,684,1135,37.60307861462342,15.694337978848516,15.979361023753924,5.207364558492078,109.66971202675592,121.53,False,mdd_fail
7V5_LONG40_REVIEWED,7V5_L09_V08_beartrap_discount_bodyhold,long,beartrap discount body-hold,5m,597,2373,941,1432,39.65444584913612,7.92935345587813,11.04677176554636,2.8998584036512787,104.79955502968136,121.53,False,baseline_fail
