batch=8V12_LONG_SHORT_MAIN_MAX_400_NEW_NO_TRADE_CAP
cd_value_formula=100 * (1 - abs(max_drawdown_pct)/100) * (1 + max_return_pct/100)
official_promotion=max_drawdown_pct < 5.0
strategies=400
failed_symbols=0

REFERENCE BASELINES
long_main_v1=6V2_L01_doubleflush_core | side=long | cd=121.749029 | mdd=1.7512 | max=23.9191
long_max_v1=8V4_V51_V002_core_rare22_c1 | side=long | cd=134.515867 | mdd=6.7587 | max=44.2664
short_main_v1=short_beh_dd_brake | side=short | cd=392.214469 | mdd=4.7589 | max=311.8122
short_max_v1=short_only_reference_1x | side=short | cd=456.137449 | mdd=7.7792 | max=394.6145

BASELINE CHANGE CHECK
long_main_v1: candidate=long_max_v1_55_lx12_second_leg_absorption_lx12_2_14 | delta_cd=-16.045125 | beat=False | cand_cd=105.703904 | ref_cd=121.749029 | cand_mdd=1.2955 | cand_max=7.0913 | trades=849
long_max_v1: candidate=long_max_v1_1_lx12_range_expansion_runner_lx12_0_00 | delta_cd=-25.998028 | beat=False | cand_cd=108.517839 | ref_cd=134.515867 | cand_mdd=7.5061 | cand_max=17.3243 | trades=5737
short_main_v1: candidate=short_max_v1_25_sx12_pullback_continuation_sx12_1_04 | delta_cd=-292.191776 | beat=False | cand_cd=100.022693 | ref_cd=392.214469 | cand_mdd=0.0077 | cand_max=0.0304 | trades=3
short_max_v1: candidate=short_max_v1_25_sx12_pullback_continuation_sx12_1_04 | delta_cd=-356.114756 | beat=False | cand_cd=100.022693 | ref_cd=456.137449 | cand_mdd=0.0077 | cand_max=0.0304 | trades=3

LEADERS
long_mdd5_cd_1=long_max_v1_55_lx12_second_leg_absorption_lx12_2_14 | side=long | cd=105.703904 | mdd=1.2955 | max=7.0913 | trades=849 | verdict=official_mdd_pass
long_any_cd_1=long_max_v1_1_lx12_range_expansion_runner_lx12_0_00 | side=long | cd=108.517839 | mdd=7.5061 | max=17.3243 | trades=5737 | verdict=mdd_fail
short_mdd5_cd_1=short_max_v1_25_sx12_pullback_continuation_sx12_1_04 | side=short | cd=100.022693 | mdd=0.0077 | max=0.0304 | trades=3 | verdict=official_mdd_pass
short_any_cd_1=short_max_v1_25_sx12_pullback_continuation_sx12_1_04 | side=short | cd=100.022693 | mdd=0.0077 | max=0.0304 | trades=3 | verdict=official_mdd_pass

TOP 40 BY OFFICIAL-FIRST SORT
01. long_max_v1_55_lx12_second_leg_absorption_lx12_2_14 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=849 | win=43.2273 | final=5.7941 | max=7.0913 | mdd=1.2955 | cd=105.703904 | old_ratio_cd=5.4736
02. long_max_v1_19_lx12_range_expansion_runner_lx12_0_18 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=1064 | win=36.2782 | final=5.5979 | max=9.0823 | mdd=3.1943 | cd=105.597917 | old_ratio_cd=2.8433
03. long_max_v1_4_lx12_range_expansion_runner_lx12_0_03 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=1220 | win=35.4098 | final=5.4556 | max=9.0506 | mdd=3.2966 | cd=105.455628 | old_ratio_cd=2.7454
04. long_max_v1_16_lx12_range_expansion_runner_lx12_0_15 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=2570 | win=32.7626 | final=5.4058 | max=9.7956 | mdd=4.5495 | cd=104.800489 | old_ratio_cd=2.1531
05. long_max_v1_42_lx12_second_leg_absorption_lx12_2_01 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=494 | win=47.1660 | final=3.5590 | max=4.1534 | mdd=0.6093 | cd=103.518829 | old_ratio_cd=6.8168
06. long_max_v1_6_lx12_range_expansion_runner_lx12_0_05 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=2503 | win=31.7219 | final=3.8989 | max=8.2341 | mdd=4.5232 | cd=103.338489 | old_ratio_cd=1.8204
07. long_max_v1_12_lx12_range_expansion_runner_lx12_0_11 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=1897 | win=31.7870 | final=3.5913 | max=8.3841 | mdd=4.6750 | cd=103.317090 | old_ratio_cd=1.7934
08. long_max_v1_50_lx12_second_leg_absorption_lx12_2_09 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=177 | win=58.7571 | final=3.1930 | max=3.3192 | mdd=0.2404 | cd=103.070819 | old_ratio_cd=13.8072
09. long_max_v1_14_lx12_range_expansion_runner_lx12_0_13 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=722 | win=36.4266 | final=2.9787 | max=5.7928 | mdd=2.6748 | cd=102.963041 | old_ratio_cd=2.1657
10. long_max_v1_7_lx12_range_expansion_runner_lx12_0_06 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_range_expansion_runner | side=long | verdict=official_mdd_pass | trades=1379 | win=33.5751 | final=3.8099 | max=6.9690 | mdd=3.9459 | cd=102.748135 | old_ratio_cd=1.7661
11. long_max_v1_43_lx12_second_leg_absorption_lx12_2_02 | parent=8V4_V51_V002_core_rare22_c1 | family=long_max_v1_improvements | group=lx12_second_leg_absorption | side=long | verdict=official_mdd_pass | trades=274 | win=55.8394 | final=2.6445 | max=3.1102 | mdd=0.4516 | cd=102.644541 | old_ratio_cd=6.8868
