strategy_name,axis,parent_alias,parent_strategy,family,group,side,description,total_trades,total_wins,total_losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,old_ratio_cd_value,mdd_under_5,beats_axis_reference,reference_alias,reference_strategy,reference_cd_value,reference_max_return_pct,reference_max_drawdown_pct
long_max_v1_050_lx13_breakout_pullback_gate_24,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_24,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4219,642,3577,15.216876,-14.96708,0.0,15.360341,84.639659,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_045_lx13_breakout_pullback_gate_19,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_19,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4334,695,3639,16.035994,-15.121602,0.0,15.464325,84.535675,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_048_lx13_breakout_pullback_gate_22,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_22,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4739,588,4151,12.407681,-15.184316,0.0,15.486966,84.513034,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_040_lx13_breakout_pullback_gate_14,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_14,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4415,745,3670,16.874292,-15.356157,0.0,15.672628,84.327372,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_035_lx13_breakout_pullback_gate_09,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_09,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4197,731,3466,17.417203,-15.521304,0.0,15.812843,84.187157,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_049_lx13_breakout_pullback_gate_23,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_23,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4487,612,3875,13.639403,-15.782067,0.0,16.081423,83.918577,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_030_lx13_breakout_pullback_gate_04,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_04,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4567,874,3693,19.137289,-15.728897,0.0,16.081459,83.918541,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_043_lx13_breakout_pullback_gate_17,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_17,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4908,645,4263,13.141809,-15.988729,0.0,16.332907,83.667093,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_044_lx13_breakout_pullback_gate_18,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_18,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4637,672,3965,14.492129,-16.118601,0.0,16.43315,83.56685,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_047_lx13_breakout_pullback_gate_21,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_21,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4979,588,4391,11.8096,-16.121373,0.0,16.435391,83.564609,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_034_lx13_breakout_pullback_gate_08,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_08,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4452,700,3752,15.72327,-16.217618,0.0,16.514712,83.485288,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_039_lx13_breakout_pullback_gate_13,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_13,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4715,726,3989,15.397667,-16.426136,0.0,16.741328,83.258672,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_033_lx13_breakout_pullback_gate_07,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_07,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4740,663,4077,13.987342,-16.644795,0.0,16.902682,83.097318,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_042_lx13_breakout_pullback_gate_16,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_16,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,5158,648,4510,12.563009,-16.635027,0.0,16.995808,83.004192,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_029_lx13_breakout_pullback_gate_03,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_03,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,4867,855,4012,17.56729,-16.637366,0.0,17.02581,82.97419,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_038_lx13_breakout_pullback_gate_12,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_12,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,5006,689,4317,13.763484,-16.764122,0.0,17.095334,82.904666,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_046_lx13_breakout_pullback_gate_20,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_breakout_pullback_gate_20,long,8V12 range_expansion의 거래 밀도 장점만 가져오되 shock guard와 pullback gate로 MDD를 누른다.,5332,536,4796,10.052513,-17.363422,0.0,17.599121,82.400879,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
