strategy,side,axis,parent,group,entry,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,name,stop_atr,rr,hold,cooldown,atrp_min,atrp_max,range20_max,vol_min,body_min,close_pos_long_min,close_pos_short_max,wick_min,ret3_floor,ret5_floor,ret10_floor,ret20_floor,ret3_ceil,ret5_ceil,ret10_ceil,ret20_ceil,trend_required,reclaim_required,anchor_required,breakout_bonus,absorb_bonus,be_r,trail_r,trail_atr,fail_bars,fail_pnl,post_loss_after,post_loss_bars,sym_dd_pct,sym_dd_bars,shock_lb,shock_ret5,shock_range,shock_close_pos
8V14_long_main_v1_040_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,106453,27992,78461,26.295172517449018,-92.34342204614534,0.0,98.59367220811868,1.4063277918813233,8V14_long_main_v1_040_lm_return_lift,1.25,2.25,27,16,0.0037,0.068,0.232,1.075,0.16,0.605,0.4,0.6000000000000001,-0.068,-0.10200000000000001,-0.15,-0.19,0.2,0.26,0.32,0.42,True,True,True,0.38,0.36,1.14,1.44,1.7200000000000002,8,-0.67,3,22,0.204,32,9,-0.044,0.098,0.28
8V14_long_main_v1_007_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,149297,33341,115956,22.331995954372825,-96.18432428507906,0.0,99.05420371964854,0.945796280351463,8V14_long_main_v1_007_lm_return_lift,1.1,2.15,18,20,0.0034,0.055999999999999994,0.218,1.075,0.16,0.605,0.4,0.3,-0.062,-0.094,-0.13999999999999999,-0.19,0.2,0.26,0.32,0.42,False,True,True,0.26,0.31,0.8999999999999999,1.33,1.32,5,-0.67,2,14,0.204,16,11,-0.044,0.068,0.28
8V14_long_main_v1_022_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,159640,27590,132050,17.2826359308444,-96.93844210167558,0.0,99.11999069654061,0.8800093034593837,8V14_long_main_v1_022_lm_return_lift,1.1,2.4499999999999997,27,8,0.0031,0.052,0.218,1.24,0.265,0.6749999999999999,0.33999999999999997,0.6000000000000001,-0.056,-0.086,-0.13,-0.19,0.2,0.26,0.32,0.42,True,True,True,0.26,0.46,0.8999999999999999,1.66,1.52,8,-0.91,3,30,0.252,24,5,-0.056,0.08800000000000001,0.28
8V14_long_main_v1_025_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,204141,54520,149621,26.707030924704007,-98.62421003717388,0.0,99.88295872274391,0.11704127725609137,8V14_long_main_v1_025_lm_return_lift,1.25,2.4499999999999997,18,14,0.0028,0.055999999999999994,0.232,1.24,0.265,0.71,0.31,0.3,-0.05,-0.078,-0.12,-0.19,0.2,0.26,0.32,0.42,True,True,True,0.38,0.46,1.14,1.66,1.62,5,-1.03,2,10,0.276,28,8,-0.062,0.08800000000000001,0.28
8V14_long_main_v1_010_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,197460,65376,132084,33.10847766636281,-98.56416911998906,0.0,99.89770223036176,0.10229776963823767,8V14_long_main_v1_010_lm_return_lift,1.25,2.15,27,12,0.0031,0.06,0.232,1.075,0.195,0.605,0.4,0.6000000000000001,-0.056,-0.086,-0.13,-0.19,0.2,0.26,0.32,0.42,True,True,True,0.38,0.31,1.14,1.33,1.4200000000000002,8,-0.67,3,18,0.204,20,7,-0.044,0.068,0.28
8V14_long_main_v1_037_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,257791,36227,221564,14.052856771570768,-99.56368500340803,0.0,99.92450185436952,0.07549814563048152,8V14_long_main_v1_037_lm_return_lift,1.1,2.25,18,10,0.0028,0.068,0.218,1.075,0.16,0.605,0.4,0.3,-0.05,-0.078,-0.12,-0.19,0.2,0.26,0.32,0.42,True,True,True,0.26,0.36,0.8999999999999999,1.44,1.7200000000000002,5,-0.67,2,22,0.204,32,6,-0.044,0.098,0.28
8V14_long_main_v1_030_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,199156,58320,140836,29.28357669364719,-98.85518725886139,0.0,99.96393809031954,0.03606190968045153,8V14_long_main_v1_030_lm_return_lift,1.25,2.05,33,10,0.0031,0.06,0.246,1.295,0.30000000000000004,0.71,0.31,0.8,-0.056,-0.086,-0.13,-0.23,0.2,0.26,0.32,0.42,True,False,True,0.38,0.26,1.14,1.22,1.62,10,-1.03,3,14,0.276,28,6,-0.062,0.08800000000000001,0.28
8V14_long_max_v1_026_lx_dd_compress,long,long_max,8V4_V51_V002_core_rare22_c1,lx_dd_compress,long_dd_compress,290854,44965,245889,15.45964642054089,-99.83422081711272,0.0,99.97957180386871,0.02042819613129465,8V14_long_max_v1_026_lx_dd_compress,1.05,1.9,21,16,0.0031,0.0475,0.18,1.295,0.265,0.71,0.31,0.4,-0.056,-0.086,-0.13,-0.21,0.2,0.26,0.32,0.42,False,True,True,0.22,0.26,0.82,1.1,1.45,6,-1.03,3,10,0.22000000000000003,28,9,-0.062,0.08800000000000001,0.28
8V14_long_main_v1_012_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,242688,52266,190422,21.53629351265823,-99.79730076398981,0.0,99.99065548952794,0.009344510472064638,8V14_long_main_v1_012_lm_return_lift,1.1,2.25,33,16,0.0037,0.06,0.232,1.1300000000000001,0.195,0.605,0.4,0.8,-0.068,-0.10200000000000001,-0.15,-0.23,0.2,0.26,0.32,0.42,True,False,True,0.26,0.36,0.8999999999999999,1.44,1.4200000000000002,10,-0.67,3,18,0.204,20,9,-0.044,0.078,0.28
8V14_long_main_v1_020_lm_return_lift,long,long_main,6V2_L01_doubleflush_core,lm_return_lift,long_return_lift,200940,65541,135399,32.617199163929534,-99.1465332067239,0.0,99.9908945954342,0.009105404565801223,8V14_long_main_v1_020_lm_return_lift,1.25,2.3499999999999996,21,18,0.0037,0.068,0.20400000000000001,1.185,0.23,0.6749999999999999,0.33999999999999997,0.4,-0.068,-0.10200000000000001,-0.15,-0.21,0.2,0.26,0.32,0.42,True,False,True,0.38,0.41000000000000003,1.14,1.55,1.52,6,-0.91,3,26,0.252,24,10,-0.056,0.078,0.28
