batch_label,strategy_name,parent,family,group,side,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,legacy_equity_cd_value,official_pass_mdd_lt_5,verdict,description
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,8V5_V51P_V001_core_base,core_base,hybrid_cover,long,5m,597,652,285,367,43.711656,3.059949,5.251008,2.131159,2.463921322,100.863578,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V001_core_base; group=hybrid_cover; tag=hyb18; focus=limited hybrid of safe branches without over-suppressing V51 edge
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P2_CORE_BASE_I050_mdd_compress_mdd15,8V5_V51P_V001_core_base,core_base,mdd_compress,long,5m,597,501,240,261,47.904192,2.294418,3.782202,1.565813,2.415487464,100.692679,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V001_core_base; group=mdd_compress; tag=mdd15; focus=bring core/shocklow MDD below 5 using strict and lowanchor gates
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P3_SHOCKLOW_RARE22_C1_I088_hybrid_cover_hyb18,8V5_V51P_V032_shocklow_rare22_c1,shocklow_rare22_c1,hybrid_cover,long,5m,597,666,287,379,43.093093,2.798578,5.11294,2.201785,2.322179013,100.535174,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V032_shocklow_rare22_c1; group=hybrid_cover; tag=hyb18; focus=limited hybrid of safe branches without over-suppressing V51 edge
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P1_CORE_RARE22_C1_I088_hybrid_cover_hyb18,8V5_V51P_V002_core_rare22_c1,core_rare22_c1,hybrid_cover,long,5m,597,668,285,383,42.664671,2.685524,4.985428,2.198456,2.26769457,100.428028,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V002_core_rare22_c1; group=hybrid_cover; tag=hyb18; focus=limited hybrid of safe branches without over-suppressing V51 edge
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P3_SHOCKLOW_RARE22_C1_I050_mdd_compress_mdd15,8V5_V51P_V032_shocklow_rare22_c1,shocklow_rare22_c1,mdd_compress,long,5m,597,514,243,271,47.276265,2.117245,3.625649,1.622129,2.235117522,100.460771,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V032_shocklow_rare22_c1; group=mdd_compress; tag=mdd15; focus=bring core/shocklow MDD below 5 using strict and lowanchor gates
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P1_CORE_RARE22_C1_I050_mdd_compress_mdd15,8V5_V51P_V002_core_rare22_c1,core_rare22_c1,mdd_compress,long,5m,597,515,243,272,47.184466,2.074285,3.625649,1.663516,2.179510157,100.376263,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V002_core_rare22_c1; group=mdd_compress; tag=mdd15; focus=bring core/shocklow MDD below 5 using strict and lowanchor gates
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P3_SHOCKLOW_RARE22_C1_I055_mdd_compress_mdd20,8V5_V51P_V032_shocklow_rare22_c1,shocklow_rare22_c1,mdd_compress,long,5m,597,659,307,352,46.585736,2.259453,4.601998,2.262107,2.034385677,99.946235,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V032_shocklow_rare22_c1; group=mdd_compress; tag=mdd20; focus=bring core/shocklow MDD below 5 using strict and lowanchor gates
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P1_CORE_RARE22_C1_I055_mdd_compress_mdd20,8V5_V51P_V002_core_rare22_c1,core_rare22_c1,mdd_compress,long,5m,597,661,308,353,46.596067,2.222753,4.608465,2.303224,2.000875329,99.868333,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V002_core_rare22_c1; group=mdd_compress; tag=mdd20; focus=bring core/shocklow MDD below 5 using strict and lowanchor gates
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P1_CORE_RARE22_C1_I070_mdd_compress_mdd35,8V5_V51P_V002_core_rare22_c1,core_rare22_c1,mdd_compress,long,5m,597,469,228,241,48.614072,1.403913,2.764257,1.429569,1.933630094,99.954274,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V002_core_rare22_c1; group=mdd_compress; tag=mdd35; focus=bring core/shocklow MDD below 5 using strict and lowanchor gates
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P2_CORE_BASE_I055_mdd_compress_mdd20,8V5_V51P_V001_core_base,core_base,mdd_compress,long,5m,597,651,303,348,46.543779,2.162806,4.451771,2.309567,1.927535231,99.803288,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V001_core_base; group=mdd_compress; tag=mdd20; focus=bring core/shocklow MDD below 5 using strict and lowanchor gates
8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3,8V6_P1_CORE_RARE22_C1_I100_hybrid_cover_hyb30,8V5_V51P_V002_core_rare22_c1,core_rare22_c1,hybrid_cover,long,5m,597,823,407,416,49.45322,2.356504,5.199303,2.757913,1.885231016,99.533601,True,official_mdd_pass,8V6 improvement from 8V5_V51P_V002_core_rare22_c1; group=hybrid_cover; tag=hyb30; focus=limited hybrid of safe branches without over-suppressing V51 edge
