batch=8V6_TOP3_300_FROM_8V5_WINDOWS_SAFE_V3
cd_value_formula=max_return_pct / max_drawdown_pct
official_promotion=max_drawdown_pct < 5.0
strategies=300
failed_symbols=0

TOP 30
01. 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | parent=8V5_V51P_V001_core_base | group=hybrid_cover | verdict=official_mdd_pass | trades=652 | win=43.7117 | final=3.0599 | max=5.2510 | mdd=2.1312 | cd=2.463921 | legacy_cd=100.8636
02. 8V6_P2_CORE_BASE_I050_mdd_compress_mdd15 | parent=8V5_V51P_V001_core_base | group=mdd_compress | verdict=official_mdd_pass | trades=501 | win=47.9042 | final=2.2944 | max=3.7822 | mdd=1.5658 | cd=2.415487 | legacy_cd=100.6927
03. 8V6_P3_SHOCKLOW_RARE22_C1_I088_hybrid_cover_hyb18 | parent=8V5_V51P_V032_shocklow_rare22_c1 | group=hybrid_cover | verdict=official_mdd_pass | trades=666 | win=43.0931 | final=2.7986 | max=5.1129 | mdd=2.2018 | cd=2.322179 | legacy_cd=100.5352
04. 8V6_P1_CORE_RARE22_C1_I088_hybrid_cover_hyb18 | parent=8V5_V51P_V002_core_rare22_c1 | group=hybrid_cover | verdict=official_mdd_pass | trades=668 | win=42.6647 | final=2.6855 | max=4.9854 | mdd=2.1985 | cd=2.267695 | legacy_cd=100.4280
05. 8V6_P3_SHOCKLOW_RARE22_C1_I050_mdd_compress_mdd15 | parent=8V5_V51P_V032_shocklow_rare22_c1 | group=mdd_compress | verdict=official_mdd_pass | trades=514 | win=47.2763 | final=2.1172 | max=3.6256 | mdd=1.6221 | cd=2.235118 | legacy_cd=100.4608
06. 8V6_P1_CORE_RARE22_C1_I050_mdd_compress_mdd15 | parent=8V5_V51P_V002_core_rare22_c1 | group=mdd_compress | verdict=official_mdd_pass | trades=515 | win=47.1845 | final=2.0743 | max=3.6256 | mdd=1.6635 | cd=2.179510 | legacy_cd=100.3763
07. 8V6_P3_SHOCKLOW_RARE22_C1_I055_mdd_compress_mdd20 | parent=8V5_V51P_V032_shocklow_rare22_c1 | group=mdd_compress | verdict=official_mdd_pass | trades=659 | win=46.5857 | final=2.2595 | max=4.6020 | mdd=2.2621 | cd=2.034386 | legacy_cd=99.9462
08. 8V6_P1_CORE_RARE22_C1_I055_mdd_compress_mdd20 | parent=8V5_V51P_V002_core_rare22_c1 | group=mdd_compress | verdict=official_mdd_pass | trades=661 | win=46.5961 | final=2.2228 | max=4.6085 | mdd=2.3032 | cd=2.000875 | legacy_cd=99.8683
09. 8V6_P1_CORE_RARE22_C1_I070_mdd_compress_mdd35 | parent=8V5_V51P_V002_core_rare22_c1 | group=mdd_compress | verdict=official_mdd_pass | trades=469 | win=48.6141 | final=1.4039 | max=2.7643 | mdd=1.4296 | cd=1.933630 | legacy_cd=99.9543
10. 8V6_P2_CORE_BASE_I055_mdd_compress_mdd20 | parent=8V5_V51P_V001_core_base | group=mdd_compress | verdict=official_mdd_pass | trades=651 | win=46.5438 | final=2.1628 | max=4.4518 | mdd=2.3096 | cd=1.927535 | legacy_cd=99.8033
11. 8V6_P1_CORE_RARE22_C1_I100_hybrid_cover_hyb30 | parent=8V5_V51P_V002_core_rare22_c1 | group=hybrid_cover | verdict=official_mdd_pass | trades=823 | win=49.4532 | final=2.3565 | max=5.1993 | mdd=2.7579 | cd=1.885231 | legacy_cd=99.5336
12. 8V6_P2_CORE_BASE_I065_mdd_compress_mdd30 | parent=8V5_V51P_V001_core_base | group=mdd_compress | verdict=official_mdd_pass | trades=885 | win=46.1017 | final=2.6501 | max=5.6145 | mdd=3.0112 | cd=1.864510 | legacy_cd=99.5591
13. 8V6_P3_SHOCKLOW_RARE22_C1_I100_hybrid_cover_hyb30 | parent=8V5_V51P_V032_shocklow_rare22_c1 | group=hybrid_cover | verdict=official_mdd_pass | trades=822 | win=49.3917 | final=2.2886 | max=5.1295 | mdd=2.7579 | cd=1.859928 | legacy_cd=99.4676
14. 8V6_P3_SHOCKLOW_RARE22_C1_I083_hybrid_cover_hyb13 | parent=8V5_V51P_V032_shocklow_rare22_c1 | group=hybrid_cover | verdict=official_mdd_pass | trades=2077 | win=45.1613 | final=4.0964 | max=8.0463 | mdd=4.3344 | cd=1.856378 | legacy_cd=99.5844
15. 8V6_P1_CORE_RARE22_C1_I083_hybrid_cover_hyb13 | parent=8V5_V51P_V002_core_rare22_c1 | group=hybrid_cover | verdict=official_mdd_pass | trades=2085 | win=45.1799 | final=4.1988 | max=8.2273 | mdd=4.4420 | cd=1.852143 | legacy_cd=99.5703
16. 8V6_P2_CORE_BASE_I083_hybrid_cover_hyb13 | parent=8V5_V51P_V001_core_base | group=hybrid_cover | verdict=official_mdd_pass | trades=2004 | win=45.7086 | final=4.4992 | max=8.0602 | mdd=4.3692 | cd=1.844769 | legacy_cd=99.9335
17. 8V6_P2_CORE_BASE_I045_mdd_compress_mdd10 | parent=8V5_V51P_V001_core_base | group=mdd_compress | verdict=official_mdd_pass | trades=436 | win=52.7523 | final=1.4263 | max=2.7067 | mdd=1.4914 | cd=1.814856 | legacy_cd=99.9136
