batch=8V7_AB_BEST_200_FROM_8V6_CANDIDATE
cd_value_formula=max_return_pct / max_drawdown_pct
official_promotion=max_drawdown_pct < 5.0
strategies=200
failed_symbols=0

TOP 30
01. 8V7_AB_BEST_I070_post_loss_brake_plb20 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=post_loss_brake | verdict=official_mdd_pass | trades=93 | win=60.2151 | final=1.1655 | max=1.3290 | mdd=0.2122 | cd=6.261968 | legacy_cd=100.9508
02. 8V7_AB_BEST_I068_post_loss_brake_plb18 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=post_loss_brake | verdict=official_mdd_pass | trades=104 | win=52.8846 | final=1.0453 | max=1.2213 | mdd=0.2154 | cd=5.669132 | legacy_cd=100.8276
03. 8V7_AB_BEST_I193_soft_safe_mix_ssm13 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=soft_safe_mix | verdict=official_mdd_pass | trades=96 | win=51.0417 | final=0.8404 | max=0.9030 | mdd=0.1729 | cd=5.222699 | legacy_cd=100.6660
04. 8V7_AB_BEST_I198_soft_safe_mix_ssm18 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=soft_safe_mix | verdict=official_mdd_pass | trades=68 | win=57.3529 | final=0.7043 | max=0.7782 | mdd=0.1550 | cd=5.018994 | legacy_cd=100.5481
05. 8V7_AB_BEST_I067_post_loss_brake_plb17 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=post_loss_brake | verdict=official_mdd_pass | trades=106 | win=50.0000 | final=0.8457 | max=1.0445 | mdd=0.2260 | cd=4.621651 | legacy_cd=100.6177
06. 8V7_AB_BEST_I188_soft_safe_mix_ssm08 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=soft_safe_mix | verdict=official_mdd_pass | trades=146 | win=48.6301 | final=1.2266 | max=1.2820 | mdd=0.2869 | cd=4.468265 | legacy_cd=100.9361
07. 8V7_AB_BEST_I095_post_loss_brake_plb45 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=post_loss_brake | verdict=official_mdd_pass | trades=135 | win=53.3333 | final=1.4484 | max=1.8354 | mdd=0.4226 | cd=4.343210 | legacy_cd=101.0196
08. 8V7_AB_BEST_I066_post_loss_brake_plb16 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=post_loss_brake | verdict=official_mdd_pass | trades=173 | win=41.0405 | final=0.8101 | max=1.0194 | mdd=0.2357 | cd=4.323980 | legacy_cd=100.5724
09. 8V7_AB_BEST_I069_post_loss_brake_plb19 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=post_loss_brake | verdict=official_mdd_pass | trades=93 | win=54.8387 | final=0.8370 | max=1.0467 | mdd=0.2558 | cd=4.092008 | legacy_cd=100.5791
10. 8V7_AB_BEST_I094_post_loss_brake_plb44 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=post_loss_brake | verdict=official_mdd_pass | trades=197 | win=47.7157 | final=1.0675 | max=1.3870 | mdd=0.3772 | cd=3.677337 | legacy_cd=100.6863
11. 8V7_AB_BEST_I195_soft_safe_mix_ssm15 | parent=8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18 | group=soft_safe_mix | verdict=official_mdd_pass | trades=175 | win=52.5714 | final=1.2576 | max=1.4250 | mdd=0.4035 | cd=3.531672 | legacy_cd=100.8491
