run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,min_market_count,breadth20_min,breadth60_min,market_ret20_median_min,market_ret60_median_min,xrank_ret5_max,xrank_ret20_max,xrank_ret60_max,xrank_dd20_max,xrank_dd60_max,xrank_ret120_min,xsafe_atrp_min,xsafe_range20_min,ret5_min,ret5_max,ret20_min,ret20_max,ret60_min,ret60_max,ret120_min,atrp_min,atrp_max,range20_max,range60_max,volr_min,volr_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,close_pos_min,upper_wick_max,body_atr_max,rebound_ret1_min,fail_bars,fail_pnl,verdict,note
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_001_X2015_RR140_H6,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4485,1234,3251,27.513935340022293,-9.80077939430668,0.0,15.748281364027793,84.25171863597221,597,0,0.01,0.0004,0.08,XOR_A_001_X2015_RR140_H6,0.9,1.4,6,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_002_X2015_RR140_H10,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4485,1234,3251,27.513935340022293,-9.80077939430668,0.0,15.748281364027793,84.25171863597221,597,0,0.01,0.0004,0.08,XOR_A_002_X2015_RR140_H10,0.9,1.4,10,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_003_X2015_RR140_H14,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4485,1234,3251,27.513935340022293,-9.80077939430668,0.0,15.748281364027793,84.25171863597221,597,0,0.01,0.0004,0.08,XOR_A_003_X2015_RR140_H14,0.9,1.4,14,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_004_X2015_RR180_H6,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4481,1187,3294,26.489622852041954,-8.276339697725199,0.0,15.93366125387895,84.06633874612105,597,0,0.01,0.0004,0.08,XOR_A_004_X2015_RR180_H6,0.9,1.8,6,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_005_X2015_RR180_H10,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4481,1187,3294,26.489622852041954,-8.276339697725199,0.0,15.93366125387895,84.06633874612105,597,0,0.01,0.0004,0.08,XOR_A_005_X2015_RR180_H10,0.9,1.8,10,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_006_X2015_RR180_H14,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4481,1187,3294,26.489622852041954,-8.276339697725199,0.0,15.93366125387895,84.06633874612105,597,0,0.01,0.0004,0.08,XOR_A_006_X2015_RR180_H14,0.9,1.8,14,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_007_X2015_RR240_H6,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4477,1155,3322,25.7985257985258,-5.791970187196505,0.0,16.08837768952417,83.91162231047583,597,0,0.01,0.0004,0.08,XOR_A_007_X2015_RR240_H6,0.9,2.4,6,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_008_X2015_RR240_H10,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4477,1153,3324,25.7538530265803,-5.818516458094125,0.0,16.09862201982,83.90137798018,597,0,0.01,0.0004,0.08,XOR_A_008_X2015_RR240_H10,0.9,2.4,10,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_009_X2015_RR240_H14,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,4477,1153,3324,25.7538530265803,-5.818516458094125,0.0,16.09862201982,83.90137798018,597,0,0.01,0.0004,0.08,XOR_A_009_X2015_RR240_H14,0.9,2.4,14,26,80,0.4,0.32,-0.03,-0.08,0.25,0.15,0.45,0.15,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
LONG_CROSS_SECTIONAL_OVERSOLD_REVERSAL_V8_1H,XOR_A_010_X2025_RR140_H6,xsec_short_term_oversold_reversal,cross_sectional_short_term_oversold_with_rebound,long,9594,2397,7197,24.984365228267666,-20.703490529050082,0.0,29.73930732312776,70.26069267687224,597,0,0.01,0.0004,0.08,XOR_A_010_X2025_RR140_H6,0.9,1.4,6,26,80,0.4,0.32,-0.03,-0.08,0.25,0.25,0.45,0.25,0.45,0.1,0.15,0.1,-0.1,0.01,-0.22,0.04,-0.35,0.12,-0.7,0.001,0.1,0.26,0.42,0.4,4.5,24.0,54.0,0.86,0.8,0.7,0.58,0.7,2.4,-0.002,4,-0.38,invalid_no_peak,max_return <= 0
