batch_label,strategy_name,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,ruined,verdict
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V002_core_rare22_c1,long,l09 v51 microbase pop + core + rare22_c1,5m,597,2276,1032,1244,45.342706502636204,44.322623145979925,44.91228850055211,6.827014079653592,134.4696973436785,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V001_core_base,long,l09 v51 microbase pop + core + base,5m,597,2277,1036,1241,45.49846288976724,43.94679358874127,44.4532132089893,6.823325384653456,134.12483548140597,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V032_shocklow_rare22_c1,long,l09 v51 microbase pop + shocklow + rare22_c1,5m,597,2275,1020,1255,44.83516483516484,42.737056881237834,43.29289933227087,6.803523974222858,133.02590699622272,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V031_shocklow_base,long,l09 v51 microbase pop + shocklow + base,5m,597,2276,1024,1252,44.991212653778554,42.374453226717314,42.84154028989129,6.803989386473786,132.6873105401214,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V001_core_base,long,l09 v28 refire block + core + base,5m,597,6355,2439,3916,38.379228953579855,43.51758238264978,44.21852166770128,10.139944703817417,128.96497888879347,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V002_core_rare22_c1,long,l09 v28 refire block + core + rare22_c1,5m,597,6285,2384,3901,37.931583134447095,41.75965186134436,42.44277103414049,10.116136509018581,127.41905196434128,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V009_core_microguard,long,l09 v28 refire block + core + microguard,5m,597,6266,2388,3878,38.11043728056176,41.003575835420406,41.69223672278311,9.83537765643019,127.13534164293587,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V031_shocklow_base,long,l09 v09 cluster pressure + shocklow + base,5m,597,6160,2281,3879,37.02922077922078,40.00915034403509,40.766768051330345,10.716954936198064,125.00443279511106,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V032_shocklow_rare22_c1,long,l09 v09 cluster pressure + shocklow + rare22_c1,5m,597,6159,2270,3889,36.85663257022244,39.50896377607245,40.29136342248438,11.503161069826584,123.4610229660648,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V031_shocklow_base,long,l09 v27 failed break pivot + shocklow + base,5m,597,6184,2295,3889,37.11190168175938,40.138205123934554,41.11861027187729,12.005946047672023,123.31328782457902,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V001_core_base,long,l09 v09 cluster pressure + core + base,5m,597,6868,2509,4359,36.53174140943506,39.657328709726244,40.5551259533151,12.008942692354408,122.8859601393022,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V032_shocklow_rare22_c1,long,l09 v27 failed break pivot + shocklow + rare22_c1,5m,597,6177,2278,3899,36.87874372672819,39.97250586614933,41.005865087627136,12.804373965715666,122.04990276586427,121.53,False,candidate_cd_win_mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V002_core_rare22_c1,long,l09 v09 cluster pressure + core + rare22_c1,5m,597,6866,2498,4368,36.38217302650743,39.068188517498,39.997552525347004,12.771502005400414,121.30709203211171,121.53,False,mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V001_core_base,long,l09 v27 failed break pivot + core + base,5m,597,7644,2743,4901,35.8843537414966,37.033629490761236,37.9318427390503,12.864552053719558,119.40486689382105,121.53,False,mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V002_core_rare22_c1,long,l09 v27 failed break pivot + core + rare22_c1,5m,597,7640,2723,4917,35.6413612565445,36.83640076206282,37.76834575387136,13.716591252614595,118.06711098474106,121.53,False,mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V022_lowanchor_rare22_c1,long,l09 v51 microbase pop + lowanchor + rare22_c1,5m,597,1040,497,543,47.78846153846154,21.542779559576843,21.79436654064788,3.0154938273529996,117.87766454436454,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V021_lowanchor_base,long,l09 v51 microbase pop + lowanchor + base,5m,597,1040,497,543,47.78846153846154,21.15515753703725,21.406721390226924,3.056764439849935,117.45172976440094,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V012_strict_rare22_c1,long,l09 v51 microbase pop + strict + rare22_c1,5m,597,1040,489,551,47.01923076923077,20.841324422027995,21.08355714048804,2.9343703659423626,117.29539240837575,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V011_strict_base,long,l09 v51 microbase pop + strict + base,5m,597,1040,489,551,47.01923076923077,20.43652599302792,20.678698124660656,2.864809966528381,116.9862483930391,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V011_strict_base,long,l09 v28 refire block + strict + base,5m,597,3108,1196,1912,38.48133848133848,20.51174741560484,20.809073662565012,4.948696668786356,114.54798658575258,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V052_extreme_rare22_c1,long,l09 v27 failed break pivot + extreme + rare22_c1,5m,597,675,330,345,48.888888888888886,16.630614281841073,16.814763361664966,1.7940124898482623,114.5382464946381,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V057_extreme_refire40,long,l09 v27 failed break pivot + extreme + refire40,5m,597,671,327,344,48.73323397913562,16.49683110217326,16.679981874669146,1.8073446761352474,114.39133182738186,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V051_extreme_base,long,l09 v27 failed break pivot + extreme + base,5m,597,676,330,346,48.81656804733728,16.302563756527988,16.486980648563577,1.8110779132756716,114.19623371176016,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V027_lowanchor_refire40,long,l09 v28 refire block + lowanchor + refire40,5m,597,2725,1074,1651,39.41284403669725,20.493636500381783,20.89276700932501,5.260508574674027,114.15505842034264,121.53,False,mdd_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V061_spring_base,long,l09 v28 refire block + spring + base,5m,597,2826,1041,1785,36.836518046709124,19.57924526411596,19.952115169696192,4.582905201352294,114.09904181316898,121.53,False,baseline_fail
