rank,static_score,strategy_name_count,supports_baseline,supports_output,batch,pos_frac,cost_pct,rel_path,sha256,supported_flags,linked_result_paths
1,680,4,True,True,8V21_TP03_NO_BASELINE_TOUCH_4AXIS_50_EACH,0.01,0.1,run_8v21_tp03_no_baseline_touch_4axis_50_each.py,51e12001323824b6524bdbba0432cb6802f268077f8609a8b38a617e32eb8909,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,
2,680,4,True,True,8V22_TP03_LOCAL_RESULTS_NO_BASELINE_TOUCH_4AXIS_50_EACH,0.01,0.1,run_8v22_tp03_local_results_no_baseline_touch_4axis_50_each.py,9f9e61cec1f7d42d6cebc3edd72ba8a1397e86a3109a125c109a6ed45e8dbf29,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,
3,680,4,True,True,8V23_TP03_FORCE_LOCAL_RESULTS_NO_BASELINE_TOUCH_4AXIS_50_EACH,0.01,0.1,run_8v23_generated_tp03_force_local_results_no_baseline_touch_4axis_50_each.py,d86677823fa50f50062c5bbd157e051c6eb4ae0f514bd0588ff09dd78f0ad480,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,
4,680,4,True,True,8V24_TP03_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH,0.01,0.1,run_8v24_generated_tp03_force_local_results_keep_data_cwd_no_baseline_touch.py,4798ed792b696d676c98f406020a1edfbe15ff057f25c596f44c10665e2bff1b,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,
5,660,4,True,True,8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH,0.01,0.1,run_8v25_generated_tp03_fast1h_force_local_results_keep_data_cwd_no_baseline_touch.py,255e7928e31cb92ab0070841ddc638de8009593c1f60321655a3af8fa7534387,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,local_results\8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH\8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH_registry.csv
6,660,4,True,True,8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH,0.01,0.1,run_8v27_generated_tp03_no_candle_limit_fast1h_no_baseline_touch.py,f06d800eb7b653d4c0e4dc9dcca9f6512cf5686cfb9acc733936c1354fc70eb3,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,local_results\8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH\8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH_registry.csv
7,660,4,True,True,8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH,0.01,0.1,run_8v28_generated_local_mutation_no_candle_limit_1h_no_baseline_touch.py,36ce2bfaf01cc03621f1692d7811b09714680ea89ce4e29a147d1d25935254b4,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,local_results\8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH\8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH_registry.csv
8,660,4,True,True,8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H,0.01,0.1,run_8v29_generated_long_quality_short_no_tp03_local_1h.py,6e2bbb6466a973ee7e95093e69dca35a1c6547e489014b79ab19a0df2c29f823,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,local_results\8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H\8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H_registry.csv
9,660,4,True,True,8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H,0.01,0.1,run_8v30_generated_tp03_probe_long_loosen_short_trim_1h.py,07a2269fc7051bc15e168c728650d7cb63332f47a031225476f9a21c1cb5a067,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,local_results\8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H\8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H_registry.csv
10,660,4,True,True,8V20_EMBEDDED_PARENT_GATE_4AXIS_50_EACH,0.01,0.1,CORE_SUMMARY\run_8v20_embedded_parent_gate_4axis_50_each.py,0e6fa90e54d1b4a3d4961f4614e1262125ac79d6c00bbaed5cd8fd0b97613c6e,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,local_results\V36_EXACT_SOURCE_BASELINE_FEE_AUDIT\original_as_is\8V20_EMBEDDED_PARENT_GATE_4AXIS_50_EACH\8V20_EMBEDDED_PARENT_GATE_4AXIS_50_EACH_registry.csv
11,180,4,True,True,V31_BASELINE_AUDIT_FEE_004,0.01,0.04,run_v31_child_baseline_audit_fee_004.py,2048bcca8e3b40d571ec32f7daccc9b436bb0da04598ab43a5af48752f292a2d,--data-root|--gate-mode|--max-bars|--outdir|--phase|--progress-every|--sample-symbols|--save-trades|--symbol-cost|--workers,
12,180,4,True,True,V31_BASELINE_AUDIT_FEE_010,0.01,0.1,run_v31_child_baseline_audit_fee_010.py,5d8b7d2ec6166f4209da472d527eb19f352a26921c3fe434a87dc3eaf0798ebc,--data-root|--gate-mode|--max-bars|--outdir|--phase|--progress-every|--sample-symbols|--save-trades|--symbol-cost|--workers,
13,160,4,True,True,8V20_EMBEDDED_PARENT_GATE_4AXIS_50_EACH,0.01,0.04,CORE_SUMMARY\run_8v20_embedded_parent_gate_4axis_50_each__v35_fee_004_cost_patch_only.py,db96c5b2bccb6057bdd7933e5e6d1963e14d4e8f3091e2588c6657a9a575d7aa,--allow-baseline-mismatch|--baseline-only|--clean|--data-root|--keep-worker-cache|--live-baseline-gate|--max-bars|--max-symbols|--output-root|--reuse-worker-cache|--symbol-cost|--workers,local_results\V36_EXACT_SOURCE_BASELINE_FEE_AUDIT\original_as_is\8V20_EMBEDDED_PARENT_GATE_4AXIS_50_EACH\8V20_EMBEDDED_PARENT_GATE_4AXIS_50_EACH_registry.csv
