symbol,file,bars,raw_bear_displacements,confirmed_events_before_horizon_expand,kept_event_horizon_rows,first_ts,last_ts
0G,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\0G_5m.csv,31731,1609,7506,30024,2025-09-18 00:45:00,2026-01-12 06:40:00
1000000BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000BOB_5m.csv,61772,2465,12446,49784,2025-06-05 17:30:00,2026-01-12 06:50:00
1000000MOG,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000MOG_5m.csv,122220,6637,31363,125452,2024-11-07 21:30:00,2026-01-12 07:35:00
1000BONK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000BONK_5m.csv,223318,10807,53874,215496,2023-11-22 23:00:00,2026-01-12 08:40:00
1000CAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CAT_5m.csv,127118,6708,32965,131860,2024-10-21 21:30:00,2026-01-12 07:40:00
1000CHEEMS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CHEEMS_5m.csv,117043,6799,33395,133580,2024-11-25 20:45:00,2026-01-12 07:30:00
1000FLOKI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000FLOKI_5m.csv,280908,13570,68110,272440,2023-05-07 01:30:00,2026-01-12 09:30:00
1000LUNC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000LUNC_5m.csv,351511,16842,86634,346536,2022-09-09 22:00:00,2026-01-12 10:30:00
1000PEPE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000PEPE_5m.csv,281198,13411,66752,267008,2023-05-06 01:30:00,2026-01-12 09:35:00
1000RATS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000RATS_5m.csv,216690,11502,57917,231668,2023-12-15 23:00:00,2026-01-12 08:30:00
1000SATS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SATS_5m.csv,217554,8608,42859,171436,2023-12-12 23:00:00,2026-01-12 08:30:00
1000SHIB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SHIB_5m.csv,491726,25422,131167,524668,2021-05-11 02:35:00,2026-01-12 11:40:00
1000WHY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000WHY_5m.csv,117046,4818,23922,95688,2024-11-25 20:30:00,2026-01-12 07:30:00
1000X,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000X_5m.csv,120492,5491,27798,111192,2024-11-13 21:30:00,2026-01-12 07:35:00
1000XEC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000XEC_5m.csv,454450,26727,132496,529984,2021-09-17 12:30:00,2026-01-12 11:15:00
1INCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1INCH_5m.csv,530997,29479,147547,590188,2020-12-25 19:00:00,2026-01-12 12:40:00
1MBABYDOGE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1MBABYDOGE_5m.csv,137212,7430,37218,148872,2024-09-16 20:35:00,2026-01-12 07:45:00
2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\2Z_5m.csv,27450,1509,7321,29284,2025-10-02 21:30:00,2026-01-12 06:35:00
42,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\42_5m.csv,15648,799,4012,16048,2025-11-18 22:40:00,2026-01-12 06:35:00
4,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\4_5m.csv,25733,1281,6523,26092,2025-10-08 20:30:00,2026-01-12 06:35:00
A2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A2Z_5m.csv,45936,2134,10693,42772,2025-07-30 17:00:00,2026-01-12 06:45:00
A,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A_5m.csv,64083,3434,17202,68808,2025-05-28 17:00:00,2026-01-12 06:55:00
AAVE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AAVE_5m.csv,551197,29712,149324,597296,2020-10-16 16:00:00,2026-01-12 13:00:00
