rank,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct,robust_pass
1,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,195542,195542,100.0,37306,158236,0,19.078254288081332,-0.03443014722506105,0.045588088010142976,1.3308569239533834,0.884092315498312,12.38404025733602,80.39909584641663,7.216863896247354,3.0304742715120025,0.007089662217827159,1.6948556483266082,0.2824759413877681,-18.034790218598953,206.76842045984057,-0.0003443014722506105,595,142,23.865546218487395,26,23.076923076923077,174214.0,-0.045583253096865735,0.8435965284922996,18.689083540932415,21328.0,0.056672027678848276,1.165319755006282,22.257126781695426,2627.0,-0.07671122498758935,0.6971911776332013,18.081461743433575,False
2,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,194869,194869,100.0,36883,157986,0,18.927074085667808,-0.035810658192105306,0.04420702461774173,1.2568401835810155,0.879944804439146,12.249254627467684,80.55206318090615,7.19868219162617,3.038964637782305,0.007944261998924803,1.7011567341257863,0.283526122354298,-18.034790218598953,156.70535081455185,-0.0003581065819210531,596,150,25.16778523489933,26,23.076923076923077,173998.0,-0.0462594617280386,0.8421019983654032,18.528948608604697,20871.0,0.051299251138799566,1.1497393307403463,22.24617890853337,2635.0,-0.08038358898200697,0.6884127269457223,18.59582542694497,False
3,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,195542,195542,100.0,32401,163141,0,16.56984177312291,-0.0368119827360523,0.043205299383701226,1.358275249094354,0.8804004684200956,15.611479886673962,83.36879033660288,1.0197297767231592,3.7669861206288164,0.007089662217827159,1.6948556483266082,0.2824759413877681,-18.034790218598953,206.76842045984057,-0.00036811982736052306,595,144,24.201680672268907,26,23.076923076923077,174214.0,-0.047104409036492455,0.843945771705858,16.213392723891307,21328.0,0.04725988314470921,1.1326134996853037,19.481432858214554,2627.0,-0.061612731973785334,0.763273500680203,16.178149980966882,False
4,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,194869,194869,100.0,32071,162798,0,16.457722880499208,-0.0377982737061973,0.04221861373929844,1.2853137068599505,0.8776431206057368,15.50066968065726,83.48121045420257,1.018119865140171,3.769537484156023,0.007944261998924803,1.7011567341257863,0.283526122354298,-18.034790218598953,156.70535081455185,-0.00037798273706197305,596,148,24.832214765100673,26,23.076923076923077,173998.0,-0.047387663859825103,0.8437295110083257,16.091564270853688,20871.0,0.04214685148909463,1.118308213868545,19.510325331800104,2635.0,-0.056861153054259796,0.7845032120221083,16.888045540796963,False
5,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,195542,195542,100.0,31600,163942,0,16.160211105542544,-0.03801240944549932,0.04200439231142519,1.3628556499555375,0.8772965543003626,16.009859774370724,83.82598111914575,0.16415910648351761,3.929447382148081,0.007089662217827159,1.6948556483266082,0.2824759413877681,-18.034790218598953,206.76842045984057,-0.0003801240944549932,595,143,24.03361344537815,26,23.076923076923077,174214.0,-0.048404195455008334,0.8406947685476672,15.796089866486046,21328.0,0.04687105866499381,1.1307954720368418,19.134471117779444,2627.0,-0.06091531112738839,0.7673500945011312,15.87362009897221,False
6,bear_body20_range22_vol20_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h72,bear_body20_range22_vol20_cp20,long_counter_trend,1.0,0.5,3.0,6.0,72,194869,194869,100.0,31321,163548,0,16.072848939544002,-0.03871820289962811,0.04129831642694267,1.291499416105897,0.8754316887642623,15.899912248741463,83.91278243332701,0.1873053179315335,3.9351153852074985,0.007944261998924803,1.7011567341257863,0.283526122354298,-18.034790218598953,156.70535081455185,-0.0003871820289962811,596,152,25.503355704697988,26,23.076923076923077,173998.0,-0.04851141306854035,0.8410320424655617,15.697306865596156,20871.0,0.04292613531945084,1.1199194390389426,19.203679747017393,2635.0,-0.055559267582764964,0.7907073048650162,16.622390891840606,False
7,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,12,255412,255412,100.0,48074,207338,0,18.822138349020406,-0.046054080655314016,0.03395950314594438,1.2047455953830677,0.8502285504244085,11.948146524047422,80.56825834338245,7.483595132570121,3.1118467417349223,0.007672701423624212,1.7643447381856687,0.2940574563642778,-33.2870813971212,156.70535081455185,-0.00046054080655314014,596,119,19.966442953020135,26,11.538461538461538,228342.0,-0.05385866084484033,0.820530804772211,18.551120687389968,27070.0,0.019779441680733867,1.0534749230345388,21.108237901736242,3883.0,-0.10577562127634464,0.6351578990398029,17.58949266031419,False
8,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,36,255412,255412,100.0,41436,213976,0,16.2232001628741,-0.04777753481118537,0.03223535933254765,1.2393375622630494,0.8504042004854391,15.244389457034124,83.71180680625812,1.0438037367077506,3.868772806289446,0.007672701423624212,1.7643447381856687,0.2940574563642778,-33.2870813971212,156.70535081455185,-0.00047777534811185374,596,121,20.302013422818792,26,15.384615384615385,228342.0,-0.054529170546163866,0.824954437272996,15.98435679813613,27070.0,0.009174146274757012,1.023785281173075,18.23790173623938,3883.0,-0.0953243197603939,0.6821239936226957,15.451970126191089,False
9,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.5atr__tp3atr__h72,bear_body20_range22_vol20_cp20,all,1.0,0.5,3.0,6.0,72,255412,255412,100.0,40434,214978,0,15.83089283197344,-0.04850259973151223,0.031510004270195804,1.2465577558931578,0.8490938205645356,15.655098429204578,84.1542292452978,0.19067232549762736,4.038107058399762,0.007672701423624212,1.7643447381856687,0.2940574563642778,-33.2870813971212,156.70535081455185,-0.00048502599731512234,596,123,20.63758389261745,26,15.384615384615385,228342.0,-0.05527026745764923,0.8236975351792322,15.590649114048228,27070.0,0.008584315079036918,1.0221159953789274,17.85740672330994,3883.0,-0.09433815699896102,0.6867369605071721,15.220190574298224,False
10,bear_range25_body08_vol15_cp20__all__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,all,1.0,0.5,3.0,6.0,12,270420,270420,100.0,50741,219679,0,18.763774868722727,-0.04894959089040525,0.031062834243292002,1.2513135790873375,0.8414496466066909,12.046446268767102,80.62162561940684,7.331928111826048,3.0806375268101474,0.0066278250433498215,1.767939531088854,0.29465658851480864,-33.2870813971212,206.76842045984057,-0.0004894959089040526,596,104,17.449664429530202,26,7.6923076923076925,240974.0,-0.056729732258126005,0.8113659941126117,18.53394972071676,29446.0,0.014719898546024889,1.039343380280398,20.644569720844935,4073.0,-0.10389828907968476,0.6394259005383734,17.284556837711758,False
