period,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,12,203523,203523,100.0,70051,133472,0,34.419205691740004,-0.07225709074695874,0.007746007656103705,0.693041096532543,0.7382175313558371,34.35729622696206,65.54541747124404,0.09728630179390045,1.3709703571586505,0.008136815056136894,0.6793467908237425,0.3396733954118713,-33.28372547820872,52.18700978321109,-0.0007225709074695874
EX_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,12,181807,181807,100.0,61882,119925,0,34.037193287387176,-0.07326231996688386,0.006740376183589553,0.5684621224761414,0.7264944116091991,33.977239600235414,65.92650448002551,0.09625591973906396,1.3674280968279549,0.00737994285612663,0.6529384185498517,0.3264692092749259,-24.298403123421686,14.403023639412261,-0.0007326231996688386
PRE_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,12,178954,178954,100.0,61024,117930,0,34.1003833387351,-0.0726278640354516,0.007375085998947954,0.5645012330935117,0.7287008493299926,34.04282664818892,65.8627356750897,0.09443767672139208,1.3645853124266571,0.0072525570695149534,0.6532263163985914,0.32661315819929576,-11.693657892199072,13.842326875438825,-0.0007262786403545161
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,12,21716,21716,100.0,8169,13547,0,37.61742494013631,-0.06384128172195735,0.01616518435178341,1.3401298073894834,0.8145754482049472,37.5391416467121,62.35494566218457,0.10591269110333396,1.4006262663473936,0.014473371699499657,0.90043847151997,0.450219235759985,-33.28372547820872,52.18700978321109,-0.0006384128172195736
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,12,2853,2853,100.0,858,1995,0,30.07360672975815,-0.1130584737536096,-0.03307170243458341,0.7765440350547712,0.5931762436896205,29.863301787592007,69.92639327024185,0.2103049421661409,1.5457413249211356,0.015370197345192975,0.6348800688746485,0.31744003443732455,-24.298403123421686,14.403023639412261,-0.001130584737536096
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,36,203523,203523,100.0,70020,133503,0,34.403973998024796,-0.0722950201380083,0.0077080630872266055,0.693751990584879,0.7382921320661963,34.40102592827346,65.59553465701666,0.003439414709885369,1.3763997189506838,0.008136815056136894,0.6793467908237425,0.3396733954118713,-33.28372547820872,52.18700978321109,-0.0007229502013800831
EX_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,36,181807,181807,100.0,61858,119949,0,34.02399247553725,-0.07328223206411351,0.006720456118333839,0.569345707737815,0.7266406481261949,34.021242306401845,65.97545749063568,0.0033002029624821924,1.372724922582739,0.00737994285612663,0.6529384185498517,0.3264692092749259,-24.298403123421686,14.403023639412261,-0.0007328223206411351
PRE_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,36,178954,178954,100.0,61002,117952,0,34.08808967667669,-0.07264015157298698,0.0073627935444307855,0.5653979874778192,0.7288702696060282,34.08585446539334,65.91135152050246,0.0027940141041831977,1.369737474434771,0.0072525570695149534,0.6532263163985914,0.32661315819929576,-11.693657892199072,13.842326875438825,-0.0007264015157298698
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,36,21716,21716,100.0,8162,13554,0,37.58519064284398,-0.064030052434499,0.015976338100741387,1.3404377763558797,0.8141816138947575,37.5805857432308,62.41480935715601,0.004604899613188432,1.4071652237981211,0.014473371699499657,0.90043847151997,0.450219235759985,-33.28372547820872,52.18700978321109,-0.00064030052434499
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,36,2853,2853,100.0,856,1997,0,30.003505082369436,-0.11355663522186081,-0.03357006324715964,0.7768475199591153,0.5920269120307715,29.96845425867508,69.99649491763057,0.03505082369435682,1.5601121626358219,0.015370197345192975,0.6348800688746485,0.31744003443732455,-24.298403123421686,14.403023639412261,-0.0011355663522186082
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,72,203523,203523,100.0,70019,133504,0,34.403482653066234,-0.07228980316609881,0.0077132821467598865,0.6938092756177527,0.738322512767475,34.40249996314913,65.59651734693375,0.0009826899171101054,1.3769844194513643,0.008136815056136894,0.6793467908237425,0.3396733954118713,-33.28372547820872,52.18700978321109,-0.0007228980316609882
EX_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,72,181807,181807,100.0,61857,119950,0,34.023442441710166,-0.07327668651860506,0.006726003882948132,0.5694237204719431,0.7266751846477293,34.022892407883084,65.97655755828984,0.0005500338270803655,1.3731814506592155,0.00737994285612663,0.6529384185498517,0.3264692092749259,-24.298403123421686,14.403023639412261,-0.0007327668651860506
PRE_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,72,178954,178954,100.0,61001,117953,0,34.087530873855854,-0.07263620805417242,0.007366738641284073,0.5654767315208616,0.7288989540406383,34.087530873855854,65.91246912614415,0.0,1.3700001117605642,0.0072525570695149534,0.6532263163985914,0.32661315819929576,-11.693657892199072,13.842326875438825,-0.0007263620805417243
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,72,21716,21716,100.0,8162,13554,0,37.58519064284398,-0.06402758629056472,0.015978805231527986,1.3404382396236818,0.8141887707667006,37.5805857432308,62.41480935715601,0.004604899613188432,1.408822987658869,0.014473371699499657,0.90043847151997,0.450219235759985,-33.28372547820872,52.18700978321109,-0.0006402758629056473
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.0,2.0,72,2853,2853,100.0,856,1997,0,30.003505082369436,-0.113450602790625,-0.033463988385979346,0.7769014593303808,0.5924078530326923,29.96845425867508,69.99649491763057,0.03505082369435682,1.5727304591657905,0.015370197345192975,0.6348800688746485,0.31744003443732455,-24.298403123421686,14.403023639412261,-0.00113450602790625
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.5,3.0,12,241597,241597,100.0,66668,174929,0,27.594713510515444,-0.05027650198047211,0.02973539217639845,0.8138263659459778,0.8197017106316369,27.087670790614123,72.255036279424,0.6572929299618786,1.8464881600350997,0.007798962117317699,0.9187012177668785,0.3062337392556263,-33.28372547820872,78.32051467481664,-0.0005027650198047211
EX_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.5,3.0,12,215717,215717,100.0,58674,157043,0,27.199525303986245,-0.05403435447180056,0.025976035942576477,0.6571784302536634,0.8012638557257827,26.70026006295285,72.65120505106228,0.6485348859848783,1.8395536744901886,0.007086034835809815,0.8855606123127561,0.2951868707709188,-24.298403123421686,21.64453545911838,-0.0005403435447180056
PRE_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.5,3.0,12,212099,212099,100.0,57822,154277,0,27.261797556801305,-0.0529718355667887,0.027038980025221385,0.6548626491488337,0.8051283754901492,26.768160151627306,72.58780097973117,0.6440388686415306,1.8357465145993144,0.0069669446574933905,0.8864752978522911,0.29549176595076376,-11.693657892199072,20.80349031315823,-0.0005297183556678871
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.5,3.0,12,25880,25880,100.0,7994,17886,0,30.8887171561051,-0.018953756003969095,0.061070672264936815,1.60683277377794,0.9437375290728349,30.316846986089647,68.95285935085008,0.7302936630602782,1.904289026275116,0.013741409350124353,1.1949373841790474,0.39831246139301557,-33.28372547820872,78.32051467481664,-0.00018953756003969096
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,1.5,3.0,12,3618,3618,100.0,852,2766,0,23.548922056384743,-0.11632268980461107,-0.03633722469448878,0.7784975386541051,0.5776813353549035,22.71973466003317,76.3681592039801,0.9121061359867331,2.0627418463239358,0.014067490814454214,0.8319387526527654,0.27731291755092197,-24.298403123421686,21.64453545911838,-0.0011632268980461106
