symbol,file,accepted_nonoverlap_trades
0G,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\0G_5m.csv,2082
1000000BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000BOB_5m.csv,3666
1000000MOG,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000MOG_5m.csv,7638
1000BONK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000BONK_5m.csv,9837
1000CAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CAT_5m.csv,6840
1000CHEEMS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CHEEMS_5m.csv,9141
1000FLOKI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000FLOKI_5m.csv,12507
1000LUNC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000LUNC_5m.csv,18183
1000PEPE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000PEPE_5m.csv,14775
1000RATS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000RATS_5m.csv,13008
1000SATS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SATS_5m.csv,8328
1000SHIB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SHIB_5m.csv,31132
1000WHY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000WHY_5m.csv,8049
1000X,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000X_5m.csv,7137
1000XEC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000XEC_5m.csv,36483
1INCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1INCH_5m.csv,35553
1MBABYDOGE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1MBABYDOGE_5m.csv,6819
2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\2Z_5m.csv,1866
42,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\42_5m.csv,1266
4,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\4_5m.csv,1620
A2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A2Z_5m.csv,2499
A,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\A_5m.csv,4278
AAVE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\AAVE_5m.csv,33243
ACE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACE_5m.csv,10944
ACH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACH_5m.csv,16890
ACT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ACT_5m.csv,5277
