period,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
ALL,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,195542,195532,99.99488600914381,37301,158231,0,19.076672871959577,-0.03444555192810779,0.045572677142749325,1.3308805186573693,0.8840436473796712,12.382627907452488,80.4006505329051,7.216721559642411,3.03038377349999,0.007088735248380906,1.6948851292139495,0.28248085486899166,-18.034790218598953,206.76842045984057,-0.0003444555192810779
EX_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,174214,174205,99.99483393986705,32555,141650,0,18.68775293476077,-0.04559785789382476,0.034415908469563085,0.8760835820188537,0.8435502719789781,12.022042995321604,80.79102207169714,7.1869349329812575,3.004351195430671,0.006248796292345734,1.6400784176446546,0.27334640294077583,-11.70133139287057,43.364726445592225,-0.00045597857893824766
PRE_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,171587,171578,99.9947548473952,32080,139498,0,18.697035750504142,-0.045121486707802555,0.0348924702803096,0.8734576218461457,0.8454941548461321,12.050495984333656,80.78191842777046,7.167585587895885,3.0015036892841738,0.006146294837445057,1.6447589371066371,0.27412648951777296,-11.70133139287057,29.692956828527866,-0.00045121486707802556
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,21328,21327,99.99531132783196,4746,16581,0,22.253481502321,0.05664965418422525,0.1367043359185928,3.156042337036241,1.1652467403399704,15.327987996436443,77.21198480798988,7.460027195573686,3.24302527312796,0.01394959546482521,2.142561932746048,0.35709365545767463,-18.034790218598953,206.76842045984057,0.0005664965418422525
2026,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,12,2627,2627,100.0,475,2152,0,18.081461743433575,-0.07671122498758935,0.003290091048830182,1.0327649979334528,0.6971911776332013,10.163684811572136,81.38561096307575,8.450704225352112,3.1903311762466693,0.01294350304108887,1.334378315532722,0.2223963859221207,-4.365428870331389,43.364726445592225,-0.0007671122498758935
ALL,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,195542,195503,99.98005543566089,32391,163112,0,16.5680322041094,-0.03684034725474726,0.0431769235146586,1.3583649185984426,0.8803153492064416,15.609990639529828,83.37058766361642,1.0194216968537566,3.766755497358097,0.007089439655048258,1.6949432686871477,0.28249054478119145,-18.034790218598953,206.76842045984057,-0.0003684034725474726
EX_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,174214,174179,99.97990976614967,28237,145942,0,16.211483588721947,-0.047139773227334245,0.032873376123115,0.9162245664749992,0.8438376208004522,15.246958588578416,83.72478886662572,1.0282525447958708,3.743993248324999,0.006249284946108269,1.6401292277465493,0.2733548712910917,-11.70133139287057,43.364726445592225,-0.00047139773227334247
PRE_2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,171587,171553,99.98018497904853,27813,143740,0,16.21248243982909,-0.04691509290828076,0.03309814635025935,0.9137564402001326,0.8449082707573743,15.245434355563587,83.72339743402914,1.0311682104072795,3.739765553502416,0.006147277597200632,1.6448048948605825,0.27413414914343054,-11.70133139287057,30.120270743492927,-0.00046915092908280764
2025Q4,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,21328,21324,99.98124531132783,4154,17170,0,19.480397673982367,0.04728757041919892,0.1273385058215276,3.1704707268918852,1.1326826309956237,18.575314199962484,80.47739636090789,0.9472894391296193,3.9526824235603075,0.013952003294537031,2.1426760972836822,0.3571126828806136,-18.034790218598953,206.76842045984057,0.0004728757041919892
2026,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp3atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,3.0,6.0,36,2627,2626,99.96193376475067,424,2202,0,16.146230007616147,-0.06181783216662696,0.018189443610817316,1.0650416023685212,0.7625758840147855,15.346534653465346,83.81568926123381,0.8377760853008377,4.02018278750952,0.012913285984627473,1.3346742694778104,0.2224457115796354,-4.365428870331389,43.364726445592225,-0.0006181783216662696
