candidate_id,profile,trend_state,slippage_bps,disaster_stop_atr,stop_mode,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct
bear_body20_range22_vol20_cp20__all__slip0bps__dsno_stop__time6,bear_body20_range22_vol20_cp20,all,0.0,0.0,no_stop,6,260736,260736,100.0,133601,127135,0,51.23995152184585,-0.013077549750986192,0.0669492299409902,3.4556306582877636,0.9761137984377257,0.0,100.0,6.0,0.0075326690353270526,0.0,-87.36964735516372,371.99333333333334,-0.00013077549750986191,597,253,42.3785594639866,26,38.46153846153847,233240.0,-0.024078979621945818,0.9519403263663855,51.41999657005659,27496.0,0.08024415170022944,1.0852123712508035,49.71268548152459,3966.0,-0.04197043625635362,0.882560251289328,49.26878466969239
bear_body20_range22_vol20_cp20__all__slip0bps__dsno_stop__time12,bear_body20_range22_vol20_cp20,all,0.0,0.0,no_stop,12,260736,260736,100.0,132853,127883,0,50.953071305841924,0.017029199244608877,0.09706802645519096,3.3597483000117423,1.0263616489013514,0.0,100.0,12.0,0.0075326690353270526,0.0,-82.7093052764519,336.5374358974359,0.00017029199244608876,597,280,46.901172529313236,26,50.0,233240.0,-0.013538220922588025,0.9780479218807341,51.116017835705705,27496.0,0.2763230994408921,1.3090015951796854,49.57084666860634,3966.0,-0.018843388040589295,0.9601507729207546,54.81593545133636
bear_body20_range22_vol20_cp20__all__slip0bps__dsno_stop__time24,bear_body20_range22_vol20_cp20,all,0.0,0.0,no_stop,24,260736,260736,100.0,134304,126432,0,51.50957290132547,0.000775681432772814,0.08080800463462665,4.280193542807673,1.0009202034213642,0.0,100.0,24.0,0.0075326690353270526,0.0,-90.51833798265326,358.3235897435897,7.75681432772814e-06,597,273,45.7286432160804,26,53.84615384615385,233240.0,0.018844915608688687,1.0249387752620753,51.63136683244727,27496.0,-0.15250000154622853,0.903692573088224,50.476432935699734,3966.0,0.05212746405403004,1.094876245374386,55.06807866868382
bear_body20_range22_vol20_cp20__all__slip0bps__dsno_stop__time36,bear_body20_range22_vol20_cp20,all,0.0,0.0,no_stop,36,260736,260736,100.0,133723,127013,0,51.286742145311734,0.03679919441403594,0.11684593278715075,4.302087366643473,1.039519672751656,0.0,100.0,36.0,0.0075326690353270526,0.0,-92.97751215916496,346.78974358974364,0.0003679919441403594,597,297,49.74874371859296,26,53.84615384615385,233240.0,0.03101867116741019,1.035966295663696,51.468444520665415,27496.0,0.08583357185231758,1.0566884682014337,49.74541751527495,3966.0,0.17426730329527731,1.2777571437562425,59.63187090267272
bear_body20_range22_vol20_cp20__all__slip0bps__dsno_stop__time72,bear_body20_range22_vol20_cp20,all,0.0,0.0,no_stop,72,260736,260736,100.0,131138,129598,0,50.29531786941581,0.06934948026502145,0.14940924396260652,5.137525431461649,1.057622309197348,0.0,100.0,72.0,0.0075326690353270526,0.0,-83.41633021806854,634.4215608740894,0.0006934948026502145,597,326,54.60636515912898,26,53.84615384615385,233240.0,0.07453503849676428,1.0666449204521897,50.365288972731946,27496.0,0.025362005651561208,1.0131707711025173,49.7017748036078,3966.0,0.37549390857418935,1.5319339336167435,57.8416540595058
bear_body20_range22_vol20_cp20__all__slip0bps__ds2atr__time6,bear_body20_range22_vol20_cp20,all,0.0,2.0,2atr,6,260734,260734,100.0,118769,141965,0,45.55178841271181,-0.03253092487003557,0.047488070358107655,2.5696764320701115,0.93480881373247,34.54900396572752,65.45099603427248,4.81245637316192,0.007531856725068123,1.1524084814245785,-46.561768821558466,347.3616129032258,-0.0003253092487003557,597,185,30.98827470686767,26,30.76923076923077,233240.0,-0.05643545189697042,0.8836315491278044,45.61310238381067,27494.0,0.17025847950045606,1.275463928424141,45.03164326762203,3966.0,-0.08503143823839528,0.7805463725036292,46.243066061522946
bear_body20_range22_vol20_cp20__all__slip0bps__ds2atr__time12,bear_body20_range22_vol20_cp20,all,0.0,2.0,2atr,12,260734,260734,100.0,109314,151420,0,41.92548727822225,-0.038198121725647446,0.04181860571663924,2.6859626361019053,0.935409048844637,44.81770693503724,55.182293064962764,8.45488121994063,0.007531856725068123,1.1524084814245785,-46.561768821558466,316.9078494623655,-0.00038198121725647446,597,185,30.98827470686767,26,34.61538461538461,233240.0,-0.06439833671353537,0.8881876085194724,41.90104613273881,27494.0,0.18406630483196468,1.2548244580821137,42.13282898086855,3966.0,-0.039745283575564214,0.9132418936525429,48.285426122037315
bear_body20_range22_vol20_cp20__all__slip0bps__ds2atr__time24,bear_body20_range22_vol20_cp20,all,0.0,2.0,2atr,24,260734,260734,100.0,97300,163434,0,37.317726111669366,-0.03369339309443477,0.04632513696034933,3.072360404148673,0.9507261139165051,54.709780849448094,45.290219150551906,14.454800678085713,0.007531856725068123,1.1524084814245785,-46.561768821558466,334.1948387096774,-0.0003369339309443477,597,204,34.17085427135678,26,30.76923076923077,233240.0,-0.06404135075077415,0.9039361816637701,37.21745841193621,27494.0,0.22375760144126688,1.269836029460749,38.16832763512039,3966.0,-0.008206471375085159,0.9845724342072169,45.51185073121533
bear_body20_range22_vol20_cp20__all__slip0bps__ds2atr__time36,bear_body20_range22_vol20_cp20,all,0.0,2.0,2atr,36,260734,260734,100.0,88153,172581,0,33.80955303105848,-0.040670946615320655,0.03934479130119983,3.1842713761898724,0.9451404912789151,60.61273174959921,39.387268250400794,19.53963426327215,0.007531856725068123,1.1524084814245785,-46.561768821558466,317.79279999999994,-0.0004067094661532066,597,203,34.003350083752096,26,26.923076923076923,233240.0,-0.07436229232215681,0.8971850595672954,33.70433887840851,27494.0,0.2451430299854821,1.2739241529669258,34.7021168254892,3966.0,0.08296118817879546,1.145784441432653,44.50327786182552
bear_body20_range22_vol20_cp20__all__slip0bps__ds2atr__time72,bear_body20_range22_vol20_cp20,all,0.0,2.0,2atr,72,260734,260734,100.0,70771,189963,0,27.142988639763132,-0.039516644964362364,0.0404995548575807,3.587604276712865,0.9528315850722516,69.94024561430423,30.059754385695765,31.87766459303351,0.007531856725068123,1.1524084814245785,-46.561768821558466,340.6927272727272,-0.0003951664496436237,597,202,33.835845896147404,26,38.46153846153847,233240.0,-0.07651697835943226,0.9064673614127016,26.95635397015949,27494.0,0.27436848492092614,1.2730313303019227,28.72626754928348,3966.0,0.1347965427114666,1.2048845624552114,36.83812405446293
bear_body20_range22_vol20_cp20__all__slip0bps__ds3atr__time6,bear_body20_range22_vol20_cp20,all,0.0,3.0,3atr,6,260728,260728,100.0,128212,132516,0,49.17461875978031,-0.026378868934241188,0.05364258810099917,2.5671463234858667,0.9499199680172123,20.299699303488694,79.7003006965113,5.357966923383756,0.00753563568439598,1.7257982911285918,-52.05876454638619,248.0805966055203,-0.00026378868934241186,597,213,35.678391959798994,26,26.923076923076923,233239.0,-0.056783673373334995,0.8894775827629574,49.31636647387444,27489.0,0.2316001838712374,1.3637567081022652,47.97191603914293,3965.0,-0.062232259222195385,0.8338623395283816,48.54981084489281
bear_body20_range22_vol20_cp20__all__slip0bps__ds3atr__time12,bear_body20_range22_vol20_cp20,all,0.0,3.0,3atr,12,260728,260728,100.0,123375,137353,0,47.31942867662852,-0.029978007489123108,0.050042009314602724,2.733244773798607,0.9531744007532006,29.254241968641647,70.74575803135835,9.900716455463165,0.00753563568439598,1.7257982911285918,-52.05876454638619,236.41540229885058,-0.0002997800748912311,597,215,36.01340033500838,26,30.76923076923077,233239.0,-0.060966896103299986,0.9024447279339519,47.4131684666801,27489.0,0.23295688979640894,1.3026713667684673,46.524064171122994,3965.0,-0.022962829932761462,0.951004355281945,52.83732660781841
bear_body20_range22_vol20_cp20__all__slip0bps__ds3atr__time24,bear_body20_range22_vol20_cp20,all,0.0,3.0,3atr,24,260728,260728,100.0,116065,144663,0,44.51574054186739,-0.024020387105151628,0.05600201370032849,3.167879259179715,0.9687706416062922,39.344834463502195,60.655165536497805,17.776272590592495,0.00753563568439598,1.7257982911285918,-52.05876454638619,286.04432950191574,-0.0002402038710515163,597,222,37.185929648241206,26,30.76923076923077,233239.0,-0.06018319210697822,0.9199711157867199,44.50585022230416,27489.0,0.2828142185851619,1.309219190198179,44.59965804503619,3965.0,0.013875020557966331,1.0247488889401568,51.47540983606558
bear_body20_range22_vol20_cp20__all__slip0bps__ds3atr__time36,bear_body20_range22_vol20_cp20,all,0.0,3.0,3atr,36,260728,260728,100.0,109116,151612,0,41.85051087723605,-0.03272448429655992,0.047294433476830766,3.3473138650942875,0.9617630819210393,46.140805743917035,53.859194256082965,24.656983523058514,0.00753563568439598,1.7257982911285918,-52.05876454638619,263.8309961685824,-0.0003272448429655992,597,230,38.52596314907873,26,38.46153846153847,233239.0,-0.07266999527359683,0.9132143564826799,41.851062643897464,27489.0,0.3062056708481564,1.3023742680934787,41.845829240787225,3965.0,0.141946203195022,1.2355534907757628,53.266078184110974
bear_body20_range22_vol20_cp20__all__slip0bps__ds3atr__time72,bear_body20_range22_vol20_cp20,all,0.0,3.0,3atr,72,260728,260728,100.0,92765,167963,0,35.579224325734096,-0.028869100743288207,0.05115135980063207,3.823722389222263,0.9715236965214261,57.39659722009144,42.60340277990856,41.88314258537633,0.00753563568439598,1.7257982911285918,-52.05876454638619,264.022490421456,-0.0002886910074328821,597,242,40.53601340033501,26,42.30769230769231,233239.0,-0.07183353919119792,0.9276939142416537,35.45547699998714,27489.0,0.3356760867554207,1.2829645431808638,36.62919713339882,3965.0,0.18789822411130067,1.253093447189521,46.17906683480454
bear_body20_range22_vol20_cp20__all__slip0bps__ds5atr__time6,bear_body20_range22_vol20_cp20,all,0.0,5.0,5atr,6,260702,260702,100.0,132600,128102,0,50.86267078887005,-0.03098202480820236,0.049037590227888825,2.3891329108839567,0.9427315631142227,8.365490099807444,91.63450990019257,5.747869214658882,0.0075112694806862045,2.864308309627954,-65.16545269066505,194.11541850220263,-0.0003098202480820236,597,224,37.52093802345058,26,34.61538461538461,233238.0,-0.05424114364023529,0.897142265901246,51.05857536079027,27464.0,0.16654602493494144,1.2535092197406272,49.19895135450044,3965.0,-0.0535100039759646,0.8545987818633471,49.15510718789407
bear_body20_range22_vol20_cp20__all__slip0bps__ds5atr__time12,bear_body20_range22_vol20_cp20,all,0.0,5.0,5atr,12,260702,260702,100.0,130871,129831,0,50.199461454074005,-0.03076452114161035,0.0492551809307619,2.637142214953503,0.9537381155696087,13.261885217604775,86.73811478239523,11.125211927794954,0.0075112694806862045,2.864308309627954,-65.16545269066505,234.65719823788538,-0.00030764521141610354,597,228,38.19095477386934,26,38.46153846153847,233238.0,-0.0545303960041006,0.9160146849706251,50.397448100223805,27464.0,0.17106715382115914,1.214225956481109,48.51806000582581,3965.0,-0.04076413494662605,0.9172923796538046,54.50189155107188
bear_body20_range22_vol20_cp20__all__slip0bps__ds5atr__time24,bear_body20_range22_vol20_cp20,all,0.0,5.0,5atr,24,260702,260702,100.0,129476,131226,0,49.66436774554856,-0.020305906544764978,0.05971798064749406,3.081829275669676,0.9751883264407899,20.437894607636306,79.56210539236369,21.112822302859204,0.0075112694806862045,2.864308309627954,-65.16545269066505,235.56725991189427,-0.00020305906544764978,597,251,42.04355108877722,26,46.15384615384615,233238.0,-0.047121153429119406,0.941047006141501,49.77362179404729,27464.0,0.20742255809305368,1.2115227877179056,48.736527818234784,3965.0,0.003359244157783546,1.0056614086420705,54.476670870113495
bear_body20_range22_vol20_cp20__all__slip0bps__ds5atr__time36,bear_body20_range22_vol20_cp20,all,0.0,5.0,5atr,36,260702,260702,100.0,126263,134439,0,48.43192610720286,-0.031221741418879262,0.04879777769219762,3.3485953230799175,0.9665978636006005,26.230715529608517,73.76928447039148,30.334815229649177,0.0075112694806862045,2.864308309627954,-65.16545269066505,232.63157709251095,-0.00031221741418879263,597,231,38.69346733668342,26,42.30769230769231,233238.0,-0.06098534597837214,0.9331976728567798,48.567128855503825,27464.0,0.22154564862798207,1.1978328377064094,47.28371686571512,3965.0,0.13071560532285592,1.1979484444395077,58.23455233291299
bear_body20_range22_vol20_cp20__all__slip0bps__ds5atr__time72,bear_body20_range22_vol20_cp20,all,0.0,5.0,5atr,72,260702,260702,100.0,116515,144187,0,44.6927910027541,-0.014358605295424896,0.06566766176928283,3.93279141373314,0.987684558832249,37.58927817968408,62.41072182031592,54.80190025392977,0.0075112694806862045,2.864308309627954,-65.16545269066505,230.01881938325988,-0.00014358605295424897,597,264,44.221105527638194,26,46.15384615384615,233238.0,-0.04469974008950214,0.9608320412779134,44.69769077080064,27464.0,0.24331345984807135,1.176901809564099,44.65117972618701,3965.0,0.18317645748261277,1.2199696433486704,53.13997477931905
bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time6,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,6,260736,260736,100.0,130857,129879,0,50.18754602356407,-0.033080933902618605,0.04693784123387491,3.454939601261809,0.9406348387531689,0.0,100.0,6.0,0.0075326690353270526,0.0,-87.37218117231097,371.8989361063894,-0.00033080933902618603,597,226,37.85594639865997,26,38.46153846153847,233240.0,-0.04408016370761065,0.9136948370660175,50.353284170811186,27496.0,0.060222105074554125,1.0632807002365814,48.78164096595869,3966.0,-0.061968042408485004,0.8314292952359548,47.655068078668684
bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time12,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,12,260736,260736,100.0,130709,130027,0,50.13078362788414,-0.002980205654747906,0.07705061459108851,3.359076417539986,0.9954552706726427,0.0,100.0,12.0,0.0075326690353270526,0.0,-82.71277106881737,336.450129140932,-2.980205654747906e-05,597,264,44.221105527638194,26,34.61538461538461,233240.0,-0.03354151294919864,0.9464583315059053,50.29454638998456,27496.0,0.2562618409468556,1.2834007238740408,48.74163514693046,3966.0,-0.03884561913986884,0.9193964260697842,53.70650529500757
bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time24,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,24,260736,260736,100.0,132600,128136,0,50.8560382916053,-0.01923047308805944,0.060793844449720406,4.279337589694425,0.9774433720445342,0.0,100.0,24.0,0.0075326690353270526,0.0,-90.52024212464255,358.23192619199614,-0.0001923047308805944,597,255,42.71356783919598,26,53.84615384615385,233240.0,-0.0011648523976302294,0.9984777879823755,50.97496141313669,27496.0,-0.17247550399567185,0.8917377145451698,49.84725050916497,3966.0,0.03211104020360634,1.0575036899410408,54.03429147755925
bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time36,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,36,260736,260736,100.0,132349,128387,0,50.75977233676976,0.016785835911005638,0.09682456573730056,4.301227035203288,1.0178426039305517,0.0,100.0,36.0,0.0075326690353270526,0.0,-92.97892451549748,346.70038657672694,0.0001678583591100564,597,275,46.06365159128978,26,46.15384615384615,233240.0,0.011006468653430312,1.0126217233863593,50.94194820785457,27496.0,0.0658104074543891,1.0431846163063094,49.214431189991274,3966.0,0.15422645391955847,1.242708446146109,58.87544125063036
bear_body20_range22_vol20_cp20__all__slip1bps__dsno_stop__time72,bear_body20_range22_vol20_cp20,all,1.0,0.0,no_stop,72,260736,260736,100.0,130105,130631,0,49.899131688757976,0.0493296123557615,0.12938136490172228,5.136498029115597,1.0406587343218163,0.0,100.0,72.0,0.0075326690353270526,0.0,-83.41965461958478,634.274683249677,0.000493296123557615,597,312,52.26130653266332,26,50.0,233240.0,0.0545141335795588,1.0483223086310736,49.965700565940665,27496.0,0.0053509343575624075,1.0027648550311086,49.33444864707594,3966.0,0.35541281790154355,1.497592667432525,57.11043872919819
bear_body20_range22_vol20_cp20__all__slip1bps__ds2atr__time6,bear_body20_range22_vol20_cp20,all,1.0,2.0,2atr,6,260734,260734,100.0,116184,144550,0,44.560356531944436,-0.05224723874647306,0.02776386680024709,2.56795648443093,0.8973377184908017,35.89366941020351,64.1063305897965,4.743999631808663,0.007531856725068123,1.1522932520993692,-46.562469397336564,347.2721415277827,-0.0005224723874647306,597,152,25.4606365159129,26,23.076923076923077,233240.0,-0.07620666158117957,0.8460191276465512,44.60684273709484,27494.0,0.15100786352918558,1.240533398904116,44.16599985451371,3966.0,-0.10605793629825654,0.7342549780485323,44.730206757438225
bear_body20_range22_vol20_cp20__all__slip1bps__ds2atr__time12,bear_body20_range22_vol20_cp20,all,1.0,2.0,2atr,12,260734,260734,100.0,107330,153404,0,41.16455851557526,-0.05774718396285906,0.02226172072543111,2.683786276156258,0.9039731851634591,46.036957205427754,53.963042794572246,8.30937660604294,0.007531856725068123,1.1522932520993692,-46.562469397336564,316.8244682305964,-0.0005774718396285906,597,154,25.795644891122276,26,19.230769230769234,233240.0,-0.08401493395436864,0.8566285132069734,41.14088492539873,27494.0,0.16509016265893792,1.225607712054314,41.365388812104456,3966.0,-0.06228787263229384,0.867285918748692,47.07513867876954
bear_body20_range22_vol20_cp20__all__slip1bps__ds2atr__time24,bear_body20_range22_vol20_cp20,all,1.0,2.0,2atr,24,260734,260734,100.0,95745,164989,0,36.72133285263909,-0.05338726540826287,0.026623383945315198,3.0695194289347456,0.9230509482579801,55.77676866078072,44.22323133921928,14.17180344719139,0.007531856725068123,1.1522932520993692,-46.562469397336564,334.1080004257639,-0.0005338726540826287,597,181,30.318257956448914,26,23.076923076923077,233240.0,-0.08377471613562491,0.8762007433380422,36.61807580174927,27494.0,0.2043987609120216,1.2436559590969345,37.597293955044734,3966.0,-0.03240382005833199,0.9403317084668913,44.52849218356027
bear_body20_range22_vol20_cp20__all__slip1bps__ds2atr__time36,bear_body20_range22_vol20_cp20,all,1.0,2.0,2atr,36,260734,260734,100.0,86902,173832,0,33.32975369533701,-0.06038763014487664,0.019620217942300257,3.1797993097652775,0.9196193923486946,61.54970199513681,38.45029800486319,19.136177100032985,0.007531856725068123,1.1522932520993692,-46.562469397336564,317.7092417958204,-0.0006038763014487665,597,180,30.15075376884422,26,23.076923076923077,233240.0,-0.09411028372334918,0.8716507433069585,33.221574344023324,27494.0,0.225691940693958,1.2495848329121801,34.24747217574743,3966.0,0.05790170786001513,1.0998591369325248,43.79727685325265
bear_body20_range22_vol20_cp20__all__slip1bps__ds2atr__time72,bear_body20_range22_vol20_cp20,all,1.0,2.0,2atr,72,260734,260734,100.0,69847,190887,0,26.78860447812713,-0.05886871977930686,0.021139736115139238,3.582936672064023,0.9305533225100975,70.6773953531185,29.322604646881494,31.176724170994195,0.007531856725068123,1.1522932520993692,-46.562469397336564,340.6045895410458,-0.0005886871977930687,597,184,30.82077051926298,26,30.76923076923077,233240.0,-0.0959684999305291,0.8841021226760419,26.597067398387924,27494.0,0.25586004731427997,1.2522570256978125,28.41347203026115,3966.0,0.11084272482699528,1.1658861723189662,36.157337367624805
