profile,symbol,rows,raw_events,selected_trades,first_entry,last_exit
bear_range25_body08_vol15_cp20,0G,31731,48,43,2025-09-20 03:15:00,2026-01-10 15:00:00
bear_range25_body08_vol15_cp20,1000000BOB,61772,95,84,2025-06-11 19:30:00,2026-01-05 19:25:00
bear_range25_body08_vol15_cp20,1000000MOG,122220,191,170,2024-11-11 15:40:00,2026-01-12 06:45:00
bear_range25_body08_vol15_cp20,1000BONK,223318,252,232,2023-11-24 04:05:00,2026-01-12 06:45:00
bear_range25_body08_vol15_cp20,1000CAT,127118,160,150,2024-10-26 23:25:00,2026-01-09 16:30:00
bear_range25_body08_vol15_cp20,1000CHEEMS,117043,231,193,2024-11-28 14:30:00,2026-01-10 05:05:00
bear_range25_body08_vol15_cp20,1000FLOKI,280908,309,276,2023-05-08 10:45:00,2026-01-10 21:15:00
bear_range25_body08_vol15_cp20,1000LUNC,351511,483,431,2022-09-13 00:35:00,2026-01-12 06:45:00
bear_range25_body08_vol15_cp20,1000PEPE,281198,383,354,2023-05-08 10:45:00,2026-01-11 19:00:00
bear_range25_body08_vol15_cp20,1000RATS,216690,325,281,2023-12-17 12:10:00,2026-01-11 23:35:00
bear_range25_body08_vol15_cp20,1000SATS,217554,216,196,2023-12-14 22:30:00,2025-12-31 05:00:00
bear_range25_body08_vol15_cp20,1000SHIB,491726,852,750,2021-05-13 02:50:00,2026-01-12 06:05:00
bear_range25_body08_vol15_cp20,1000WHY,117046,218,190,2024-11-29 16:20:00,2026-01-10 22:40:00
bear_range25_body08_vol15_cp20,1000X,120492,176,154,2024-11-17 01:05:00,2025-11-12 11:30:00
bear_range25_body08_vol15_cp20,1000XEC,454450,962,838,2021-09-20 20:30:00,2026-01-12 11:05:00
bear_range25_body08_vol15_cp20,1INCH,530997,922,808,2020-12-27 17:10:00,2026-01-09 16:30:00
bear_range25_body08_vol15_cp20,1MBABYDOGE,137212,161,148,2024-09-23 07:00:00,2026-01-09 16:30:00
bear_range25_body08_vol15_cp20,2Z,27450,45,39,2025-10-04 09:25:00,2026-01-11 08:50:00
bear_range25_body08_vol15_cp20,42,15648,33,29,2025-11-21 13:35:00,2026-01-12 06:10:00
bear_range25_body08_vol15_cp20,4,25733,41,35,2025-10-10 13:50:00,2026-01-08 18:40:00
bear_range25_body08_vol15_cp20,A2Z,45936,65,60,2025-08-01 07:35:00,2026-01-09 11:15:00
bear_range25_body08_vol15_cp20,A,64083,108,99,2025-05-30 15:05:00,2026-01-10 17:35:00
bear_range25_body08_vol15_cp20,AAVE,551197,869,769,2020-10-19 15:55:00,2026-01-11 16:05:00
bear_range25_body08_vol15_cp20,ACE,215873,266,247,2023-12-22 15:35:00,2026-01-11 21:40:00
bear_range25_body08_vol15_cp20,ACH,303679,416,371,2023-02-24 03:05:00,2026-01-10 01:20:00
bear_range25_body08_vol15_cp20,ACT,121070,126,116,2024-11-13 03:05:00,2026-01-05 03:35:00
bear_range25_body08_vol15_cp20,ACX,113836,169,154,2024-12-08 09:20:00,2026-01-08 21:55:00
bear_range25_body08_vol15_cp20,ADA,625803,1031,910,2020-02-04 01:00:00,2026-01-11 21:15:00
bear_range25_body08_vol15_cp20,AERGO,76147,210,175,2025-04-20 09:05:00,2026-01-11 15:35:00
bear_range25_body08_vol15_cp20,AERO,114421,155,140,2024-12-18 00:05:00,2026-01-08 00:05:00
bear_range25_body08_vol15_cp20,AEVO,191055,205,186,2024-03-15 18:10:00,2026-01-11 08:50:00
bear_range25_body08_vol15_cp20,AGIX,305412,196,174,2023-02-19 05:15:00,2024-06-23 22:30:00
bear_range25_body08_vol15_cp20,AGLD,256878,384,346,2023-07-30 15:05:00,2026-01-11 12:55:00
bear_range25_body08_vol15_cp20,AGT,66357,104,89,2025-05-22 12:25:00,2026-01-11 13:55:00
bear_range25_body08_vol15_cp20,AI16Z,106071,87,80,2025-01-05 18:10:00,2025-11-06 07:20:00
bear_range25_body08_vol15_cp20,AI,209794,256,225,2024-01-13 00:25:00,2026-01-09 23:45:00
bear_range25_body08_vol15_cp20,AIA,31530,17,15,2025-09-20 10:15:00,2025-12-12 01:35:00
bear_range25_body08_vol15_cp20,AIN,51665,114,98,2025-07-12 13:20:00,2026-01-12 01:30:00
bear_range25_body08_vol15_cp20,AIO,41863,78,63,2025-08-14 21:35:00,2026-01-09 19:10:00
bear_range25_body08_vol15_cp20,AIOT,72094,119,104,2025-05-12 07:05:00,2026-01-11 15:50:00
bear_range25_body08_vol15_cp20,AIXBT,109759,101,97,2024-12-22 06:50:00,2026-01-09 16:30:00
bear_range25_body08_vol15_cp20,AKE,29178,64,53,2025-09-28 13:35:00,2026-01-11 13:40:00
bear_range25_body08_vol15_cp20,AKT,119062,206,178,2024-11-30 19:20:00,2026-01-12 03:00:00
bear_range25_body08_vol15_cp20,ALCH,104655,197,174,2025-01-12 19:05:00,2026-01-11 17:15:00
bear_range25_body08_vol15_cp20,ALGO,586326,964,828,2020-06-18 21:40:00,2026-01-08 06:00:00
bear_range25_body08_vol15_cp20,ALICE,507747,778,676,2021-03-17 18:50:00,2025-12-16 13:25:00
bear_range25_body08_vol15_cp20,ALL,43903,111,91,2025-08-10 16:40:00,2026-01-11 13:50:00
bear_range25_body08_vol15_cp20,ALLO,15649,9,9,2025-11-20 01:35:00,2026-01-11 13:50:00
bear_range25_body08_vol15_cp20,ALPACA,144428,135,121,2024-08-23 23:10:00,2025-04-30 00:10:00
bear_range25_body08_vol15_cp20,ALPHA,540251,894,793,2020-11-26 07:35:00,2025-09-23 12:50:00
