symbol,file,bars,kept_event_horizon_rows,first_ts,last_ts
0G,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\0G_5m.csv,31731,13008,2025-09-18 00:45:00,2026-01-12 06:40:00
1000000BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000BOB_5m.csv,61772,20232,2025-06-05 17:30:00,2026-01-12 06:50:00
1000000MOG,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000MOG_5m.csv,122220,54928,2024-11-07 21:30:00,2026-01-12 07:35:00
1000BONK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000BONK_5m.csv,223318,91460,2023-11-22 23:00:00,2026-01-12 08:40:00
1000CAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CAT_5m.csv,127118,54176,2024-10-21 21:30:00,2026-01-12 07:40:00
1000CHEEMS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CHEEMS_5m.csv,117043,54840,2024-11-25 20:45:00,2026-01-12 07:30:00
1000FLOKI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000FLOKI_5m.csv,280908,114076,2023-05-07 01:30:00,2026-01-12 09:30:00
1000LUNC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000LUNC_5m.csv,351511,134572,2022-09-09 22:00:00,2026-01-12 10:30:00
1000PEPE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000PEPE_5m.csv,281198,110664,2023-05-06 01:30:00,2026-01-12 09:35:00
1000RATS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000RATS_5m.csv,216690,92448,2023-12-15 23:00:00,2026-01-12 08:30:00
1000SATS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SATS_5m.csv,217554,67204,2023-12-12 23:00:00,2026-01-12 08:30:00
1000SHIB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SHIB_5m.csv,491726,199556,2021-05-11 02:35:00,2026-01-12 11:40:00
1000WHY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000WHY_5m.csv,117046,36592,2024-11-25 20:30:00,2026-01-12 07:30:00
1000X,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000X_5m.csv,120492,42852,2024-11-13 21:30:00,2026-01-12 07:35:00
1000XEC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000XEC_5m.csv,454450,206308,2021-09-17 12:30:00,2026-01-12 11:15:00
1INCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1INCH_5m.csv,530997,224764,2020-12-25 19:00:00,2026-01-12 12:40:00
1MBABYDOGE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1MBABYDOGE_5m.csv,137212,57176,2024-09-16 20:35:00,2026-01-12 07:45:00
2Z,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\2Z_5m.csv,27450,12748,2025-10-02 21:30:00,2026-01-12 06:35:00
