spec,factor,profile,horizon,scenario,top_k,max_concurrent_cap,period,quarter,start_equity,end_equity,quarter_return_pct,quarter_mdd_pct,entries,exits
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_BASE,1,0,BASE,2020Q3,100.0,95.65272062360941,-4.347279376390589,-7.560644490205659,2208,2196
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_EX_2025Q4,1,0,EX_2025Q4,2020Q3,100.0,95.65272062360941,-4.347279376390589,-7.560644490205659,2208,2196
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_PRE_2025Q4,1,0,PRE_2025Q4,2020Q3,100.0,95.65272062360941,-4.347279376390589,-7.560644490205659,2208,2196
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_ONLY_2025Q4,1,0,ONLY_2025Q4,2020Q3,100.0,100.0,0.0,0.0,0,0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_nocap_2026_ENTRY_ONLY,1,0,2026_ENTRY_ONLY,2020Q3,100.0,100.0,0.0,0.0,0,0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_BASE,1,20,BASE,2020Q3,100.0,95.64260524636177,-4.357394753638233,-7.560644490205659,2207,2195
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_EX_2025Q4,1,20,EX_2025Q4,2020Q3,100.0,95.64260524636177,-4.357394753638233,-7.560644490205659,2207,2195
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_PRE_2025Q4,1,20,PRE_2025Q4,2020Q3,100.0,95.64260524636177,-4.357394753638233,-7.560644490205659,2207,2195
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_ONLY_2025Q4,1,20,ONLY_2025Q4,2020Q3,100.0,100.0,0.0,0.0,0,0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,market_mom,z4,72,K1_cap20_2026_ENTRY_ONLY,1,20,2026_ENTRY_ONLY,2020Q3,100.0,100.0,0.0,0.0,0,0
