rank,spec,role,factor,residual_mode,profile,side,direction,horizon,scenario,top_k,max_concurrent_cap,period,selected_before_cap,selected_after_cap,initial_capital,final_equity,final_return_pct,peak_equity,min_equity,max_drawdown_pct,entries,exits,wins,losses,flats,win_rate_pct,avg_trade_net_return_pct,profit_factor_contribution,max_concurrent_positions,max_gross_exposure_pct,bankrupt,position_fraction,leverage,fee_per_side,slippage_bps,ex_q4_final_return_pct,ex_q4_mdd_pct,ex_q4_pf,y2026_final_return_pct,y2026_mdd_pct,y2026_pf,pre_q4_final_return_pct,robust_pass
1,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap50_BASE,1,50,BASE,130088,130013,100.0,1423.369850199993,1323.369850199993,1427.4941613066692,81.5240001060971,-20.793190760614934,130013,130013,70455,59558,0,54.19073477267658,0.2104955356680654,1.2014467656873673,51,53.32033393383884,False,0.01,1.0,0.0004,1.0,579.839271367002,-20.793190760614934,1.1281370521853937,1.8981173577521604,-4.542785259123572,1.0880220284629953,567.1754974433626,True
2,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_nocap_BASE,1,0,BASE,130088,130088,100.0,1423.221140970326,1323.221140970326,1427.345021181876,81.5240001060971,-20.793190760614934,130088,130088,70499,59589,0,54.19331529426235,0.21036585435431204,1.2013025891869795,57,57.075532262710084,False,0.01,1.0,0.0004,1.0,579.3935313401607,-20.793190760614934,1.1280277457203078,2.0703901523426493,-4.390645302115271,1.0954983896893604,565.612750501051,True
3,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap20_BASE,1,20,BASE,130088,107543,100.0,808.5257511916064,708.5257511916063,810.1163050124122,81.46286774375635,-20.852585532166568,107543,107543,58068,49475,0,53.995146127595476,0.1993278846365726,1.1834700606723436,21,32.65875342291272,False,0.01,1.0,0.0004,1.0,433.70366794872444,-20.852585532166568,1.138366437128719,1.268687513854383,-2.443602183993665,1.1158458230887973,427.0174631973099,True
4,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K3_nocap_BASE,3,0,BASE,274122,274122,100.0,3022.741070086194,2922.741070086194,3183.7115544144167,67.86809250965025,-42.9701755225029,274122,274122,145561,128561,0,53.100809128782075,0.13868633639133507,1.1392236224004824,131,131.16935260046503,False,0.01,1.0,0.0004,1.0,851.0466703000185,-38.02289726461191,1.0720862525300328,-2.029896934403108,-13.590272808977943,0.9559585751577127,870.7519340499503,False
5,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K5_nocap_BASE,5,0,BASE,302486,302486,100.0,2679.427865432878,2579.427865432878,2971.589304154163,65.7358827304694,-48.64244327375303,302486,302486,159519,142967,0,52.73599439312894,0.12625023921985667,1.1210074177218479,180,181.4460373323358,False,0.01,1.0,0.0004,1.0,727.4291532489816,-40.610619223267285,1.0615693866007199,-3.831322945782578,-16.142334045203675,0.9278396342648616,760.3936110949046,False
6,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K3_nocap_BASE,3,0,BASE,313921,313921,100.0,2089.5918433213433,1989.591843321343,2269.224710132205,59.03815827161075,-50.38383184572683,313921,313921,165604,148317,0,52.753399740699095,0.11665095698027578,1.110909644339063,153,153.51566884743744,False,0.01,1.0,0.0004,1.0,577.4256858267244,-41.213539309352655,1.0540551495071742,-3.805647237828269,-14.744117729041484,0.9222496437159746,604.2260448506488,False
7,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K10_nocap_BASE,10,0,BASE,330818,330818,100.0,1896.9413873327926,1796.9413873327926,2130.9278717385223,59.938209962192936,-58.99306598300155,330818,330818,173014,157804,0,52.29884710021825,0.11166431433017765,1.1059981398467642,239,246.04835744740038,False,0.01,1.0,0.0004,1.0,451.38341771663556,-46.252204517755736,1.046366665424952,-4.095605295801752,-17.80725291368781,0.9287999104554755,474.9302932543296,False
8,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K1_nocap_BASE,1,0,BASE,183492,183492,100.0,1863.3431233998338,1763.3431233998338,1884.0791032662275,73.95214860651645,-30.95554688486698,183492,183492,98818,84674,0,53.85411898066401,0.1679021985508587,1.161599830359079,63,63.25645868105118,False,0.01,1.0,0.0004,1.0,742.3720560497796,-30.95554688486698,1.1008539442396748,-0.14069217300262116,-7.11867784111444,0.994839802342247,743.5588773649013,False
9,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K1_cap50_BASE,1,50,BASE,183492,182724,100.0,1826.3063822467896,1726.3063822467896,1838.1758084161977,73.95214860651645,-30.95554688486698,182724,182724,98389,84335,0,53.845690768590885,0.1674473785043974,1.160769706781477,51,58.60905859336592,False,0.01,1.0,0.0004,1.0,740.6703688710513,-30.95554688486698,1.1007196699658843,0.012221833983572239,-6.738881050886136,1.0004746127434918,740.5676360900476,False
10,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K3_cap50_BASE,3,50,BASE,274122,239544,100.0,1807.3999074296114,1707.3999074296114,1848.6420222900274,67.85876287927543,-38.03141707766164,239544,239544,127062,112482,0,53.04328223624887,0.13185264671225488,1.1325471565947212,53,70.83890292965461,False,0.01,1.0,0.0004,1.0,742.7146327936265,-38.03141707766164,1.0803935594727807,-0.9688384263283001,-7.496564278184048,0.9631325782111513,750.9590510727428,False
11,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K5_nocap_BASE,5,0,BASE,335199,335199,100.0,1796.3086061839117,1696.3086061839117,2034.0746889598631,56.034153024559714,-57.359652080155875,335199,335199,176230,158969,0,52.57473918478277,0.1103359408517284,1.0950831138716721,206,208.67942496162857,False,0.01,1.0,0.0004,1.0,482.78906699414176,-43.97045755976228,1.0453639860038422,-5.567491946708191,-17.01328386106796,0.8983529593293424,517.1487753616094,False
12,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K3_nocap_BASE,3,0,BASE,177644,177644,100.0,1795.2711651771072,1695.2711651771072,1817.7141025467452,77.17142721104527,-34.14615484047303,177644,177644,95094,82550,0,53.53065681925649,0.17267374508802466,1.1689819958196959,122,121.79165183177172,False,0.01,1.0,0.0004,1.0,570.8603152993247,-26.316357355635756,1.0923271417620406,-0.04261799208219452,-10.289914889576401,0.9987563287203146,571.1463443952365,False
13,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K5_cap50_BASE,5,50,BASE,302486,249179,100.0,1601.658117744373,1501.658117744373,1686.215301671751,65.77073701106762,-40.5791299657086,249179,249179,131430,117749,0,52.74521528700251,0.1231797746392156,1.1264182462244117,55,72.15352733979292,False,0.01,1.0,0.0004,1.0,654.5599920304894,-40.5791299657086,1.0757506210869643,-2.8341578319132754,-7.839269343301581,0.8931243922753053,676.5691885067841,False
14,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K3_cap50_BASE,3,50,BASE,177644,168200,100.0,1557.3039827708067,1457.3039827708067,1566.8196288221525,77.17142721104527,-26.316357355635756,168200,168200,90049,78151,0,53.53686087990488,0.1719553389346195,1.1697908120153437,53,67.44054648860521,False,0.01,1.0,0.0004,1.0,620.6820052435961,-26.316357355635756,1.1060171495710118,0.036518729238843584,-6.968262735272546,1.0014726861298522,620.4189174097658,False
15,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K5_nocap_BASE,5,0,BASE,189464,189464,100.0,1451.0278779973457,1351.0278779973457,1496.9049249155055,73.51383891148981,-41.63409656648941,189464,189464,100720,88744,0,53.16049486973778,0.15371692336193088,1.152081937136555,149,148.82966999593174,False,0.01,1.0,0.0004,1.0,419.1522578606854,-29.990387600875458,1.0761721511146274,-1.054730248045388,-11.744577077368357,0.9713348015402409,424.6862827926453,False
16,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K10_nocap_BASE,10,0,BASE,346530,346530,100.0,1426.7875788333708,1326.7875788333708,1596.3917891222397,52.219480716259675,-65.3514627175808,346530,346530,181800,164730,0,52.462990217297204,0.10603777212439602,1.0892702049230694,273,283.10213384751466,False,0.01,1.0,0.0004,1.0,341.94910370227063,-47.784815990411126,1.0378252116478413,-3.639049419654261,-17.01376617209549,0.9369707220889423,358.6392112578576,False
17,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K1_nocap_BASE,1,0,BASE,214735,214735,100.0,1414.3251039596696,1314.3251039596696,1457.509800103485,69.77689190458378,-35.06854913723822,214735,214735,114316,100419,0,53.23584883693855,0.1343683622787539,1.1259038602283027,66,72.26512567577613,False,0.01,1.0,0.0004,1.0,602.52988944082,-31.79878987642527,1.0804687180923827,-1.6877762206795377,-8.185394530804535,0.9393430366756949,614.5905793136907,False
18,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K3_cap50_BASE,3,50,BASE,313921,258361,100.0,1355.2729195312252,1255.2729195312252,1399.023510167807,59.11492062663976,-41.13710421553293,258361,258361,136375,121986,0,52.784669512813466,0.11365378927527589,1.1123663585241892,53,68.12919012074079,False,0.01,1.0,0.0004,1.0,571.8002751540699,-41.13710421553293,1.067782710439192,-2.8504888353671154,-7.987530353350558,0.8917810636911265,591.5117401008971,False
19,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K1_cap50_BASE,1,50,BASE,214735,212241,100.0,1348.2529611263637,1248.2529611263637,1376.0684176104858,69.77689190458378,-33.0453824406331,212241,212241,112980,99261,0,53.2319391634981,0.1332828674002539,1.123865843386961,51,67.84823013990324,False,0.01,1.0,0.0004,1.0,607.9198174091794,-31.79878987642527,1.08200187006094,-1.2226458406494611,-7.458684333031485,0.9522992399287573,616.682303787101,False
20,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K5_cap50_BASE,5,50,BASE,335199,261373,100.0,1332.216880601483,1232.216880601483,1404.8202636367232,56.38296644096656,-43.6216728443098,261373,261373,137757,123616,0,52.7051378681042,0.11221703742024663,1.1108456301009677,55,69.9547976791584,False,0.01,1.0,0.0004,1.0,577.810521682963,-43.6216728443098,1.0689894949725858,-3.382480202680027,-8.993477325581978,0.8726350627993668,601.5399723619984,False
21,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K10_cap50_BASE,10,50,BASE,330818,255989,100.0,1329.88039128358,1229.88039128358,1411.9239529268282,59.98294853335254,-46.21208654335558,255989,255989,134266,121723,0,52.44990995706846,0.1134681718632553,1.119301498647705,59,73.2216295541672,False,0.01,1.0,0.0004,1.0,531.6676486651025,-46.21208654335558,1.0699214165808646,-3.331073378444638,-8.514913293450855,0.8764865235283475,553.4340151908332,False
22,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K3_nocap_BASE,3,0,BASE,245015,245015,100.0,1300.7968135316344,1200.7968135316344,1351.6288419642408,68.42795654427017,-44.43780720743826,245015,245015,128589,116426,0,52.48209293308573,0.12025149668841861,1.1197984761030508,137,136.93157930086298,False,0.01,1.0,0.0004,1.0,373.0351256158717,-31.572043455729826,1.0559484824311909,-1.9795954209997246,-12.991006381713078,0.9490450186239151,382.58842395883175,False
23,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K5_cap50_BASE,5,50,BASE,189464,174921,100.0,1250.4667849723867,1150.4667849723867,1260.1038477599452,73.51383891148981,-29.990387600875458,174921,174921,93116,81805,0,53.23317383275879,0.1540927293403932,1.1536932598693346,55,68.57988178555229,False,0.01,1.0,0.0004,1.0,501.14438682436935,-29.990387600875458,1.0958538804241054,-0.5990816888659767,-7.452327236389877,0.9757251494438024,504.7674378044825,False
24,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K5_nocap_BASE,5,0,BASE,258558,258558,100.0,1163.6354392599837,1063.6354392599837,1229.3040410680833,66.30035607112343,-52.95665722118245,258558,258558,135296,123262,0,52.327137431446715,0.11372244051844303,1.1070079026902493,185,186.40587886600898,False,0.01,1.0,0.0004,1.0,324.55644208669867,-34.56554689085563,1.0489805079919134,-2.758471097136561,-14.614374380845474,0.9346979415635955,336.5999248230676,False
25,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K10_nocap_BASE,10,0,BASE,201230,201230,100.0,1156.4416841406871,1056.4416841406871,1215.4273053022982,67.0197681966534,-50.034908249249014,201230,201230,106247,94983,0,52.798787457138594,0.1378641328757598,1.1379896162991219,178,178.2095769193469,False,0.01,1.0,0.0004,1.0,298.1862390594986,-36.65791400849896,1.0618083947856458,-2.376038518958712,-13.35873515692274,0.939029279824084,307.87756716554355,False
26,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K3_cap50_BASE,3,50,BASE,245015,217090,100.0,1142.043434932174,1042.043434932174,1162.9016327962142,68.42795654427017,-32.134637338096496,217090,217090,114084,103006,0,52.55147634621585,0.12324509178355907,1.125152308595979,53,67.81571672664462,False,0.01,1.0,0.0004,1.0,472.40320126170315,-31.572043455729826,1.0763257137550195,-2.0493090137347236,-7.969848760752529,0.9170674478166443,484.3789313767754,False
27,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K10_cap50_BASE,10,50,BASE,346530,262274,100.0,1129.1047561108971,1029.1047561108971,1185.871294350884,53.80955905507236,-46.194868485917574,262274,262274,138053,124221,0,52.63693694380686,0.10567756490786565,1.1034423064564405,57,69.21576215446504,False,0.01,1.0,0.0004,1.0,480.2921252707692,-46.194868485917574,1.0630658779801596,-3.426149889075203,-9.03879979355472,0.8691768248308454,500.879145445941,False
28,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_nocap_BASE,1,0,BASE,174961,174961,100.0,1107.9277639165202,1007.9277639165202,1117.6930071442212,74.2243176099173,-27.309560356687157,174961,174961,92867,82094,0,53.0786861071896,0.1461803053808254,1.1409034677968661,62,63.61568719163915,False,0.01,1.0,0.0004,1.0,469.53254973863557,-25.77568239008269,1.0891807218114806,-0.08350503334010329,-6.504762225186123,0.9965414991288893,470.0085355562945,False
29,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap50_BASE,1,50,BASE,174961,174331,100.0,1100.4444104756412,1000.4444104756412,1117.2814069965457,74.2243176099173,-27.156441438686173,174331,174331,92532,81799,0,53.078339480643145,0.14625506122351214,1.1406199046368017,51,62.71605606764764,False,0.01,1.0,0.0004,1.0,468.61958420466914,-25.77568239008269,1.0891430013399588,-0.7926209456552202,-6.836237029582604,0.9663017257815583,473.1625909532242,False
30,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K5_cap50_BASE,5,50,BASE,258558,220487,100.0,1068.757183217968,968.757183217968,1092.8700352374653,66.30035607112343,-34.2815357100109,220487,220487,115650,104837,0,52.452072004245146,0.11829928415999993,1.1157603237441223,55,69.80918011535276,False,0.01,1.0,0.0004,1.0,471.6721531154784,-33.69964392887657,1.0742423089975075,-2.7432687392334953,-8.448402142180223,0.8883286459598332,487.7970045926144,False
31,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K10_cap50_BASE,10,50,BASE,266349,221909,100.0,1056.8265297924763,956.8265297924762,1073.604804810913,63.8589196866766,-36.14108031332341,221909,221909,116348,105561,0,52.43050079086472,0.11722672950693669,1.1162079973982542,57,68.60816155562453,False,0.01,1.0,0.0004,1.0,468.8993032007918,-36.14108031332341,1.0749725222210436,-2.370535045932509,-8.190682793644676,0.9028592511046251,482.71271226206363,False
32,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K10_cap50_BASE,10,50,BASE,201230,180789,100.0,1022.2515313297527,922.2515313297527,1026.235108138818,69.70475698971217,-34.12026287074647,180789,180789,95686,85103,0,52.926892675992455,0.13875036893826787,1.14345741683759,59,68.43959826115079,False,0.01,1.0,0.0004,1.0,405.9432248734022,-34.12026287074647,1.0880968074128574,0.2790797998623473,-6.991729733859298,1.0113415473979404,404.53516913314775,False
33,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K10_nocap_BASE,10,0,BASE,266349,266349,100.0,981.6577238874561,881.6577238874562,1080.9507094808575,61.940800604231036,-61.30022962000247,266349,266349,139059,127290,0,52.209319351677685,0.10994789825797775,1.1010940488380405,226,230.0959884677703,False,0.01,1.0,0.0004,1.0,242.00486571803452,-40.90010637326454,1.0415298384740788,-3.600911844258503,-15.695365137010175,0.9176273733946281,254.78018751120638,False
34,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K1_cap20_BASE,1,20,BASE,183492,132759,100.0,840.6601071614558,740.6601071614558,853.2180025165597,75.73611179817954,-29.28997306088952,132759,132759,71156,61603,0,53.59787283724644,0.1665307557898975,1.1584398461206997,21,33.52707777450713,False,0.01,1.0,0.0004,1.0,475.72076769743524,-29.28997306088952,1.1233608150304681,1.7745976600376467,-2.1096278654437417,1.1711478517350338,465.6821848812843,False
35,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K3_cap20_BASE,3,20,BASE,274122,140307,100.0,702.2304989294975,602.2304989294975,714.6157823213666,73.51422713042125,-32.8668504020955,140307,140307,74289,66018,0,52.94746520130856,0.14558589270294758,1.1447667057634372,23,38.75775937395968,False,0.01,1.0,0.0004,1.0,357.6611452217165,-32.8668504020955,1.1021628334923597,1.416824073453804,-2.5593753880394976,1.1366216703144514,351.26747894436454,False
36,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K3_cap20_BASE,3,20,BASE,177644,117185,100.0,685.1816563666366,585.1816563666366,687.0622457378172,76.94473182149221,-26.532807182684714,117185,117185,62529,54656,0,53.359218329991045,0.16952277462617563,1.1590104210432315,23,33.5549491260447,False,0.01,1.0,0.0004,1.0,365.0657228793598,-26.532807182684714,1.1193546617071293,-0.6629627103915681,-4.008118821806761,0.9441257504899411,368.1695121664468,False
37,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K5_cap20_BASE,5,20,BASE,189464,118191,100.0,636.1465981507188,536.1465981507188,638.455871594921,74.66375305418859,-28.895287078108034,118191,118191,62897,55294,0,53.216403956308014,0.16192540003350886,1.152051108074874,25,34.11742002650962,False,0.01,1.0,0.0004,1.0,333.88023870513865,-28.895287078108034,1.1131841303409822,-1.5118359859096153,-4.8584800932270795,0.877291894038469,340.5404883403684,False
38,btc__rolling_beta__z4__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z4,positive_residual,short_mean_reversion,72,K10_cap20_BASE,10,20,BASE,201230,118703,100.0,617.6751642167287,517.6751642167287,621.1463015734081,74.31559312363345,-29.90155884450626,118703,118703,63040,55663,0,53.10733511368711,0.158872640230646,1.1499101382717638,26,35.45897147860263,False,0.01,1.0,0.0004,1.0,316.88278102409726,-29.90155884450626,1.1094839247159751,-1.4281219489683417,-4.742672330328734,0.883253463190364,322.9226319582459,False
39,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K5_cap20_BASE,5,20,BASE,302486,140846,100.0,606.7765072993946,506.77650729939455,619.103045102968,73.8670707185755,-33.26238843738864,140846,140846,74290,66556,0,52.7455518793576,0.13448323471306572,1.1284965410280208,25,35.62404086107438,False,0.01,1.0,0.0004,1.0,317.67099643711185,-33.26238843738864,1.0940114983810714,0.9306336518112968,-2.6660621072916113,1.0923433057050864,313.8198496583155,False
40,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K1_cap20_BASE,1,20,BASE,214735,138579,100.0,504.9541717975522,404.95417179755225,513.5281721744127,72.49996583678494,-29.080705569495755,138579,138579,73642,64937,0,53.14080777029708,0.1234468551216987,1.1060090618653609,21,34.97788043502265,False,0.01,1.0,0.0004,1.0,268.34399626521895,-29.080705569495755,1.0804589361146655,-1.1873702496889016,-3.765847948786083,0.8942450405945599,272.7701582236865,False
41,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K3_cap20_BASE,3,20,BASE,313921,141908,100.0,502.32600069062926,402.3260006906293,507.2920447862468,68.76371463070886,-31.378503087023844,141908,141908,74999,66909,0,52.8504383121459,0.12043440860663021,1.1157806866433617,23,36.82799110551329,False,0.01,1.0,0.0004,1.0,240.37191265024038,-31.378503087023844,1.0793791890828393,-0.4010173273203632,-2.9691886739428908,0.960704637830002,241.74235872351596,False
42,btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,btc,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K10_cap20_BASE,10,20,BASE,330818,140911,100.0,500.89651934978156,400.8965193497816,516.2387624510171,74.14007319448083,-33.58185060968585,140911,140911,74231,66680,0,52.67935079589245,0.1208268628144955,1.109644430163303,26,35.450707105292025,False,0.01,1.0,0.0004,1.0,255.76772304432046,-33.58185060968585,1.0806294796995568,-0.8489351313149429,-3.6405217592397787,0.921962269724673,258.8138196150429,False
43,market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap20_BASE,1,20,BASE,174961,126233,100.0,492.0063421802741,392.0063421802741,498.3876202648063,73.41379662307885,-26.586203376921148,126233,126233,66920,59313,0,53.01307898885395,0.13183839463717884,1.1176196081849314,21,33.54266111193602,False,0.01,1.0,0.0004,1.0,247.3277267707757,-26.586203376921148,1.0856736704839134,-0.5822323947739516,-3.72005602096539,0.9470366185685336,249.36182448791925,False
44,market_mom__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,comparison,market_mom,rolling_beta,z3_abs050,positive_residual,short_mean_reversion,72,K10_cap20_BASE,10,20,BASE,346530,141694,100.0,483.5218058559901,383.5218058559901,494.82415625275604,69.65787940560442,-30.34785216183,141694,141694,74940,66754,0,52.888619137013556,0.11798150246916982,1.1098273250447548,24,35.8675514780915,False,0.01,1.0,0.0004,1.0,241.50726863023607,-30.34785216183,1.0791215452696745,0.8437109153103028,-3.4212626472973517,1.0869315725689308,238.65004126735968,False
