spec,role,factor,residual_mode,profile,side,direction,horizon,scenario,top_k,max_concurrent_cap,period,selected_before_cap,selected_after_cap,initial_capital,final_equity,final_return_pct,peak_equity,min_equity,max_drawdown_pct,entries,exits,wins,losses,flats,win_rate_pct,avg_trade_net_return_pct,profit_factor_contribution,max_concurrent_positions,max_gross_exposure_pct,bankrupt,position_fraction,leverage,fee_per_side,slippage_bps
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_nocap_BASE,1,0,BASE,174961,174961,100.0,1107.9277639165202,1007.9277639165202,1117.6930071442212,74.2243176099173,-27.309560356687157,174961,174961,92867,82094,0,53.0786861071896,0.1461803053808254,1.1409034677968661,62,63.61568719163915,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_nocap_EX_2025Q4,1,0,EX_2025Q4,160280,160280,100.0,569.5325497386356,469.53254973863557,574.7931082411478,74.2243176099173,-25.77568239008269,160280,160280,84484,75796,0,52.71025705016221,0.11641749171024932,1.0891807218114806,61,60.95336521709699,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_nocap_PRE_2025Q4,1,0,PRE_2025Q4,158264,158264,100.0,570.0085355562945,470.0085355562945,574.7931082411478,74.2243176099173,-25.77568239008269,158264,158264,83445,74819,0,52.72519334782388,0.11790635849423392,1.091667344731324,61,60.95336521709699,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_nocap_ONLY_2025Q4,1,0,ONLY_2025Q4,14681,14681,100.0,194.53607066872377,94.53607066872377,195.94191225083907,95.00438733451769,-27.309560356687324,14681,14681,8383,6298,0,57.101014917239965,0.47111619361189316,1.306471556886255,62,63.61568719163958,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_nocap_2026_ENTRY_ONLY,1,0,2026_ENTRY_ONLY,2016,2016,100.0,99.9164949666599,-0.08350503334010329,100.75035685292593,94.1967856986166,-6.504762225186123,2016,2016,1039,977,0,51.537698412698404,-0.0004644590340662825,0.9965414991288893,60,59.85386033458455,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap20_BASE,1,20,BASE,174961,126233,100.0,492.0063421802741,392.0063421802741,498.3876202648063,73.41379662307885,-26.586203376921148,126233,126233,66920,59313,0,53.01307898885395,0.13183839463717884,1.1176196081849314,21,33.54266111193602,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap20_EX_2025Q4,1,20,EX_2025Q4,160280,119193,100.0,347.3277267707757,247.3277267707757,351.59822366539834,73.41379662307885,-26.586203376921148,119193,119193,62872,56321,0,52.74806406416484,0.10996956875220361,1.0856736704839134,21,33.54266111193602,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap20_PRE_2025Q4,1,20,PRE_2025Q4,158264,118298,100.0,349.36182448791925,249.36182448791925,351.59822366539834,73.41379662307885,-26.586203376921148,118298,118298,62403,55895,0,52.75068048487718,0.11128119341084586,1.087542916512436,21,33.54266111193602,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap20_ONLY_2025Q4,1,20,ONLY_2025Q4,14681,7040,100.0,139.190746901606,39.190746901606,141.37520967779065,95.89602111704411,-12.74245841351217,7040,7040,4051,2989,0,57.54261363636364,0.47721678664642664,1.317374890610831,21,32.15423290397142,False,0.01,1.0,0.0004,1.0
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,primary,market_mom,rolling_beta,z4,positive_residual,short_mean_reversion,72,K1_cap20_2026_ENTRY_ONLY,1,20,2026_ENTRY_ONLY,2016,895,100.0,99.41776760522605,-0.5822323947739516,100.45561201909614,96.71860697578212,-3.72005602096539,895,895,469,426,0,52.402234636871505,-0.06339643556963154,0.9470366185685336,21,21.534215681087588,False,0.01,1.0,0.0004,1.0
