spec,scenario,rank,symbol,net_pnl,contribution_pct_of_total_pnl,cumulative_contribution_pct,positive
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,1,ZKJ,10.826654015496256,3.1469641617347603,3.1469641617347603,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,2,TRUTH,7.345197240989336,2.1350153468635584,5.281979508598319,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,3,BAS,6.710281321009011,1.9504654718021497,7.2324449804004685,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,4,UNFI,6.6543490739174365,1.9342077455618407,9.16665272596231,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,5,PUMPBTC,6.071233216712198,1.7647145021149162,10.931367228077224,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,6,VINE,5.986126576388259,1.739976707165365,12.671343935242591,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,7,JELLYJELLY,5.773623172466307,1.6782087227602236,14.349552658002812,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,8,MTL,5.529557981307676,1.607266730099904,15.956819388102716,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,9,HIGH,4.8744230695876505,1.4168398368664747,17.37365922496919,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,10,TANSSI,4.738543232843864,1.3773438877096045,18.751003112678795,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,11,UXLINK,4.71535249044178,1.3706030760868328,20.121606188765625,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,12,NKN,4.106135188810799,1.1935229724650331,21.315129161230658,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,13,DENT,3.885842225291963,1.1294908107016794,22.44461997193234,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,14,POPCAT,3.8598277407856827,1.1219292270110865,23.566549198943424,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,15,XEM,3.828345792821274,1.1127784254944046,24.679327624437825,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,16,VIDT,3.8014581251995296,1.1049630352291244,25.784290659666954,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,17,LINA,3.7928572694002005,1.1024630398545612,26.88675369952151,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,18,1000WHY,3.7486328974664156,1.0896084207495587,27.97636212027107,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,19,C98,3.683749897252229,1.070748995105438,29.047111115376513,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,20,BRETT,3.5686708747062577,1.0372991814140342,30.084410296790544,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,21,JASMY,3.531431818391343,1.0264749715083585,31.110885268298897,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,22,BLESS,3.4371313797321683,0.9990648316376711,32.109950099936576,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,23,HIPPO,3.4198911348172008,0.9940536404784008,33.104003740414974,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,24,CFX,3.377702284939762,0.9817906829294595,34.08579442334443,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,25,GALA,3.359289448824392,0.9764386567828744,35.06223308012731,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,26,MAV,3.3455049098015355,0.9724319294755387,36.03466500960285,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,27,LEVER,3.259118736339033,0.9473222149167478,36.9819872245196,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,28,AMB,3.258627926209506,0.9471795520140981,37.92916677653369,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,29,HYPER,3.197294511188603,0.9293518779505023,38.85851865448419,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,30,TOKEN,3.1934875430335246,0.9282453133247418,39.78676396780893,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,31,KDA,3.17311099077549,0.9223224973186175,40.70908646512755,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,32,SNX,3.1478309051810736,0.9149743800464346,41.624060845173986,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,33,FTT,3.1158907023720905,0.9056903784135625,42.529751223587546,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,34,1000X,3.038315635567648,0.8831417724704576,43.412892996058005,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,35,DYDX,2.94053252730983,0.8547193312554762,44.26761232731348,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,36,GMT,2.852149976313078,0.8290293332088614,45.096641660522344,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,37,COMBO,2.775556990638606,0.8067661870315814,45.903407847553936,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,38,LIGHT,2.7275026443581374,0.7927983161322457,46.69620616368618,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,39,1000BONK,2.7095313211230896,0.787574623745041,47.483780787431215,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,40,ORDI,2.703109986503704,0.785708145894286,48.269488933325505,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,41,FLM,2.694346250449846,0.7831608064074121,49.05264973973292,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,42,RLC,2.675307153669473,0.7776267461932521,49.83027648592617,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,43,LOKA,2.6245091673840832,0.7628613863600472,50.59313787228622,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,44,EVAA,2.6234183151655595,0.762544310296424,51.35568218258264,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,45,KEY,2.6215803465247545,0.7620100712383802,52.117692253821026,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,46,SAFE,2.620583509191929,0.7617203223134592,52.87941257613448,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,47,ETHW,2.581425780850732,0.750338415441002,53.629750991575484,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,48,SXP,2.580021582929716,0.7499302597423813,54.37968125131787,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,49,ROSE,2.5604267548397552,0.7442346661022595,55.12391591742013,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,50,BSW,2.5489927195137176,0.7409111555011497,55.86482707292127,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,51,EPIC,2.5145218150087705,0.7308915593318823,56.59571863225315,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,52,AIO,2.4172724537564054,0.7026242614044937,57.29834289365765,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,53,ARIA,2.4098940768139157,0.7004796017731293,57.99882249543078,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,54,1000XEC,2.4011255892991112,0.697930881187599,58.696753376618375,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,55,HOOK,2.3863209037337274,0.6936276297090416,59.39038100632742,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,56,USTC,2.3863208176999433,0.6936276047017553,60.08400861102917,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,57,IMX,2.3811631672266453,0.6921284396619387,60.77613705069111,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,58,XVG,2.3776955591353426,0.6911205162190492,61.46725756691016,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,59,YGG,2.377102972404778,0.6909482700937795,62.15820583700393,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,60,ANKR,2.3662863919192945,0.6878042339869993,62.84601007099093,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,61,NAORIS,2.3452180507374516,0.6816803369314952,63.527690407922435,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,62,BAN,2.278715801071825,0.6623502469449748,64.1900406548674,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,63,NEO,2.2763201413739598,0.6616539048246759,64.85169455969209,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,64,ARKM,2.263868448948965,0.6580345936544549,65.50972915334653,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,65,SCR,2.2577146645533053,0.6562458841487789,66.16597503749531,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,66,CHILLGUY,2.251953717748685,0.6545713600431917,66.82054639753851,True
market_mom__rolling_beta__z4__positive_residual__short_reversion__h72,K3_cap20_BASE,67,WLD,2.246234929503165,0.6529090900905875,67.47345548762908,True
