period,scenario,selected_after_cap,selected_before_cap,spec
BASE,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,140732,140732,btc_rb_z3.75_gap0_cd72_h72_k1_short
EX_2025Q4,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,128401,128401,btc_rb_z3.75_gap0_cd72_h72_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,126665,126665,btc_rb_z3.75_gap0_cd72_h72_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,12331,12331,btc_rb_z3.75_gap0_cd72_h72_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0_cd72_h72_k1_short_capnone,1736,1736,btc_rb_z3.75_gap0_cd72_h72_k1_short
BASE,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,140704,140732,btc_rb_z3.75_gap0_cd72_h72_k1_short
EX_2025Q4,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,128394,128401,btc_rb_z3.75_gap0_cd72_h72_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,126663,126665,btc_rb_z3.75_gap0_cd72_h72_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,12313,12331,btc_rb_z3.75_gap0_cd72_h72_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0_cd72_h72_k1_short_cap50,1731,1736,btc_rb_z3.75_gap0_cd72_h72_k1_short
BASE,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,126021,126021,btc_rb_z3.75_gap0_cd144_h72_k1_short
EX_2025Q4,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,114769,114769,btc_rb_z3.75_gap0_cd144_h72_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,113191,113191,btc_rb_z3.75_gap0_cd144_h72_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,11252,11252,btc_rb_z3.75_gap0_cd144_h72_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0_cd144_h72_k1_short_capnone,1578,1578,btc_rb_z3.75_gap0_cd144_h72_k1_short
BASE,btc_rb_z3.75_gap0_cd144_h72_k1_short_cap50,126021,126021,btc_rb_z3.75_gap0_cd144_h72_k1_short
EX_2025Q4,btc_rb_z3.75_gap0_cd144_h72_k1_short_cap50,114769,114769,btc_rb_z3.75_gap0_cd144_h72_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0_cd144_h72_k1_short_cap50,113191,113191,btc_rb_z3.75_gap0_cd144_h72_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0_cd144_h72_k1_short_cap50,11252,11252,btc_rb_z3.75_gap0_cd144_h72_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0_cd144_h72_k1_short_cap50,1578,1578,btc_rb_z3.75_gap0_cd144_h72_k1_short
BASE,btc_rb_z3.75_gap1_cd72_h72_k1_short_capnone,120502,120502,btc_rb_z3.75_gap1_cd72_h72_k1_short
EX_2025Q4,btc_rb_z3.75_gap1_cd72_h72_k1_short_capnone,110802,110802,btc_rb_z3.75_gap1_cd72_h72_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1_cd72_h72_k1_short_capnone,109437,109437,btc_rb_z3.75_gap1_cd72_h72_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap1_cd72_h72_k1_short_capnone,9700,9700,btc_rb_z3.75_gap1_cd72_h72_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap1_cd72_h72_k1_short_capnone,1365,1365,btc_rb_z3.75_gap1_cd72_h72_k1_short
BASE,btc_rb_z3.75_gap1_cd72_h72_k1_short_cap50,120502,120502,btc_rb_z3.75_gap1_cd72_h72_k1_short
EX_2025Q4,btc_rb_z3.75_gap1_cd72_h72_k1_short_cap50,110802,110802,btc_rb_z3.75_gap1_cd72_h72_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1_cd72_h72_k1_short_cap50,109437,109437,btc_rb_z3.75_gap1_cd72_h72_k1_short
