period,scenario,selected_after_cap,selected_before_cap,spec
BASE,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,101199,101199,btc_rb_z4_gap1_cd144_h144_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,92461,92461,btc_rb_z4_gap1_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,91248,91248,btc_rb_z4_gap1_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,8738,8738,btc_rb_z4_gap1_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,1213,1213,btc_rb_z4_gap1_cd144_h144_k1_short
BASE,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,99297,101199,btc_rb_z4_gap1_cd144_h144_k1_short
EX_2025Q4,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,91512,92461,btc_rb_z4_gap1_cd144_h144_k1_short
PRE_2025Q4,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,90469,91248,btc_rb_z4_gap1_cd144_h144_k1_short
ONLY_2025Q4,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,7791,8738,btc_rb_z4_gap1_cd144_h144_k1_short
2026_ENTRY_ONLY,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,1043,1213,btc_rb_z4_gap1_cd144_h144_k1_short
