period,scenario,selected_after_cap,selected_before_cap,spec
BASE,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_capnone,119274,119274,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
EX_2025Q4,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_capnone,109124,109124,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_capnone,107710,107710,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_capnone,10150,10150,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_capnone,1414,1414,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
BASE,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_cap50,117528,119274,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
EX_2025Q4,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_cap50,108268,109124,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_cap50,107034,107710,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_cap50,9273,10150,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0.5_cd120_h120_k1_short_cap50,1234,1414,btc_rb_z3.75_gap0.5_cd120_h120_k1_short
BASE,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_capnone,115628,115628,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
EX_2025Q4,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_capnone,105719,105719,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_capnone,104347,104347,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_capnone,9909,9909,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_capnone,1372,1372,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
BASE,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_cap50,114184,115628,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
EX_2025Q4,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_cap50,105037,105719,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
PRE_2025Q4,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_cap50,103810,104347,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
ONLY_2025Q4,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_cap50,9160,9909,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
2026_ENTRY_ONLY,btc_rb_z3.75_gap0.5_cd144_h120_k1_short_cap50,1227,1372,btc_rb_z3.75_gap0.5_cd144_h120_k1_short
BASE,btc_rb_z3.75_gap1_cd120_h120_k1_short_capnone,112377,112377,btc_rb_z3.75_gap1_cd120_h120_k1_short
EX_2025Q4,btc_rb_z3.75_gap1_cd120_h120_k1_short_capnone,103183,103183,btc_rb_z3.75_gap1_cd120_h120_k1_short
PRE_2025Q4,btc_rb_z3.75_gap1_cd120_h120_k1_short_capnone,101887,101887,btc_rb_z3.75_gap1_cd120_h120_k1_short
