symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
0G,long,2025-09-18 15:00:00+00:00,2025-09-18 15:05:00+00:00,2025-09-18 15:45:00+00:00,171,172,180,2.7053,2.3291781640162954,2.3291781640162954,3.4572436719674093,stop,-13.903147007123218,-13.983147007123216,9
0G,long,2025-09-19 14:20:00+00:00,2025-09-19 14:25:00+00:00,2025-09-19 14:25:00+00:00,451,452,452,2.7899,2.69431318673564,2.69431318673564,2.9789736265287203,stop,-3.4261734565525614,-3.5061734565525615,1
0G,long,2025-09-19 15:10:00+00:00,2025-09-19 15:15:00+00:00,2025-09-19 15:15:00+00:00,461,462,462,2.7914,2.678610132577986,2.678610132577986,3.0154797348440288,stop,-4.040620026582142,-4.120620026582142,1
0G,long,2025-09-19 17:10:00+00:00,2025-09-19 17:15:00+00:00,2025-09-19 20:10:00+00:00,485,486,521,2.8181,2.6928190159416188,2.6928190159416188,3.068661968116762,stop,-4.4455833383620575,-4.5255833383620585,36
0G,long,2025-09-20 16:45:00+00:00,2025-09-20 16:50:00+00:00,2025-09-20 19:15:00+00:00,768,769,798,2.7625,2.6986796372011477,2.6986796372011477,2.890140725597705,stop,-2.3102393773340224,-2.3902393773340225,30
0G,short,2025-09-21 16:05:00+00:00,2025-09-21 16:10:00+00:00,2025-09-21 18:00:00+00:00,1048,1049,1071,2.3547,2.5302640940242695,2.5302640940242695,2.0023718119514604,stop,-6.938567971576559,-7.018567971576559,23
0G,short,2025-09-22 15:00:00+00:00,2025-09-22 15:05:00+00:00,2025-09-22 16:00:00+00:00,1323,1324,1335,3.0192,3.374903969438079,3.374903969438079,2.3077920611238425,stop,-10.53967676293034,-10.619676762930338,12
0G,long,2025-09-22 16:30:00+00:00,2025-09-22 16:35:00+00:00,2025-09-22 17:15:00+00:00,1341,1342,1350,3.6708,3.403668977917174,3.403668977917174,4.202662044165652,stop,-7.277188135633262,-7.357188135633261,9
0G,long,2025-09-22 18:40:00+00:00,2025-09-22 18:45:00+00:00,2025-09-22 19:00:00+00:00,1367,1368,1371,3.6199,3.413636974874422,3.413636974874422,4.032726050251156,stop,-5.698031026425532,-5.778031026425532,4
0G,short,2025-09-24 19:00:00+00:00,2025-09-24 19:05:00+00:00,2025-09-25 01:15:00+00:00,1947,1948,2022,5.0766,4.812592880846769,5.208603559576615,4.812592880846769,take_profit,5.485756341533277,5.4057563415332766,75
0G,short,2025-09-25 15:10:00+00:00,2025-09-25 15:15:00+00:00,2025-09-25 16:35:00+00:00,2189,2190,2206,4.203,4.057890655500513,4.273904672249744,4.057890655500513,take_profit,3.575979660831674,3.495979660831674,17
0G,short,2025-09-26 19:10:00+00:00,2025-09-26 19:15:00+00:00,2025-09-26 21:10:00+00:00,2525,2526,2549,3.7634,3.5948713563823644,3.8479643218088175,3.5948713563823644,take_profit,4.688029887868672,4.608029887868672,24
0G,long,2025-09-27 14:05:00+00:00,2025-09-27 14:10:00+00:00,2025-09-27 15:25:00+00:00,2752,2753,2768,3.7466,3.8792898372435425,3.680405081378229,3.8792898372435425,take_profit,3.541606716584167,3.461606716584167,16
0G,short,2025-09-27 18:10:00+00:00,2025-09-27 18:15:00+00:00,2025-09-28 07:25:00+00:00,2801,2802,2960,3.6035,3.7075936674839203,3.7075936674839203,3.39501266503216,stop,-2.8075802479876732,-2.8875802479876733,159
0G,short,2025-09-28 14:05:00+00:00,2025-09-28 14:10:00+00:00,2025-09-28 16:30:00+00:00,3040,3041,3069,3.5098,3.575286905153819,3.575286905153819,3.378826189692361,stop,-1.831654546644057,-1.9116545466440569,29
0G,short,2025-09-28 17:15:00+00:00,2025-09-28 17:20:00+00:00,2025-09-28 19:00:00+00:00,3078,3079,3099,3.5228,3.4404918636110775,3.5639540681944615,3.4404918636110775,take_profit,2.392336318520849,2.312336318520849,21
