symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000000BOB,long,2025-06-07 14:05:00+00:00,2025-06-07 14:10:00+00:00,2025-06-07 20:55:00+00:00,535,536,617,0.11288,0.1052146390688773,0.1052146390688773,0.1284807218622454,stop,-6.790716629272408,-6.870716629272408,82
1000000BOB,short,2025-06-09 14:05:00+00:00,2025-06-09 14:10:00+00:00,2025-06-09 14:50:00+00:00,1111,1112,1120,0.10058,0.10150380327964909,0.10150380327964909,0.09876239344070183,stop,-0.9101169116825569,-0.990116911682557,9
1000000BOB,short,2025-06-09 15:05:00+00:00,2025-06-09 15:10:00+00:00,2025-06-10 02:00:00+00:00,1123,1124,1254,0.10053,0.10202421530737169,0.10202421530737169,0.09748156938525664,stop,-1.4645692719811865,-1.5445692719811865,131
1000000BOB,short,2025-06-10 14:30:00+00:00,2025-06-10 14:35:00+00:00,2025-06-10 15:00:00+00:00,1404,1405,1410,0.09835,0.09638659854245842,0.0992867007287708,0.09638659854245842,take_profit,2.0370066868546255,1.9570066868546256,6
1000000BOB,short,2025-06-11 14:10:00+00:00,2025-06-11 14:15:00+00:00,2025-06-11 14:50:00+00:00,1688,1689,1696,0.05779,0.05928704089570346,0.05928704089570346,0.05479591820859308,stop,-2.5250727192423494,-2.6050727192423495,8
1000000BOB,short,2025-06-11 15:20:00+00:00,2025-06-11 15:25:00+00:00,2025-06-11 16:35:00+00:00,1702,1703,1717,0.05818,0.05925611896560616,0.05925611896560616,0.056057762068787674,stop,-1.8160469912495758,-1.8960469912495757,15
1000000BOB,short,2025-06-11 16:50:00+00:00,2025-06-11 16:55:00+00:00,2025-06-11 17:05:00+00:00,1720,1721,1723,0.05818,0.05924604851323069,0.05924604851323069,0.056137902973538614,stop,-1.7993579993653364,-1.8793579993653362,3
1000000BOB,long,2025-06-12 14:15:00+00:00,2025-06-12 14:20:00+00:00,2025-06-12 14:45:00+00:00,1977,1978,1983,0.07327,0.0692969964027367,0.0692969964027367,0.08118600719452661,stop,-5.422415173008455,-5.502415173008455,6
1000000BOB,short,2025-06-13 15:15:00+00:00,2025-06-13 15:20:00+00:00,2025-06-13 15:30:00+00:00,2277,2278,2280,0.05758,0.05886738451502412,0.05886738451502412,0.05500523096995175,stop,-2.1869232438814334,-2.2669232438814335,3
1000000BOB,short,2025-06-13 17:40:00+00:00,2025-06-13 17:45:00+00:00,2025-06-13 19:20:00+00:00,2306,2307,2326,0.0566,0.05207448701870791,0.058847756490646046,0.05207448701870791,take_profit,8.690460992282611,8.610460992282611,20
1000000BOB,long,2025-06-14 14:10:00+00:00,2025-06-14 14:15:00+00:00,2025-06-14 14:45:00+00:00,2552,2553,2559,0.06115,0.06348265416972623,0.059998672915136886,0.06348265416972623,take_profit,3.8146429594868803,3.73464295948688,7
1000000BOB,short,2025-06-15 14:05:00+00:00,2025-06-15 14:10:00+00:00,2025-06-15 14:45:00+00:00,2839,2840,2847,0.057,0.057917418240822444,0.057917418240822444,0.05519516351835511,stop,-1.5840109395204527,-1.6640109395204525,8
1000000BOB,short,2025-06-15 15:05:00+00:00,2025-06-15 15:10:00+00:00,2025-06-15 18:10:00+00:00,2851,2852,2888,0.05694,0.05787412239790734,0.05787412239790734,0.055041755204185326,stop,-1.6140588560201063,-1.6940588560201062,37
1000000BOB,long,2025-06-16 14:40:00+00:00,2025-06-16 14:45:00+00:00,2025-06-16 14:45:00+00:00,3134,3135,3135,0.05268,0.05499651298510265,0.05155174350744867,0.05499651298510265,take_profit,4.397329128896454,4.317329128896454,1
1000000BOB,long,2025-06-18 14:20:00+00:00,2025-06-18 14:25:00+00:00,2025-06-18 14:35:00+00:00,3706,3707,3709,0.05237,0.0532042144641995,0.05195289276790025,0.0532042144641995,take_profit,1.5929243158287143,1.5129243158287142,3
1000000BOB,long,2025-06-18 16:30:00+00:00,2025-06-18 16:35:00+00:00,2025-06-18 17:35:00+00:00,3732,3733,3745,0.05239,0.05183563296031823,0.05183563296031823,0.05349873407936354,stop,-1.058154303649117,-1.138154303649117,13
1000000BOB,long,2025-06-18 18:40:00+00:00,2025-06-18 18:45:00+00:00,2025-06-18 20:55:00+00:00,3758,3759,3785,0.05261,0.05429931691661493,0.05176534154169253,0.05429931691661493,take_profit,3.211018659218645,3.131018659218645,27
1000000BOB,short,2025-06-19 14:30:00+00:00,2025-06-19 14:35:00+00:00,2025-06-19 15:05:00+00:00,3996,3997,4003,0.05293,0.051348510225850214,0.05369074488707489,0.051348510225850214,take_profit,3.0799136473361965,2.9999136473361965,7
1000000BOB,short,2025-06-20 14:30:00+00:00,2025-06-20 14:35:00+00:00,2025-06-21 01:15:00+00:00,4284,4285,4413,0.039,0.03658648930644543,0.040206755346777284,0.03658648930644543,take_profit,6.596726658683205,6.516726658683206,129
1000000BOB,short,2025-06-23 15:15:00+00:00,2025-06-23 15:20:00+00:00,2025-06-23 16:05:00+00:00,5157,5158,5167,0.03518,0.03565733462634423,0.03565733462634423,0.034225330747311544,stop,-1.3386716403406274,-1.4186716403406274,10
1000000BOB,short,2025-06-23 16:15:00+00:00,2025-06-23 16:20:00+00:00,2025-06-23 16:30:00+00:00,5169,5170,5172,0.03532,0.03572296118234778,0.03572296118234778,0.034454077635304434,stop,-1.128017300388029,-1.208017300388029,3
1000000BOB,short,2025-06-23 17:05:00+00:00,2025-06-23 17:10:00+00:00,2025-06-23 17:45:00+00:00,5179,5180,5187,0.03531,0.03463005205433944,0.03564997397283028,0.03463005205433944,take_profit,1.9634620952738713,1.8834620952738714,8
1000000BOB,short,2025-06-24 19:35:00+00:00,2025-06-24 19:40:00+00:00,2025-06-25 03:40:00+00:00,5497,5498,5594,0.03754,0.035206034709970434,0.038691982645014784,0.035206034709970434,take_profit,6.629446653839088,6.549446653839089,97
1000000BOB,long,2025-06-25 16:50:00+00:00,2025-06-25 16:55:00+00:00,2025-06-25 17:15:00+00:00,5752,5753,5757,0.0361,0.035743799028152175,0.035743799028152175,0.03681240194369565,stop,-0.9867062932072734,-1.0667062932072735,5
1000000BOB,short,2025-06-25 17:35:00+00:00,2025-06-25 17:40:00+00:00,2025-06-25 21:15:00+00:00,5761,5762,5805,0.03537,0.03583193318121293,0.03583193318121293,0.03441613363757415,stop,-1.2891662274452154,-1.3691662274452154,44
1000000BOB,short,2025-06-26 14:40:00+00:00,2025-06-26 14:45:00+00:00,2025-06-26 15:15:00+00:00,6014,6015,6021,0.03376,0.034126122412408984,0.034126122412408984,0.033087755175182025,stop,-1.0728509028492983,-1.1528509028492984,7
1000000BOB,short,2025-06-26 15:50:00+00:00,2025-06-26 15:55:00+00:00,2025-06-26 18:10:00+00:00,6028,6029,6056,0.03367,0.03302048156516341,0.03399475921741829,0.03302048156516341,take_profit,1.967016845453351,1.8870168454533511,28
1000000BOB,long,2025-06-27 14:10:00+00:00,2025-06-27 14:15:00+00:00,2025-06-27 16:20:00+00:00,6296,6297,6322,0.03188,0.0326901349426392,0.0314899325286804,0.0326901349426392,take_profit,2.541201200248433,2.461201200248433,26
1000000BOB,long,2025-06-28 14:05:00+00:00,2025-06-28 14:10:00+00:00,2025-06-28 14:55:00+00:00,6583,6584,6593,0.03609,0.03751172589627597,0.03534913705186201,0.03751172589627597,take_profit,3.9393901254529684,3.8593901254529683,10
1000000BOB,short,2025-06-29 14:45:00+00:00,2025-06-29 14:50:00+00:00,2025-06-29 17:15:00+00:00,6879,6880,6909,0.03549,0.03654796139353845,0.03654796139353845,0.03340407721292309,stop,-2.8947206716856466,-2.9747206716856467,30
1000000BOB,long,2025-06-29 17:25:00+00:00,2025-06-29 17:30:00+00:00,2025-06-29 18:55:00+00:00,6911,6912,6929,0.0367,0.03631868736361811,0.03631868736361811,0.03749262527276378,stop,-1.0389990092149692,-1.1189990092149693,18
1000000BOB,long,2025-06-29 19:05:00+00:00,2025-06-29 19:10:00+00:00,2025-06-30 04:50:00+00:00,6931,6932,7048,0.03679,0.03798863134489487,0.03616068432755256,0.03798863134489487,take_profit,3.258035729532116,3.178035729532116,117
1000000BOB,short,2025-07-01 14:40:00+00:00,2025-07-01 14:45:00+00:00,2025-07-02 06:20:00+00:00,7454,7455,7642,0.04702,0.05000996069347472,0.05000996069347472,0.041070078613050565,stop,-5.978730340943561,-6.058730340943561,188
1000000BOB,short,2025-07-02 14:25:00+00:00,2025-07-02 14:30:00+00:00,2025-07-02 14:45:00+00:00,7739,7740,7743,0.05129,0.04834911853103787,0.052745440734481064,0.04834911853103787,take_profit,6.082595832795223,6.002595832795223,4
1000000BOB,short,2025-07-02 18:30:00+00:00,2025-07-02 18:35:00+00:00,2025-07-02 20:00:00+00:00,7788,7789,7806,0.05122,0.05321868443532166,0.05321868443532166,0.047102631129356684,stop,-3.7556066192329984,-3.8356066192329985,18
1000000BOB,long,2025-07-03 19:55:00+00:00,2025-07-03 20:00:00+00:00,2025-07-03 20:50:00+00:00,8093,8094,8104,0.05317,0.052052259479016275,0.052052259479016275,0.055435481041967445,stop,-2.1022014688428237,-2.1822014688428237,11
1000000BOB,long,2025-07-04 18:05:00+00:00,2025-07-04 18:10:00+00:00,2025-07-04 21:40:00+00:00,8359,8360,8402,0.05345,0.052346721871342865,0.052346721871342865,0.055596556257314265,stop,-2.0641312042228854,-2.1441312042228855,43
1000000BOB,short,2025-07-05 14:30:00+00:00,2025-07-05 14:35:00+00:00,2025-07-05 15:10:00+00:00,8604,8605,8612,0.06053,0.06386370632955951,0.06386370632955951,0.05389258734088097,stop,-5.220032661988638,-5.300032661988639,8
1000000BOB,long,2025-07-05 18:15:00+00:00,2025-07-05 18:20:00+00:00,2025-07-05 20:10:00+00:00,8649,8650,8672,0.06761,0.06456822882587357,0.06456822882587357,0.07369354234825287,stop,-4.498995968239072,-4.578995968239073,23
1000000BOB,long,2025-07-06 14:10:00+00:00,2025-07-06 14:15:00+00:00,2025-07-06 14:45:00+00:00,8888,8889,8895,0.06969,0.06669674986245083,0.06669674986245083,0.07570650027509833,stop,-4.295092750106432,-4.375092750106433,7
1000000BOB,long,2025-07-06 15:05:00+00:00,2025-07-06 15:10:00+00:00,2025-07-06 15:30:00+00:00,8899,8900,8904,0.06817,0.06659181249059966,0.06659181249059966,0.07129637501880068,stop,-2.3150762936780644,-2.3950762936780645,5
1000000BOB,short,2025-07-06 16:05:00+00:00,2025-07-06 16:10:00+00:00,2025-07-07 09:00:00+00:00,8911,8912,9114,0.0652,0.06832803206772191,0.06832803206772191,0.059003935864556184,stop,-4.577963060053635,-4.657963060053636,203
1000000BOB,long,2025-07-07 14:30:00+00:00,2025-07-07 14:35:00+00:00,2025-07-07 15:25:00+00:00,9180,9181,9191,0.06706,0.06600158374235125,0.06600158374235125,0.0691168325152975,stop,-1.5783123436456048,-1.6583123436456046,11
1000000BOB,short,2025-07-07 15:55:00+00:00,2025-07-07 16:00:00+00:00,2025-07-07 17:05:00+00:00,9197,9198,9211,0.06578,0.06676185180500377,0.06676185180500377,0.06387629638999245,stop,-1.470677907304807,-1.5506779073048071,14
