symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000000MOG,long,2024-11-08 15:05:00+00:00,2024-11-08 15:10:00+00:00,2024-11-08 15:15:00+00:00,211,212,213,2.1785,2.1480424274006498,2.1480424274006498,2.2394151451987008,stop,-1.3980983520472945,-1.4780983520472946,2
1000000MOG,short,2024-11-08 16:00:00+00:00,2024-11-08 16:05:00+00:00,2024-11-09 00:00:00+00:00,222,223,318,2.1016,2.0114464758816646,2.1478767620591674,2.0114464758816646,take_profit,4.482024513171234,4.402024513171234,96
1000000MOG,long,2024-11-09 15:05:00+00:00,2024-11-09 15:10:00+00:00,2024-11-09 15:35:00+00:00,499,500,505,2.0878,2.053914094972183,2.053914094972183,2.1522718100556344,stop,-1.6230436357801192,-1.703043635780119,6
1000000MOG,short,2024-11-10 15:05:00+00:00,2024-11-10 15:10:00+00:00,2024-11-10 15:20:00+00:00,787,788,790,1.9489,1.9851928791226077,1.9851928791226077,1.8772142417547848,stop,-1.828178989773921,-1.9081789897739208,3
1000000MOG,long,2024-11-10 20:40:00+00:00,2024-11-10 20:45:00+00:00,2024-11-10 21:05:00+00:00,854,855,859,2.0543,2.02747073776022,2.02747073776022,2.11185852447956,stop,-1.306005074223815,-1.386005074223815,5
1000000MOG,short,2024-11-11 15:35:00+00:00,2024-11-11 15:40:00+00:00,2024-11-12 19:40:00+00:00,1081,1082,1418,1.9406,1.781250240551367,2.0208748797243166,1.781250240551367,take_profit,8.945950199524354,8.865950199524356,337
1000000MOG,short,2024-11-12 20:40:00+00:00,2024-11-12 20:45:00+00:00,2024-11-13 07:50:00+00:00,1430,1431,1564,1.7972,1.8558147155156908,1.8558147155156908,1.6802705689686182,stop,-3.1584357546924124,-3.2384357546924125,134
1000000MOG,short,2024-11-13 15:35:00+00:00,2024-11-13 15:40:00+00:00,2024-11-13 15:45:00+00:00,1657,1658,1659,1.6523,1.6808534241909117,1.6808534241909117,1.5942931516181764,stop,-1.6987456359947584,-1.7787456359947582,2
1000000MOG,long,2024-11-14 18:10:00+00:00,2024-11-14 18:15:00+00:00,2024-11-14 20:05:00+00:00,1976,1977,1999,2.4869,2.4071181134184396,2.4071181134184396,2.646763773163121,stop,-3.208085833027474,-3.2880858330274743,23
1000000MOG,long,2024-11-14 20:25:00+00:00,2024-11-14 20:30:00+00:00,2024-11-14 20:35:00+00:00,2003,2004,2005,2.4664,2.3808463590324807,2.3808463590324807,2.6384072819350384,stop,-3.468765851748279,-3.548765851748279,2
1000000MOG,long,2024-11-15 15:20:00+00:00,2024-11-15 15:25:00+00:00,2024-11-15 15:30:00+00:00,2230,2231,2232,2.3656,2.3222474325777047,2.3222474325777047,2.4532051348445902,stop,-1.8326245951257758,-1.9126245951257757,2
1000000MOG,long,2024-11-15 15:55:00+00:00,2024-11-15 16:00:00+00:00,2024-11-15 16:55:00+00:00,2237,2238,2249,2.3611,2.3173452922531483,2.3173452922531483,2.4477094154937027,stop,-1.8531492840985875,-1.9331492840985873,12
