symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000BONK,short,2023-11-23 15:30:00+00:00,2023-11-23 15:35:00+00:00,2023-11-23 16:05:00+00:00,198,199,205,0.004215,0.004281062684681041,0.004281062684681041,0.004073874630637918,stop,-1.5431375232470512,-1.623137523247051,7
1000BONK,short,2023-11-24 15:45:00+00:00,2023-11-24 15:50:00+00:00,2023-11-24 18:45:00+00:00,489,490,525,0.004107,0.004170350305137017,0.004170350305137017,0.003980299389725967,stop,-1.5190643591494468,-1.5990643591494467,36
1000BONK,short,2023-11-24 19:05:00+00:00,2023-11-24 19:10:00+00:00,2023-11-25 04:20:00+00:00,529,530,640,0.00408,0.004205793074101518,0.004205793074101518,0.0038224138517969648,stop,-2.9909477685939323,-3.0709477685939324,111
1000BONK,long,2023-11-25 15:20:00+00:00,2023-11-25 15:25:00+00:00,2023-11-25 16:10:00+00:00,772,773,782,0.004403,0.004350733240342823,0.004350733240342823,0.004507533519314354,stop,-1.1870715343442417,-1.2670715343442418,10
1000BONK,long,2023-11-25 16:15:00+00:00,2023-11-25 16:20:00+00:00,2023-11-25 16:35:00+00:00,783,784,787,0.004395,0.004526028261059597,0.004327985869470202,0.004526028261059597,take_profit,2.981302868250224,2.901302868250224,4
1000BONK,long,2023-11-25 19:20:00+00:00,2023-11-25 19:25:00+00:00,2023-11-25 20:20:00+00:00,820,821,832,0.004421,0.00431293164292045,0.00431293164292045,0.004646136714159099,stop,-2.444432415280462,-2.524432415280462,12
1000BONK,short,2023-11-26 15:15:00+00:00,2023-11-26 15:20:00+00:00,2023-11-26 18:35:00+00:00,1059,1060,1099,0.004309,0.004236017710344515,0.004343991144827743,0.004236017710344515,take_profit,1.7228985959444776,1.6428985959444777,40
1000BONK,short,2023-11-27 15:05:00+00:00,2023-11-27 15:10:00+00:00,2023-11-27 15:15:00+00:00,1345,1346,1347,0.003785,0.0038461860925424972,0.0038461860925424972,0.003662627814915006,stop,-1.5908250685304326,-1.6708250685304324,2
1000BONK,short,2023-11-27 15:45:00+00:00,2023-11-27 15:50:00+00:00,2023-11-27 15:55:00+00:00,1353,1354,1355,0.003795,0.003713088056667546,0.003834455971666227,0.003713088056667546,take_profit,2.2060328783575667,2.1260328783575666,2
1000BONK,long,2023-11-28 15:15:00+00:00,2023-11-28 15:20:00+00:00,2023-11-28 16:10:00+00:00,1635,1636,1646,0.003757,0.0037032874200462244,0.0037032874200462244,0.003864425159907551,stop,-1.4296667541595864,-1.5096667541595865,11
1000BONK,short,2023-11-28 16:25:00+00:00,2023-11-28 16:30:00+00:00,2023-11-28 16:30:00+00:00,1649,1650,1650,0.003664,0.0037069978714992166,0.0037069978714992166,0.003575004257001567,stop,-1.1599108763940769,-1.239910876394077,1
1000BONK,long,2023-11-28 16:50:00+00:00,2023-11-28 16:55:00+00:00,2023-11-28 18:55:00+00:00,1654,1655,1679,0.003756,0.003919005175308497,0.0036804974123457513,0.003919005175308497,take_profit,4.339860897457326,4.259860897457326,25
1000BONK,long,2023-11-29 15:30:00+00:00,2023-11-29 15:35:00+00:00,2023-11-29 18:15:00+00:00,1926,1927,1959,0.004325,0.004533086655124077,0.0042224566724379615,0.004533086655124077,take_profit,4.8112521415971665,4.7312521415971664,33
1000BONK,short,2023-11-30 17:10:00+00:00,2023-11-30 17:15:00+00:00,2023-11-30 17:30:00+00:00,2234,2235,2238,0.004024,0.0039667577519512,0.0040541211240244,0.0039667577519512,take_profit,1.4430487473212406,1.3630487473212405,4
1000BONK,short,2023-11-30 20:40:00+00:00,2023-11-30 20:45:00+00:00,2023-11-30 20:50:00+00:00,2276,2277,2278,0.004028,0.004059639950271177,0.004059639950271177,0.003964720099457647,stop,-0.7793782369557967,-0.8593782369557967,2
1000BONK,long,2023-12-01 18:45:00+00:00,2023-12-01 18:50:00+00:00,2023-12-01 19:15:00+00:00,2541,2542,2547,0.004061,0.004024089018579314,0.004024089018579314,0.004134821962841373,stop,-0.9089136030703382,-0.9889136030703383,6
1000BONK,long,2023-12-02 15:10:00+00:00,2023-12-02 15:15:00+00:00,2023-12-02 18:00:00+00:00,2786,2787,2820,0.004371,0.004292910990513735,0.004292910990513735,0.00452717801897253,stop,-1.7865250397223753,-1.8665250397223752,34
1000BONK,long,2023-12-02 18:25:00+00:00,2023-12-02 18:30:00+00:00,2023-12-02 22:45:00+00:00,2825,2826,2877,0.004454,0.004738956560465517,0.004307021719767242,0.004738956560465517,take_profit,6.397767410541477,6.317767410541478,52
1000BONK,short,2023-12-03 19:35:00+00:00,2023-12-03 19:40:00+00:00,2023-12-03 20:00:00+00:00,3127,3128,3132,0.004779,0.00488303070045934,0.00488303070045934,0.004570938599081321,stop,-2.130453540862509,-2.2104535408625092,5
1000BONK,long,2023-12-04 16:25:00+00:00,2023-12-04 16:30:00+00:00,2023-12-04 16:40:00+00:00,3377,3378,3380,0.006664,0.006389811504349763,0.006389811504349763,0.007221376991300475,stop,-4.114473224043169,-4.194473224043169,3
1000BONK,short,2023-12-05 15:30:00+00:00,2023-12-05 15:35:00+00:00,2023-12-05 18:30:00+00:00,3654,3655,3690,0.006337,0.006464698761823044,0.006464698761823044,0.006090602476353912,stop,-1.9753242421311823,-2.0553242421311824,36
1000BONK,short,2023-12-05 19:45:00+00:00,2023-12-05 19:50:00+00:00,2023-12-05 21:15:00+00:00,3705,3706,3723,0.00635,0.006505286555229745,0.006505286555229745,0.006036426889540509,stop,-2.3870824737905916,-2.4670824737905916,18
1000BONK,short,2023-12-06 15:05:00+00:00,2023-12-06 15:10:00+00:00,2023-12-06 15:30:00+00:00,3937,3938,3942,0.007535,0.007962615708917072,0.007962615708917072,0.006667768582165857,stop,-5.370291931057269,-5.4502919310572695,5
1000BONK,long,2023-12-06 15:40:00+00:00,2023-12-06 15:45:00+00:00,2023-12-06 20:05:00+00:00,3944,3945,3997,0.008054,0.0077217584625832204,0.0077217584625832204,0.008721483074833558,stop,-4.12517429124385,-4.20517429124385,53
1000BONK,short,2023-12-06 20:45:00+00:00,2023-12-06 20:50:00+00:00,2023-12-06 20:55:00+00:00,4005,4006,4007,0.007678,0.007852325776016723,0.007852325776016723,0.007314348447966554,stop,-2.220052771487968,-2.300052771487968,2
1000BONK,long,2023-12-07 15:10:00+00:00,2023-12-07 15:15:00+00:00,2023-12-07 16:00:00+00:00,4226,4227,4236,0.008553,0.009216176685829225,0.008216911657085388,0.009216176685829225,take_profit,7.753731858169344,7.6737318581693446,10
1000BONK,long,2023-12-08 15:15:00+00:00,2023-12-08 15:20:00+00:00,2023-12-08 16:40:00+00:00,4515,4516,4532,0.012128,0.011622745818312158,0.011622745818312158,0.013138508363375684,stop,-4.1660140310673,-4.2460140310673005,17
1000BONK,long,2023-12-08 18:45:00+00:00,2023-12-08 18:50:00+00:00,2023-12-08 20:30:00+00:00,4557,4558,4578,0.012005,0.013198758700294189,0.011409620649852905,0.013198758700294189,take_profit,9.943845899993242,9.863845899993242,21
1000BONK,long,2023-12-09 15:05:00+00:00,2023-12-09 15:10:00+00:00,2023-12-09 15:30:00+00:00,4801,4802,4806,0.012872,0.013441778546920252,0.012587110726539874,0.013441778546920252,take_profit,4.426495858609791,4.346495858609791,5
1000BONK,short,2023-12-10 15:55:00+00:00,2023-12-10 16:00:00+00:00,2023-12-10 16:20:00+00:00,5099,5100,5104,0.011372,0.010958163129665601,0.0115789184351672,0.010958163129665601,take_profit,3.7765167887861884,3.6965167887861883,5
1000BONK,long,2023-12-12 18:45:00+00:00,2023-12-12 18:50:00+00:00,2023-12-12 19:05:00+00:00,5709,5710,5713,0.013507,0.013062148709303183,0.013062148709303183,0.014402702581393634,stop,-3.293487011896179,-3.373487011896179,4
1000BONK,long,2023-12-14 15:10:00+00:00,2023-12-14 15:15:00+00:00,2023-12-14 18:45:00+00:00,6242,6243,6285,0.014578,0.015456935675454989,0.014137032162272505,0.015456935675454989,take_profit,6.029192450644727,5.949192450644727,43
1000BONK,long,2023-12-15 15:30:00+00:00,2023-12-15 15:35:00+00:00,2023-12-15 16:25:00+00:00,6534,6535,6545,0.030082,0.03428054656777933,0.02799022671611033,0.03428054656777933,take_profit,13.957006075990064,13.877006075990064,11
1000BONK,long,2023-12-15 17:10:00+00:00,2023-12-15 17:15:00+00:00,2023-12-15 18:25:00+00:00,6554,6555,6569,0.031154,0.027676342050277136,0.027676342050277136,0.03807331589944572,stop,-11.16279755319659,-11.24279755319659,15
1000BONK,long,2023-12-15 20:40:00+00:00,2023-12-15 20:45:00+00:00,2023-12-15 21:15:00+00:00,6596,6597,6603,0.030304,0.028412380861201816,0.028412380861201816,0.03408123827759636,stop,-6.242143409444911,-6.3221434094449105,7
1000BONK,short,2023-12-16 15:15:00+00:00,2023-12-16 15:20:00+00:00,2023-12-16 16:05:00+00:00,6819,6820,6829,0.02378,0.024401952524712164,0.024401952524712164,0.02252709495057567,stop,-2.5487817996625695,-2.6287817996625695,10
1000BONK,short,2023-12-16 16:20:00+00:00,2023-12-16 16:25:00+00:00,2023-12-16 17:05:00+00:00,6832,6833,6841,0.023623,0.024364018741778258,0.024364018741778258,0.02214096251644349,stop,-3.0414471012846223,-3.1214471012846223,9
1000BONK,short,2023-12-16 17:30:00+00:00,2023-12-16 17:35:00+00:00,2023-12-16 19:00:00+00:00,6846,6847,6864,0.023664,0.02454992899093147,0.02454992899093147,0.021898142018137057,stop,-3.6086824986692356,-3.6886824986692357,18
1000BONK,short,2023-12-18 15:15:00+00:00,2023-12-18 15:20:00+00:00,2023-12-18 15:25:00+00:00,7395,7396,7397,0.020661,0.021067248266296662,0.021067248266296662,0.01984550346740668,stop,-1.9283404323220399,-2.00834043232204,2
1000BONK,short,2023-12-18 16:45:00+00:00,2023-12-18 16:50:00+00:00,2023-12-18 19:25:00+00:00,7413,7414,7445,0.02049,0.018957115589112984,0.02125494220544351,0.018957115589112984,take_profit,8.08606353472545,8.006063534725453,32
1000BONK,long,2023-12-19 17:30:00+00:00,2023-12-19 17:35:00+00:00,2023-12-19 18:00:00+00:00,7710,7711,7716,0.021399,0.021079381204265547,0.021079381204265547,0.022041237591468903,stop,-1.4936155695801423,-1.5736155695801421,6
1000BONK,short,2023-12-20 15:15:00+00:00,2023-12-20 15:20:00+00:00,2023-12-20 15:20:00+00:00,7971,7972,7972,0.018253,0.018478261831058867,0.018478261831058867,0.017805476337882264,stop,-1.2190639634743206,-1.2990639634743206,1
