symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000CAT,long,2024-10-22 14:35:00+00:00,2024-10-22 14:40:00+00:00,2024-10-22 15:40:00+00:00,205,206,218,0.04007,0.03879756404563758,0.03879756404563758,0.04258487190872484,stop,-3.175532703674633,-3.255532703674633,13
1000CAT,long,2024-10-23 16:10:00+00:00,2024-10-23 16:15:00+00:00,2024-10-23 16:20:00+00:00,512,513,514,0.03988,0.04231027440178516,0.03863486279910742,0.04231027440178516,take_profit,6.093967908187481,6.013967908187481,2
1000CAT,short,2024-10-25 14:10:00+00:00,2024-10-25 14:15:00+00:00,2024-10-25 14:35:00+00:00,1064,1065,1069,0.03866,0.039255287313414516,0.039255287313414516,0.037499425373170976,stop,-1.5164512965138655,-1.5964512965138653,5
1000CAT,long,2024-10-25 14:55:00+00:00,2024-10-25 15:00:00+00:00,2024-10-26 08:20:00+00:00,1073,1074,1282,0.04145,0.03876419657686938,0.03876419657686938,0.04682160684626124,stop,-6.47962225121983,-6.559622251219829,209
1000CAT,short,2024-10-26 15:00:00+00:00,2024-10-26 15:05:00+00:00,2024-10-26 17:55:00+00:00,1362,1363,1397,0.03816,0.0387590454013242,0.0387590454013242,0.036931909197351606,stop,-1.545562836033454,-1.6255628360334538,35
1000CAT,short,2024-10-26 18:30:00+00:00,2024-10-26 18:35:00+00:00,2024-10-26 23:20:00+00:00,1404,1405,1462,0.03817,0.03661385463455135,0.03894807268272433,0.03661385463455135,take_profit,4.250154431924158,4.170154431924158,58
1000CAT,long,2024-10-27 14:05:00+00:00,2024-10-27 14:10:00+00:00,2024-10-27 14:50:00+00:00,1639,1640,1648,0.03574,0.035115663400638014,0.035115663400638014,0.036958673198723965,stop,-1.7468847212142924,-1.8268847212142922,9
1000CAT,short,2024-10-27 18:20:00+00:00,2024-10-27 18:25:00+00:00,2024-10-27 19:20:00+00:00,1690,1691,1702,0.03452,0.033737827044091166,0.034926086477954414,0.033737827044091166,take_profit,2.318385694747427,2.2383856947474268,12
1000CAT,short,2024-10-28 14:30:00+00:00,2024-10-28 14:35:00+00:00,2024-10-28 14:35:00+00:00,1932,1933,1933,0.0329,0.033236242989063844,0.033236242989063844,0.03225751402187232,stop,-1.011675685409097,-1.091675685409097,1
1000CAT,long,2024-10-28 15:20:00+00:00,2024-10-28 15:25:00+00:00,2024-10-29 01:40:00+00:00,1942,1943,2066,0.03401,0.03282609900076255,0.03282609900076255,0.03634780199847491,stop,-3.481037927778452,-3.561037927778452,124
