symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000PEPE,short,2023-05-06 14:15:00+00:00,2023-05-06 14:20:00+00:00,2023-05-06 15:40:00+00:00,153,154,170,0.0030657,0.002713219625529185,0.003240290187235407,0.002713219625529185,take_profit,12.991221615613501,12.911221615613503,17
1000PEPE,short,2023-05-07 14:40:00+00:00,2023-05-07 14:45:00+00:00,2023-05-07 14:45:00+00:00,446,447,447,0.0025404,0.002595645892237019,0.002595645892237019,0.0024299082155259622,stop,-2.128406359366919,-2.208406359366919,1
1000PEPE,short,2023-05-07 15:10:00+00:00,2023-05-07 15:15:00+00:00,2023-05-07 15:25:00+00:00,452,453,455,0.0025367,0.0024108794169620342,0.0025996102915189826,0.0024108794169620342,take_profit,5.21886669871332,5.13886669871332,3
1000PEPE,short,2023-05-07 15:50:00+00:00,2023-05-07 15:55:00+00:00,2023-05-07 16:00:00+00:00,460,461,462,0.0025432,0.0026126966266767737,0.0026126966266767737,0.002402706746646453,stop,-2.6599577603914293,-2.7399577603914294,2
1000PEPE,long,2023-05-07 16:55:00+00:00,2023-05-07 17:00:00+00:00,2023-05-07 17:45:00+00:00,473,474,483,0.0026328,0.002561423098383436,0.002561423098383436,0.0027752538032331277,stop,-2.711064327581425,-2.791064327581425,10
1000PEPE,short,2023-05-08 15:55:00+00:00,2023-05-08 16:00:00+00:00,2023-05-08 23:10:00+00:00,749,750,836,0.0023071,0.002104569588314591,0.0024091152058427043,0.002104569588314591,take_profit,9.62336492981455,9.54336492981455,87
1000PEPE,short,2023-05-09 14:25:00+00:00,2023-05-09 14:30:00+00:00,2023-05-09 15:35:00+00:00,1019,1020,1033,0.0018592,0.0017778614259786147,0.0019000192870106925,0.0017778614259786147,take_profit,4.575079521544434,4.495079521544434,14
1000PEPE,long,2023-05-09 16:40:00+00:00,2023-05-09 16:45:00+00:00,2023-05-09 18:35:00+00:00,1046,1047,1069,0.0019773,0.0018820938948002097,0.0018820938948002097,0.002167412210399581,stop,-4.81495499923078,-4.894954999230781,23
1000PEPE,long,2023-05-09 19:15:00+00:00,2023-05-09 19:20:00+00:00,2023-05-09 20:50:00+00:00,1077,1078,1096,0.0019461,0.0020931177440966127,0.0018725911279516938,0.0020931177440966127,take_profit,7.554480453040058,7.474480453040059,19
1000PEPE,short,2023-05-10 15:00:00+00:00,2023-05-10 15:05:00+00:00,2023-05-10 21:20:00+00:00,1314,1315,1390,0.0019198,0.001967354698002075,0.001967354698002075,0.0018249906039958497,stop,-2.4171898463641983,-2.4971898463641984,76
1000PEPE,short,2023-05-11 14:05:00+00:00,2023-05-11 14:10:00+00:00,2023-05-11 15:15:00+00:00,1591,1592,1605,0.0017949,0.0017405576528145613,0.0018219211735927194,0.0017405576528145613,take_profit,3.122122791943416,3.0421227919434157,14
1000PEPE,short,2023-05-12 14:10:00+00:00,2023-05-12 14:15:00+00:00,2023-05-12 14:50:00+00:00,1880,1881,1888,0.0012108,0.0011322729412079349,0.0012500635293960325,0.0011322729412079349,take_profit,6.935347117656154,6.855347117656155,8
1000PEPE,short,2023-05-12 17:15:00+00:00,2023-05-12 17:20:00+00:00,2023-05-12 18:00:00+00:00,1917,1918,1926,0.0012123,0.0012663798513542239,0.0012663798513542239,0.001104140297291552,stop,-4.270428915652181,-4.350428915652181,9
1000PEPE,long,2023-05-12 18:20:00+00:00,2023-05-12 18:25:00+00:00,2023-05-12 23:45:00+00:00,1930,1931,1995,0.0012697,0.0012156680544626575,0.0012156680544626575,0.0013789638910746847,stop,-4.255489134231894,-4.335489134231894,65
1000PEPE,long,2023-05-13 16:30:00+00:00,2023-05-13 16:35:00+00:00,2023-05-13 18:35:00+00:00,2196,2197,2221,0.0016322,0.001702938690676042,0.0015968306546619792,0.001702938690676042,take_profit,4.33394747433169,4.25394747433169,25
1000PEPE,short,2023-05-14 15:00:00+00:00,2023-05-14 15:05:00+00:00,2023-05-14 15:05:00+00:00,2466,2467,2467,0.001854,0.001886253579905027,0.001886253579905027,0.0017894928401899458,stop,-1.709928094962243,-1.789928094962243,1
1000PEPE,long,2023-05-14 16:10:00+00:00,2023-05-14 16:15:00+00:00,2023-05-14 16:35:00+00:00,2480,2481,2485,0.0019182,0.00188521717709394,0.00188521717709394,0.0019847656458121202,stop,-1.7194673603409427,-1.7994673603409426,5
1000PEPE,long,2023-05-14 16:40:00+00:00,2023-05-14 16:45:00+00:00,2023-05-14 18:15:00+00:00,2486,2487,2505,0.0019274,0.0018668404151798495,0.0018668404151798495,0.0020485191696403005,stop,-3.1420351157077087,-3.2220351157077087,19
1000PEPE,short,2023-05-15 18:10:00+00:00,2023-05-15 18:15:00+00:00,2023-05-15 20:40:00+00:00,2792,2793,2822,0.0017123,0.0016706561641204993,0.0017331219179397503,0.0016706561641204993,take_profit,2.4926634680346504,2.4126634680346504,30
