symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000RATS,short,2023-12-16 15:05:00+00:00,2023-12-16 15:10:00+00:00,2023-12-16 17:00:00+00:00,193,194,216,0.40392,0.4221943065227851,0.4221943065227851,0.3673713869544298,stop,-4.328411406893018,-4.408411406893018,23
1000RATS,short,2023-12-17 20:00:00+00:00,2023-12-17 20:05:00+00:00,2023-12-18 01:40:00+00:00,540,541,608,0.31508,0.3345569374853451,0.3345569374853451,0.2761261250293099,stop,-5.821710836947814,-5.901710836947814,68
1000RATS,short,2023-12-18 15:35:00+00:00,2023-12-18 15:40:00+00:00,2023-12-18 16:35:00+00:00,775,776,787,0.32952,0.31280433537501884,0.33822283231249056,0.31280433537501884,take_profit,5.343808488121127,5.263808488121127,12
1000RATS,long,2023-12-19 17:40:00+00:00,2023-12-19 17:45:00+00:00,2023-12-19 17:45:00+00:00,1088,1089,1089,0.31551,0.30902567457717406,0.30902567457717406,0.32892865084565187,stop,-2.0551885591030272,-2.1351885591030273,1
1000RATS,short,2023-12-20 16:25:00+00:00,2023-12-20 16:30:00+00:00,2023-12-20 17:00:00+00:00,1361,1362,1368,0.27911,0.28504599473135384,0.28504599473135384,0.2672080105372924,stop,-2.0824690895756226,-2.1624690895756227,7
1000RATS,short,2023-12-20 17:45:00+00:00,2023-12-20 17:50:00+00:00,2023-12-20 19:10:00+00:00,1377,1378,1394,0.2795,0.2844844046731695,0.2844844046731695,0.269741190653661,stop,-1.7520836261291084,-1.8320836261291082,17
1000RATS,long,2023-12-20 20:10:00+00:00,2023-12-20 20:15:00+00:00,2023-12-20 20:30:00+00:00,1406,1407,1410,0.28533,0.2810042964628464,0.2810042964628464,0.2939814070743071,stop,-1.516035305489627,-1.5960353054896268,4
1000RATS,short,2023-12-21 18:20:00+00:00,2023-12-21 18:25:00+00:00,2023-12-22 18:15:00+00:00,1672,1673,1959,0.33267,0.2881578888382298,0.35492605558088514,0.2881578888382298,take_profit,15.447125650881999,15.367125650881999,287
1000RATS,short,2023-12-24 15:05:00+00:00,2023-12-24 15:10:00+00:00,2023-12-24 15:50:00+00:00,2497,2498,2506,0.3134,0.32349979971732323,0.32349979971732323,0.29320040056535357,stop,-3.122042030983796,-3.202042030983796,9
1000RATS,long,2023-12-24 18:30:00+00:00,2023-12-24 18:35:00+00:00,2023-12-24 19:15:00+00:00,2538,2539,2547,0.33646,0.32736432603687254,0.32736432603687254,0.35474134792625495,stop,-2.7033448145774908,-2.783344814577491,9
1000RATS,long,2023-12-25 15:15:00+00:00,2023-12-25 15:20:00+00:00,2023-12-25 15:35:00+00:00,2787,2788,2791,0.32485,0.32091949480795995,0.32091949480795995,0.33268101038408016,stop,-1.2099446489272192,-1.2899446489272193,4
1000RATS,short,2023-12-25 16:15:00+00:00,2023-12-25 16:20:00+00:00,2023-12-25 16:35:00+00:00,2799,2800,2803,0.31732,0.32116117650238807,0.32116117650238807,0.3102076469952239,stop,-1.196027659451393,-1.276027659451393,4
1000RATS,long,2023-12-25 16:45:00+00:00,2023-12-25 16:50:00+00:00,2023-12-25 17:05:00+00:00,2805,2806,2809,0.32713,0.3429289762828188,0.31939551185859055,0.3429289762828188,take_profit,4.82957120497014,4.74957120497014,4
1000RATS,short,2023-12-27 16:05:00+00:00,2023-12-27 16:10:00+00:00,2023-12-27 16:35:00+00:00,3373,3374,3379,0.35382,0.3586792139098168,0.3586792139098168,0.3437715721803665,stop,-1.3547520239180932,-1.4347520239180933,6
1000RATS,short,2023-12-28 15:50:00+00:00,2023-12-28 15:55:00+00:00,2023-12-28 20:15:00+00:00,3658,3659,3711,0.36367,0.34746079662892143,0.3718796016855393,0.34746079662892143,take_profit,4.665045244914223,4.585045244914223,53
1000RATS,long,2023-12-29 15:05:00+00:00,2023-12-29 15:10:00+00:00,2023-12-29 15:40:00+00:00,3937,3938,3944,0.34909,0.34506293962680346,0.34506293962680346,0.3571441207463931,stop,-1.153588006874029,-1.233588006874029,7
1000RATS,short,2023-12-29 16:15:00+00:00,2023-12-29 16:20:00+00:00,2023-12-29 18:20:00+00:00,3951,3952,3976,0.3383,0.3447158051710053,0.3447158051710053,0.3251683896579894,stop,-1.8611868312282898,-1.9411868312282896,25
1000RATS,long,2023-12-29 18:35:00+00:00,2023-12-29 18:40:00+00:00,2023-12-29 19:30:00+00:00,3979,3980,3990,0.34912,0.36035867093533913,0.3435006645323304,0.36035867093533913,take_profit,3.219142683128773,3.1391426831287728,11
1000RATS,long,2023-12-29 20:05:00+00:00,2023-12-29 20:10:00+00:00,2023-12-29 21:45:00+00:00,3997,3998,4017,0.35134,0.34354842800590646,0.34354842800590646,0.367223143988187,stop,-2.2176729077513335,-2.2976729077513336,20
