symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000SATS,long,2023-12-14 15:30:00+00:00,2023-12-14 15:35:00+00:00,2023-12-14 17:00:00+00:00,486,487,504,0.000623,0.0005979541998291022,0.0005979541998291022,0.0006730916003417955,stop,-4.02019264380381,-4.100192643803811,18
1000SATS,long,2023-12-14 19:40:00+00:00,2023-12-14 19:45:00+00:00,2023-12-14 20:05:00+00:00,536,537,541,0.000625,0.000607077728431922,0.000607077728431922,0.0006623445431361559,stop,-2.867563450892474,-2.947563450892474,5
1000SATS,long,2023-12-14 20:20:00+00:00,2023-12-14 20:25:00+00:00,2023-12-14 22:10:00+00:00,544,545,566,0.0006385,0.0006037899873503425,0.0006037899873503425,0.000708820025299315,stop,-5.436180524613543,-5.516180524613543,22
1000SATS,long,2023-12-15 15:20:00+00:00,2023-12-15 15:25:00+00:00,2023-12-15 16:05:00+00:00,772,773,781,0.0007991,0.0008684461723933733,0.0007645769138033134,0.0008684461723933733,take_profit,8.678034337801698,8.5980343378017,9
1000SATS,short,2023-12-16 15:05:00+00:00,2023-12-16 15:10:00+00:00,2023-12-16 16:20:00+00:00,1057,1058,1072,0.0007396,0.000700207981916741,0.0007591460090416296,0.000700207981916741,take_profit,5.625759645788064,5.545759645788064,15
1000SATS,short,2023-12-16 17:20:00+00:00,2023-12-16 17:25:00+00:00,2023-12-16 18:05:00+00:00,1084,1085,1093,0.0007349,0.0007504718968408639,0.0007504718968408639,0.0007040562063182721,stop,-2.0749473639738225,-2.1549473639738226,9
1000SATS,short,2023-12-16 18:40:00+00:00,2023-12-16 18:45:00+00:00,2023-12-16 20:05:00+00:00,1100,1101,1117,0.0007333,0.0007544961734340409,0.0007544961734340409,0.0006909076531319182,stop,-2.8093149018328156,-2.8893149018328157,17
1000SATS,long,2023-12-16 20:20:00+00:00,2023-12-16 20:25:00+00:00,2023-12-16 21:50:00+00:00,1120,1121,1138,0.0007611,0.0007999535231463135,0.0007415232384268432,0.0007999535231463135,take_profit,5.104916981515384,5.024916981515384,18
1000SATS,long,2023-12-17 15:05:00+00:00,2023-12-17 15:10:00+00:00,2023-12-17 15:35:00+00:00,1345,1346,1351,0.0007988,0.0007692443515765335,0.0007692443515765335,0.000857911296846933,stop,-3.700006062026351,-3.780006062026351,6
1000SATS,short,2023-12-17 16:05:00+00:00,2023-12-17 16:10:00+00:00,2023-12-17 17:05:00+00:00,1357,1358,1369,0.000759,0.0007199512765361185,0.0007785243617319408,0.0007199512765361185,take_profit,5.423800851045857,5.343800851045857,12
1000SATS,short,2023-12-18 16:25:00+00:00,2023-12-18 16:30:00+00:00,2023-12-18 16:30:00+00:00,1649,1650,1650,0.0007205,0.0007339908745940275,0.0007339908745940275,0.0006938182508119448,stop,-1.8380166649196283,-1.9180166649196282,1
1000SATS,short,2023-12-18 16:35:00+00:00,2023-12-18 16:40:00+00:00,2023-12-18 17:00:00+00:00,1651,1652,1656,0.000722,0.0007351069275836258,0.0007351069275836258,0.0006960861448327485,stop,-1.782996063812059,-1.8629960638120588,5
