symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000WHY,long,2024-11-27 15:20:00+00:00,2024-11-27 15:25:00+00:00,2024-11-27 15:50:00+00:00,514,515,520,0.000197,0.00019414849909590417,0.00019414849909590417,0.00020270300180819163,stop,-1.4474623878658943,-1.5274623878658944,6
1000WHY,long,2024-11-27 16:45:00+00:00,2024-11-27 16:50:00+00:00,2024-11-27 19:10:00+00:00,531,532,560,0.000197,0.00020662242227048402,0.00019218878886475798,0.00020662242227048402,take_profit,4.884478309890361,4.804478309890361,29
1000WHY,short,2024-11-28 15:05:00+00:00,2024-11-28 15:10:00+00:00,2024-11-29 00:20:00+00:00,799,800,910,0.000197,0.00018716644456044036,0.0002019167777197798,0.00018716644456044036,take_profit,5.253909408095936,5.173909408095936,111
1000WHY,long,2024-11-30 15:20:00+00:00,2024-11-30 15:25:00+00:00,2024-11-30 15:50:00+00:00,1378,1379,1384,0.0001933,0.0001912917716445034,0.0001912917716445034,0.00019701645671099321,stop,-1.03891792834796,-1.11891792834796,6
1000WHY,long,2024-11-30 16:45:00+00:00,2024-11-30 16:50:00+00:00,2024-11-30 19:25:00+00:00,1395,1396,1427,0.0001934,0.00019092469068762618,0.00019092469068762618,0.00019805061862474766,stop,-1.2798910612067393,-1.3598910612067394,32
1000WHY,short,2024-11-30 19:45:00+00:00,2024-11-30 19:50:00+00:00,2024-11-30 20:10:00+00:00,1431,1432,1436,0.0001894,0.00019155405672396136,0.00019155405672396136,0.00018449188655207725,stop,-1.1245163693220372,-1.2045163693220373,5
1000WHY,long,2024-12-01 15:10:00+00:00,2024-12-01 15:15:00+00:00,2024-12-01 21:40:00+00:00,1664,1665,1742,0.0001904,0.000194961712014859,0.0001882691439925705,0.000194961712014859,take_profit,2.3958571506612403,2.31585715066124,78
1000WHY,short,2024-12-02 15:05:00+00:00,2024-12-02 15:10:00+00:00,2024-12-02 16:00:00+00:00,1951,1952,1962,0.0001741,0.00017751149928196976,0.00017751149928196976,0.0001675770014360605,stop,-1.9218469202103572,-2.0018469202103573,11
1000WHY,short,2024-12-02 16:20:00+00:00,2024-12-02 16:25:00+00:00,2024-12-02 17:00:00+00:00,1966,1967,1974,0.0001739,0.00017745001122491437,0.00017745001122491437,0.00016619997755017125,stop,-2.000569738152791,-2.080569738152791,8
1000WHY,short,2024-12-02 17:15:00+00:00,2024-12-02 17:20:00+00:00,2024-12-02 17:40:00+00:00,1977,1978,1982,0.000175,0.00016817465851136888,0.00017841267074431556,0.00016817465851136888,take_profit,4.05848392917636,3.9784839291763596,5
