symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1000XEC,short,2021-09-17 14:25:00+00:00,2021-09-17 14:30:00+00:00,2021-09-17 19:20:00+00:00,23,24,82,0.24114,0.23037524779428084,0.2460423761028596,0.23037524779428084,take_profit,4.672703473478967,4.592703473478967,59
1000XEC,long,2021-09-18 14:05:00+00:00,2021-09-18 14:10:00+00:00,2021-09-18 18:25:00+00:00,307,308,359,0.2393,0.23531612100753554,0.23531612100753554,0.2472077579849289,stop,-1.664805262208302,-1.744805262208302,52
1000XEC,short,2021-09-19 19:15:00+00:00,2021-09-19 19:20:00+00:00,2021-09-19 20:35:00+00:00,657,658,673,0.22977,0.2269286144464038,0.2311906927767981,0.2269286144464038,take_profit,1.2521054519844421,1.172105451984442,16
1000XEC,short,2021-09-20 16:25:00+00:00,2021-09-20 16:30:00+00:00,2021-09-20 20:25:00+00:00,911,912,959,0.2215,0.21290528307896378,0.22576735846051812,0.21290528307896378,take_profit,4.036873485120873,3.956873485120873,48
1000XEC,short,2021-09-21 14:20:00+00:00,2021-09-21 14:25:00+00:00,2021-09-21 14:35:00+00:00,1174,1175,1177,0.20411,0.2066097761221302,0.2066097761221302,0.1985404477557396,stop,-1.2099021493796713,-1.2899021493796714,3
1000XEC,long,2021-09-21 14:50:00+00:00,2021-09-21 14:55:00+00:00,2021-09-22 02:20:00+00:00,1180,1181,1318,0.20907,0.20352247653184963,0.20352247653184963,0.22016504693630076,stop,-2.6534287406851154,-2.7334287406851154,138
1000XEC,long,2021-09-22 14:20:00+00:00,2021-09-22 14:25:00+00:00,2021-09-22 16:30:00+00:00,1462,1463,1488,0.21099,0.21704697818184704,0.2075415109090765,0.21704697818184704,take_profit,2.8707418275022656,2.7907418275022655,26
1000XEC,short,2021-09-23 14:05:00+00:00,2021-09-23 14:10:00+00:00,2021-09-23 18:35:00+00:00,1747,1748,1801,0.22821,0.2242804395001265,0.23020478024993674,0.2242804395001265,take_profit,1.7520745494487455,1.6720745494487457,54
1000XEC,short,2021-09-24 14:15:00+00:00,2021-09-24 14:20:00+00:00,2021-09-24 15:05:00+00:00,2037,2038,2047,0.22301,0.22425920845662403,0.22425920845662403,0.22051158308675198,stop,-0.5570377534198978,-0.6370377534198979,10
1000XEC,short,2021-09-24 18:00:00+00:00,2021-09-24 18:05:00+00:00,2021-09-24 18:15:00+00:00,2082,2083,2085,0.22111,0.21460571294508857,0.2242271435274557,0.21460571294508857,take_profit,3.030807971349625,2.950807971349625,3
1000XEC,short,2021-09-25 14:10:00+00:00,2021-09-25 14:15:00+00:00,2021-09-25 17:30:00+00:00,2324,2325,2364,0.21489,0.20816189190235138,0.2176690540488243,0.20816189190235138,take_profit,3.232151685479856,3.152151685479856,40
1000XEC,short,2021-09-26 14:20:00+00:00,2021-09-26 14:25:00+00:00,2021-09-26 16:30:00+00:00,2614,2615,2640,0.20931,0.2065978962250156,0.21081605188749222,0.2065978962250156,take_profit,1.3127451075448215,1.2327451075448215,26
1000XEC,long,2021-09-26 18:45:00+00:00,2021-09-26 18:50:00+00:00,2021-09-27 00:50:00+00:00,2667,2668,2740,0.21109,0.22253889615236444,0.2053805519238178,0.22253889615236444,take_profit,5.423703705701088,5.343703705701088,73
1000XEC,long,2021-09-27 16:05:00+00:00,2021-09-27 16:10:00+00:00,2021-09-27 16:55:00+00:00,2923,2924,2933,0.24037,0.23816432470943041,0.23816432470943041,0.2453213505811392,stop,-0.917616711973035,-0.997616711973035,10
1000XEC,short,2021-09-28 14:10:00+00:00,2021-09-28 14:15:00+00:00,2021-09-28 15:20:00+00:00,3188,3189,3202,0.23202,0.22846533029517213,0.23387233485241393,0.22846533029517213,take_profit,1.5558902089149784,1.4758902089149784,14
1000XEC,long,2021-09-28 16:00:00+00:00,2021-09-28 16:05:00+00:00,2021-09-30 09:35:00+00:00,3210,3211,3709,0.24711,0.22423025363267962,0.22423025363267962,0.29238949273464077,stop,-9.258931798519033,-9.338931798519031,499
1000XEC,long,2021-09-30 14:05:00+00:00,2021-09-30 14:10:00+00:00,2021-09-30 14:50:00+00:00,3763,3764,3772,0.25353,0.24855041022883825,0.24855041022883825,0.26429917954232357,stop,-1.9641027772499209,-2.044102777249921,9
1000XEC,long,2021-10-01 14:30:00+00:00,2021-10-01 14:35:00+00:00,2021-10-01 15:20:00+00:00,4056,4057,4066,0.24352,0.24226390030059872,0.24226390030059872,0.24597219939880255,stop,-0.5158096663112954,-0.5958096663112955,10
1000XEC,short,2021-10-01 15:35:00+00:00,2021-10-01 15:40:00+00:00,2021-10-01 16:25:00+00:00,4069,4070,4079,0.2407,0.24286907938963853,0.24286907938963853,0.23639184122072296,stop,-0.8931064403462585,-0.9731064403462586,10
1000XEC,long,2021-10-01 17:00:00+00:00,2021-10-01 17:05:00+00:00,2021-10-01 17:05:00+00:00,4086,4087,4087,0.2435,0.246328671111665,0.2420856644441675,0.246328671111665,take_profit,1.1616719144414756,1.0816719144414755,1
1000XEC,long,2021-10-01 18:15:00+00:00,2021-10-01 18:20:00+00:00,2021-10-01 19:05:00+00:00,4101,4102,4111,0.24385,0.24698685086148245,0.24204157456925876,0.24698685086148245,take_profit,1.286385426074399,1.206385426074399,10
1000XEC,short,2021-10-03 18:00:00+00:00,2021-10-03 18:05:00+00:00,2021-10-03 19:15:00+00:00,4674,4675,4689,0.24263,0.24427445190407007,0.24427445190407007,0.23895109619185984,stop,-0.6731984827933912,-0.7531984827933913,15
1000XEC,short,2021-10-06 16:10:00+00:00,2021-10-06 16:15:00+00:00,2021-10-06 17:05:00+00:00,5516,5517,5527,0.2221,0.21752420153369859,0.2245528992331507,0.21752420153369859,take_profit,2.1035813183263308,2.0235813183263307,11
1000XEC,short,2021-10-07 14:10:00+00:00,2021-10-07 14:15:00+00:00,2021-10-07 15:00:00+00:00,5780,5781,5790,0.21982,0.22216348169174574,0.22216348169174574,0.21513303661650848,stop,-1.0548455911387644,-1.1348455911387645,10
1000XEC,short,2021-10-07 15:35:00+00:00,2021-10-07 15:40:00+00:00,2021-10-07 16:25:00+00:00,5797,5798,5807,0.22081,0.22201019380006795,0.22201019380006795,0.2181396123998641,stop,-0.5406030144493146,-0.6206030144493146,10
1000XEC,short,2021-10-08 15:10:00+00:00,2021-10-08 15:15:00+00:00,2021-10-08 19:15:00+00:00,6080,6081,6129,0.22297,0.22436114402315818,0.22436114402315818,0.22018771195368364,stop,-0.6200467684433719,-0.700046768443372,49
1000XEC,long,2021-10-09 14:05:00+00:00,2021-10-09 14:10:00+00:00,2021-10-09 17:20:00+00:00,6355,6356,6394,0.2227,0.22011383419973063,0.22011383419973063,0.22871233160053878,stop,-1.1612778627163811,-1.2412778627163812,39
1000XEC,short,2021-10-09 17:35:00+00:00,2021-10-09 17:40:00+00:00,2021-10-09 18:10:00+00:00,6397,6398,6404,0.21964,0.22077348030627877,0.22077348030627877,0.21746303938744246,stop,-0.5134132526725121,-0.5934132526725122,7
1000XEC,short,2021-10-10 16:45:00+00:00,2021-10-10 16:50:00+00:00,2021-10-10 17:00:00+00:00,6675,6676,6678,0.22095,0.22158295856265528,0.22158295856265528,0.2197140828746894,stop,-0.2856530875664287,-0.3656530875664287,3
1000XEC,long,2021-10-10 17:15:00+00:00,2021-10-10 17:20:00+00:00,2021-10-10 18:05:00+00:00,6681,6682,6691,0.22202,0.22136686960964772,0.22136686960964772,0.22341626078070456,stop,-0.29417637616083736,-0.3741763761608374,10
1000XEC,short,2021-10-10 18:15:00+00:00,2021-10-10 18:20:00+00:00,2021-10-10 18:55:00+00:00,6693,6694,6701,0.22081,0.22167975639910878,0.22167975639910878,0.21907048720178246,stop,-0.39234813915208777,-0.4723481391520878,8
1000XEC,short,2021-10-11 19:55:00+00:00,2021-10-11 20:00:00+00:00,2021-10-12 04:50:00+00:00,7001,7002,7108,0.21574,0.2118757226315321,0.21759713868423394,0.2118757226315321,take_profit,1.8238415050449985,1.7438415050449987,107
1000XEC,long,2021-10-12 15:00:00+00:00,2021-10-12 15:05:00+00:00,2021-10-12 15:50:00+00:00,7230,7231,7240,0.21598,0.21399842204368483,0.21399842204368483,0.22027315591263036,stop,-0.9174821540490652,-0.9974821540490653,10
1000XEC,long,2021-10-12 16:15:00+00:00,2021-10-12 16:20:00+00:00,2021-10-12 17:30:00+00:00,7245,7246,7260,0.21577,0.22053044693292762,0.21334477653353617,0.22053044693292762,take_profit,2.206259875296679,2.126259875296679,15
1000XEC,short,2021-10-13 14:30:00+00:00,2021-10-13 14:35:00+00:00,2021-10-14 17:05:00+00:00,7512,7513,7831,0.21805,0.22122985808204126,0.22122985808204126,0.21169028383591745,stop,-1.437354844237182,-1.517354844237182,319
1000XEC,short,2021-10-15 15:25:00+00:00,2021-10-15 15:30:00+00:00,2021-10-15 16:00:00+00:00,8099,8100,8106,0.2166,0.21450287491243844,0.21775356254378078,0.21450287491243844,take_profit,0.9776675899647591,0.897667589964759,7
1000XEC,short,2021-10-17 14:15:00+00:00,2021-10-17 14:20:00+00:00,2021-10-17 16:00:00+00:00,8661,8662,8682,0.205,0.2061026454600406,0.2061026454600406,0.20279470907991878,stop,-0.5349982080915971,-0.6149982080915972,21
1000XEC,long,2021-10-17 16:10:00+00:00,2021-10-17 16:15:00+00:00,2021-10-17 16:50:00+00:00,8684,8685,8692,0.20649,0.2053900975809668,0.2053900975809668,0.20850980483806641,stop,-0.532666191599207,-0.6126661915992071,8
1000XEC,long,2021-10-17 18:15:00+00:00,2021-10-17 18:20:00+00:00,2021-10-17 19:05:00+00:00,8709,8710,8719,0.20642,0.2053428871499591,0.2053428871499591,0.20878422570008182,stop,-0.5218064383494259,-0.6018064383494259,10
1000XEC,short,2021-10-18 14:15:00+00:00,2021-10-18 14:20:00+00:00,2021-10-18 15:40:00+00:00,8949,8950,8966,0.1967,0.19757313368638713,0.19757313368638713,0.1949537326272258,stop,-0.44192936058454757,-0.5219293605845476,17
1000XEC,short,2021-10-18 18:00:00+00:00,2021-10-18 18:05:00+00:00,2021-10-18 19:15:00+00:00,8994,8995,9009,0.19664,0.19410861710606098,0.1979206914469695,0.19410861710606098,take_profit,1.304106397582494,1.224106397582494,15
1000XEC,short,2021-10-19 14:25:00+00:00,2021-10-19 14:30:00+00:00,2021-10-19 14:35:00+00:00,9239,9240,9241,0.19302,0.19152190329172103,0.1937390483541395,0.19152190329172103,take_profit,0.7822064643943749,0.7022064643943748,2
1000XEC,long,2021-10-20 14:05:00+00:00,2021-10-20 14:10:00+00:00,2021-10-20 17:55:00+00:00,9523,9524,9569,0.19416,0.18427554524990328,0.18427554524990328,0.21359890950019345,stop,-5.090881103263656,-5.170881103263656,46
1000XEC,long,2021-10-20 19:15:00+00:00,2021-10-20 19:20:00+00:00,2021-10-20 21:30:00+00:00,9585,9586,9612,0.1878,0.19142807943900456,0.18598596028049771,0.19142807943900456,take_profit,1.9318846853059402,1.8518846853059403,27
1000XEC,long,2021-10-21 14:10:00+00:00,2021-10-21 14:15:00+00:00,2021-10-21 18:15:00+00:00,9812,9813,9861,0.19617,0.19922567147629514,0.19465716426185242,0.19922567147629514,take_profit,1.557665023344601,1.477665023344601,49
1000XEC,short,2021-10-22 14:25:00+00:00,2021-10-22 14:30:00+00:00,2021-10-22 14:40:00+00:00,10103,10104,10106,0.18944,0.1870753022329167,0.19059234888354165,0.1870753022329167,take_profit,1.264035251504847,1.184035251504847,3
1000XEC,short,2021-10-22 17:30:00+00:00,2021-10-22 17:35:00+00:00,2021-10-22 23:00:00+00:00,10140,10141,10206,0.18917,0.18641320668620484,0.19057839665689758,0.18641320668620484,take_profit,1.4788615907647351,1.398861590764735,66
1000XEC,long,2021-10-23 15:40:00+00:00,2021-10-23 15:45:00+00:00,2021-10-23 20:00:00+00:00,10406,10407,10458,0.18887,0.1880040284748945,0.1880040284748945,0.190991943050211,stop,-0.45850136342749925,-0.5385013634274993,52
1000XEC,long,2021-10-24 14:10:00+00:00,2021-10-24 14:15:00+00:00,2021-10-24 15:25:00+00:00,10676,10677,10691,0.19122,0.19038112500550658,0.19038112500550658,0.19286774998898681,stop,-0.43869626320124366,-0.5186962632012437,15
1000XEC,short,2021-10-24 15:35:00+00:00,2021-10-24 15:40:00+00:00,2021-10-24 20:40:00+00:00,10693,10694,10754,0.18995,0.18720616058603598,0.191261919706982,0.18720616058603598,take_profit,1.4656779485112237,1.3856779485112236,61
1000XEC,long,2021-10-25 16:10:00+00:00,2021-10-25 16:15:00+00:00,2021-10-25 16:25:00+00:00,10988,10989,10991,0.19167,0.1932412704328915,0.19089936478355424,0.1932412704328915,take_profit,0.8197790123083859,0.7397790123083858,3
1000XEC,long,2021-10-26 15:05:00+00:00,2021-10-26 15:10:00+00:00,2021-10-26 16:25:00+00:00,11263,11264,11279,0.19363,0.1926570998593535,0.1926570998593535,0.19554580028129295,stop,-0.5024532048992891,-0.5824532048992892,16
1000XEC,long,2021-10-26 17:00:00+00:00,2021-10-26 17:05:00+00:00,2021-10-26 18:15:00+00:00,11286,11287,11301,0.19346,0.19295879919442405,0.19295879919442405,0.19446240161115189,stop,-0.25907205912123477,-0.3390720591212348,15
1000XEC,short,2021-10-27 14:05:00+00:00,2021-10-27 14:10:00+00:00,2021-10-27 15:05:00+00:00,11539,11540,11551,0.19177,0.19014347023206507,0.19249326488396745,0.19014347023206507,take_profit,0.8554223639390734,0.7754223639390734,12
1000XEC,short,2021-10-28 15:05:00+00:00,2021-10-28 15:10:00+00:00,2021-10-28 15:55:00+00:00,11839,11840,11849,0.17016,0.17213838486964678,0.17213838486964678,0.16620323026070646,stop,-1.149299077683874,-1.2292990776838741,10
1000XEC,long,2021-10-30 14:25:00+00:00,2021-10-30 14:30:00+00:00,2021-10-30 17:55:00+00:00,12407,12408,12449,0.19138,0.18843635228782613,0.18843635228782613,0.19750729542434772,stop,-1.5381166852199146,-1.6181166852199145,42
1000XEC,short,2021-10-30 19:15:00+00:00,2021-10-30 19:20:00+00:00,2021-10-30 20:05:00+00:00,12465,12466,12475,0.18765,0.18922201108092587,0.18922201108092587,0.1845059778381483,stop,-0.8307760138187903,-0.9107760138187904,10
1000XEC,short,2021-10-31 14:10:00+00:00,2021-10-31 14:15:00+00:00,2021-10-31 14:35:00+00:00,12692,12693,12697,0.18032,0.18165289052761904,0.18165289052761904,0.17765421894476194,stop,-0.7337568500823677,-0.8137568500823678,5
1000XEC,short,2021-10-31 15:10:00+00:00,2021-10-31 15:15:00+00:00,2021-10-31 17:00:00+00:00,12704,12705,12726,0.18016,0.18197154273754548,0.18197154273754548,0.176206914524909,stop,-0.9955088088461461,-1.0755088088461462,22
