symbol,side,signal_time,entry_time,exit_time,signal_i,entry_i,exit_i,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_return_pct,net_return_pct,bars_held
1INCH,short,2020-12-26 15:30:00+00:00,2020-12-26 15:35:00+00:00,2020-12-26 15:40:00+00:00,246,247,248,1.9007,1.969613008507919,1.969613008507919,1.761973982984162,stop,-3.4988095737712555,-3.5788095737712555,2
1INCH,short,2020-12-26 15:45:00+00:00,2020-12-26 15:50:00+00:00,2020-12-26 17:50:00+00:00,249,250,274,1.9133,1.7505651022653803,1.9973674488673099,1.7505651022653803,take_profit,9.296135146532226,9.216135146532226,25
1INCH,short,2020-12-27 15:50:00+00:00,2020-12-27 15:55:00+00:00,2020-12-27 17:20:00+00:00,538,539,556,1.4243,1.3135971812007163,1.4792014093996417,1.3135971812007163,take_profit,8.427455568844454,8.347455568844456,18
1INCH,short,2020-12-28 15:30:00+00:00,2020-12-28 15:35:00+00:00,2020-12-28 15:45:00+00:00,822,823,825,1.1439,1.1786285085588408,1.1786285085588408,1.0741429828823181,stop,-2.9465186279351907,-3.0265186279351908,3
1INCH,short,2020-12-28 16:15:00+00:00,2020-12-28 16:20:00+00:00,2020-12-28 16:45:00+00:00,831,832,837,1.145,1.190430544035225,1.190430544035225,1.0541389119295501,stop,-3.81631202785071,-3.89631202785071,6
1INCH,long,2020-12-28 17:00:00+00:00,2020-12-28 17:05:00+00:00,2020-12-28 19:35:00+00:00,840,841,871,1.2358,1.17355363684094,1.17355363684094,1.36029272631812,stop,-5.036928561179799,-5.116928561179799,31
1INCH,short,2020-12-29 15:15:00+00:00,2020-12-29 15:20:00+00:00,2020-12-29 16:10:00+00:00,1107,1108,1118,0.9128,0.8726848294646032,0.9330075852676984,0.8726848294646032,take_profit,4.5967535106583135,4.516753510658313,11
1INCH,short,2020-12-29 18:05:00+00:00,2020-12-29 18:10:00+00:00,2020-12-29 18:45:00+00:00,1141,1142,1149,0.9077,0.944485823016026,0.944485823016026,0.8341283539679478,stop,-3.894798854529957,-3.9747988545299573,8
1INCH,short,2020-12-29 20:20:00+00:00,2020-12-29 20:25:00+00:00,2020-12-29 22:10:00+00:00,1168,1169,1190,0.9136,0.8477320189280436,0.9472839905359782,0.8477320189280436,take_profit,7.769906008180083,7.689906008180084,22
1INCH,short,2020-12-30 15:45:00+00:00,2020-12-30 15:50:00+00:00,2020-12-30 16:15:00+00:00,1401,1402,1407,0.8806,0.907103760937636,0.907103760937636,0.8269924781247279,stop,-2.921800358344906,-3.001800358344906,6
1INCH,short,2020-12-30 17:30:00+00:00,2020-12-30 17:35:00+00:00,2020-12-30 18:05:00+00:00,1422,1423,1429,0.8868,0.9181846372332574,0.9181846372332574,0.8204307255334854,stop,-3.418118313090912,-3.498118313090912,7
1INCH,long,2020-12-30 18:30:00+00:00,2020-12-30 18:35:00+00:00,2020-12-30 22:15:00+00:00,1434,1435,1479,0.9594,1.0233750891853024,0.9259124554073489,1.0233750891853024,take_profit,6.668239439785539,6.58823943978554,45
1INCH,long,2020-12-31 15:20:00+00:00,2020-12-31 15:25:00+00:00,2020-12-31 17:15:00+00:00,1684,1685,1707,1.2835,1.2361802913853257,1.2361802913853257,1.3796394172293487,stop,-3.686771220465479,-3.766771220465479,23
1INCH,long,2020-12-31 17:30:00+00:00,2020-12-31 17:35:00+00:00,2020-12-31 18:15:00+00:00,1710,1711,1719,1.3015,1.2352016657745997,1.2352016657745997,1.434096668450801,stop,-5.0939941779024505,-5.1739941779024505,9
