symbol,trades,wins,losses,win_rate_pct,pnl,profit_factor,long_trades,short_trades,ok,idx,file,rows,trades_processing,long_trades_processing,short_trades_processing,trade_file,status,elapsed,data_min,data_max,long_signals,short_signals,triple_long,triple_short,orb_long,orb_short,atr_array_ref
4,123,46,77,37.39837398373984,1076.1765517858876,1.6246899157904242,56,67,,,,,,,,,,,,,,,,,,,
42,90,23,67,25.555555555555554,-525.2147420821308,0.4715059193543938,44,46,,,,,,,,,,,,,,,,,,,
0G,165,55,110,33.33333333333333,-477.6294147765677,0.7287987131699664,57,108,True,1.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\0G_5m.csv,31731.0,165.0,57.0,108.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00001_0G.csv,ok,10.652842998504639,2025-09-18 00:45:00+00:00,2026-01-12 06:40:00+00:00,108.0,188.0,0.0,0.0,213.0,211.0,0.0
1000000BOB,336,105,231,31.25,-991.3595873640949,0.7181724343171303,163,173,True,2.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000BOB_5m.csv,61772.0,336.0,163.0,173.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00002_1000000BOB.csv,ok,13.228665113449097,2025-06-05 17:30:00+00:00,2026-01-12 06:50:00+00:00,307.0,358.0,0.0,0.0,427.0,474.0,0.0
1000000MOG,628,216,412,34.394904458598724,-17.366209009695922,0.9964403829981824,299,329,True,3.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000000MOG_5m.csv,122220.0,628.0,299.0,329.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00003_1000000MOG.csv,ok,18.143646001815796,2024-11-07 21:30:00+00:00,2026-01-12 07:35:00+00:00,549.0,635.0,0.0,0.0,832.0,897.0,0.0
1000BONK,1179,406,773,34.435962680237495,-403.70351478814223,0.9573465920885881,549,630,True,4.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000BONK_5m.csv,223318.0,1179.0,549.0,630.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00004_1000BONK.csv,ok,28.787788152694702,2023-11-22 23:00:00+00:00,2026-01-12 08:40:00+00:00,1101.0,1155.0,0.0,0.0,1596.0,1667.0,0.0
1000CAT,706,245,461,34.702549575070826,56.06412030082157,1.0106961012234938,339,367,True,5.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CAT_5m.csv,127118.0,706.0,339.0,367.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00005_1000CAT.csv,ok,19.144954919815063,2024-10-21 21:30:00+00:00,2026-01-12 07:40:00+00:00,652.0,735.0,1.0,0.0,921.0,987.0,0.0
1000CHEEMS,617,215,402,34.84602917341977,-516.278048327745,0.8833747862037739,294,323,True,6.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000CHEEMS_5m.csv,117043.0,617.0,294.0,323.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00006_1000CHEEMS.csv,ok,18.472012042999268,2024-11-25 20:45:00+00:00,2026-01-12 07:30:00+00:00,544.0,633.0,2.0,1.0,810.0,833.0,0.0
1000FLOKI,1377,497,880,36.09295570079884,-35.39022976319308,0.9958999144218005,661,716,True,7.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000FLOKI_5m.csv,280908.0,1377.0,661.0,716.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00007_1000FLOKI.csv,ok,33.51246523857117,2023-05-07 01:30:00+00:00,2026-01-12 09:30:00+00:00,1259.0,1441.0,0.0,1.0,1876.0,2138.0,0.0
1000LUNC,1829,591,1238,32.312739201749594,-1342.923970600609,0.8709237298657463,930,899,True,8.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000LUNC_5m.csv,351511.0,1829.0,930.0,899.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00008_1000LUNC.csv,ok,41.09099268913269,2022-09-09 22:00:00+00:00,2026-01-12 10:30:00+00:00,1756.0,1820.0,0.0,0.0,2431.0,2683.0,0.0
1000PEPE,1385,512,873,36.96750902527076,558.7750634903507,1.059520924908221,717,668,True,9.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000PEPE_5m.csv,281198.0,1385.0,717.0,668.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00009_1000PEPE.csv,ok,34.1861686706543,2023-05-06 01:30:00+00:00,2026-01-12 09:35:00+00:00,1403.0,1326.0,1.0,0.0,2001.0,1975.0,0.0
1000RATS,1153,336,817,29.141370338248045,-2663.656496195592,0.7678063196341435,554,599,True,10.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000RATS_5m.csv,216690.0,1153.0,554.0,599.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00010_1000RATS.csv,ok,28.521910905838013,2023-12-15 23:00:00+00:00,2026-01-12 08:30:00+00:00,1123.0,1217.0,1.0,0.0,1588.0,1707.0,0.0
1000SATS,1093,351,742,32.11344922232388,-960.5550443117476,0.8956263482393202,551,542,True,11.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SATS_5m.csv,217554.0,1093.0,551.0,542.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00011_1000SATS.csv,ok,22.86168885231018,2023-12-12 23:00:00+00:00,2026-01-12 08:30:00+00:00,1263.0,1200.0,0.0,0.0,1641.0,1589.0,0.0
1000SHIB,2492,864,1628,34.67094703049759,-955.2961036257167,0.9330267551659525,1288,1204,True,12.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000SHIB_5m.csv,491726.0,2492.0,1288.0,1204.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00012_1000SHIB.csv,ok,42.37332320213318,2021-05-11 02:35:00+00:00,2026-01-12 11:40:00+00:00,2475.0,2337.0,1.0,0.0,3518.0,3561.0,0.0
1000WHY,591,186,405,31.472081218274113,-706.2059895607042,0.877980930602602,314,277,True,13.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000WHY_5m.csv,117046.0,591.0,314.0,277.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00013_1000WHY.csv,ok,11.353967428207397,2024-11-25 20:30:00+00:00,2026-01-12 07:30:00+00:00,824.0,660.0,0.0,0.0,1044.0,860.0,0.0
1000X,565,177,388,31.327433628318584,-876.9221260642605,0.7914182674465873,269,296,True,14.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000X_5m.csv,120492.0,565.0,269.0,296.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00014_1000X.csv,ok,12.064300537109375,2024-11-13 21:30:00+00:00,2026-01-12 07:35:00+00:00,521.0,623.0,0.0,0.0,769.0,830.0,0.0
1000XEC,2433,831,1602,34.1553637484587,-1672.2819888137178,0.8666022572636755,1211,1222,True,15.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1000XEC_5m.csv,454450.0,2433.0,1211.0,1222.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00015_1000XEC.csv,ok,38.18617486953735,2021-09-17 12:30:00+00:00,2026-01-12 11:15:00+00:00,2358.0,2369.0,3.0,0.0,3359.0,3277.0,0.0
1INCH,2782,915,1867,32.89000718907261,-1491.5430280866926,0.9134902188968034,1473,1309,True,16.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1INCH_5m.csv,530997.0,2782.0,1473.0,1309.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00016_1INCH.csv,ok,37.23916935920715,2020-12-25 19:00:00+00:00,2026-01-12 12:40:00+00:00,2855.0,2512.0,2.0,0.0,4050.0,3778.0,0.0
1MBABYDOGE,749,254,495,33.91188251001335,-635.7831658634038,0.8667537253117555,381,368,True,17.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\1MBABYDOGE_5m.csv,137212.0,749.0,381.0,368.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00017_1MBABYDOGE.csv,ok,12.261714696884155,2024-09-16 20:35:00+00:00,2026-01-12 07:45:00+00:00,730.0,688.0,0.0,0.0,1000.0,983.0,0.0
2Z,124,53,71,42.74193548387097,307.86802450717084,1.4425413963938485,41,83,True,18.0,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\2Z_5m.csv,27450.0,124.0,41.0,83.0,local_results\fabio_scalper_v10_20files_20260607_075131\_symbol_trade_parts\00018_2Z.csv,ok,2.9266722202301025,2025-10-02 21:30:00+00:00,2026-01-12 06:35:00+00:00,89.0,175.0,0.0,0.0,171.0,212.0,0.0
