axis,baseline_version,strategy,symbol,side,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,score,same_bar,side_trade_id
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,RIVER,long,131,132,133,1767265200000000000,1767265500000000000,9.913,9.98154296102107,0.006114451833054613,stop,0.7339922181729978,False,1
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,Q,long,143,144,146,1767268800000000000,1767269400000000000,0.015555,0.01565242045922781,0.005462967484912174,stop,0.7846401115935209,False,2
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,EPT,long,146,147,148,1767269700000000000,1767270000000000000,0.002021,0.002027692451698094,0.00251145556560819,stop,2.156160500061463,False,3
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,HOME,long,159,160,160,1767273600000000000,1767273600000000000,0.01945,0.01903286457808409,-0.02224655125531658,stop,1.9665076541147,True,4
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,CLO,long,173,174,185,1767277800000000000,1767281100000000000,0.4071,0.4084528904461892,0.002523238629794112,stop,0.7495063645812576,False,5
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,RIVER,long,173,174,175,1767277800000000000,1767278100000000000,7.843,7.911664710857533,0.00795490384515265,stop,0.8292469201267018,False,6
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,LAB,long,175,176,182,1767278400000000000,1767280200000000000,0.11717,0.11745497684125887,0.0016321655821359923,stop,3.2913200801042186,False,7
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,FOLKS,long,181,182,184,1767280200000000000,1767280800000000000,3.993,4.002594684045392,0.0016028760444259057,stop,1.5446053178912944,False,8
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,BEAT,long,207,208,208,1767288000000000000,1767288000000000000,1.3322,1.3123781277091717,-0.01567905141182133,stop,2.53810534453291,True,9
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,NAORIS,long,215,216,233,1767290400000000000,1767295500000000000,0.03953,0.03987,0.0078010624841892365,time,1.1674740247277116,False,10
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,Q,long,221,222,223,1767292200000000000,1767292500000000000,0.015896,0.015973591918708473,0.00408122286792092,stop,1.2691399006382427,False,11
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,TRUTH,long,225,226,226,1767293400000000000,1767293400000000000,0.008557,0.00840903324213849,-0.018091896442855113,stop,3.8130186006242246,True,12
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,BROCCOLIF3B,long,244,245,245,1767299100000000000,1767299100000000000,0.005961,0.005802128461921669,-0.027451826552311907,stop,1.3092338786161024,True,13
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,LIGHT,long,252,253,253,1767301500000000000,1767301500000000000,1.85,1.7000527120587317,-0.08185258807636128,stop,4.038352465815712,True,14
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,1000CAT,long,254,255,256,1767302100000000000,1767302400000000000,0.002722,0.00272571081705119,0.0005632685713409475,stop,2.0494138878556654,False,15
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,MUBARAK,long,254,255,256,1767302100000000000,1767302400000000000,0.01783,0.017880884585642173,0.002053874685483815,stop,0.9580504466089809,False,16
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,COOKIE,long,255,256,257,1767302400000000000,1767302700000000000,0.04163,0.04173268082236418,0.0016665102657741578,stop,2.2789065631952012,False,17
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,FOLKS,long,255,256,257,1767302400000000000,1767302700000000000,3.859,3.8676259015098116,0.0014352685954423191,stop,2.6449409344692167,False,18
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,PLAY,long,255,256,256,1767302400000000000,1767302400000000000,0.04871,0.04811303217070368,-0.013055549769992214,stop,6.380578337847558,True,19
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,TA,long,255,256,257,1767302400000000000,1767302700000000000,0.02525,0.025321685603073685,0.002039033785096312,stop,2.012956490743043,False,20
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,TANSSI,long,255,256,273,1767302400000000000,1767307500000000000,0.01189,0.01214,0.020226072329688895,time,3.045974331588474,False,21
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,BEAT,long,256,257,258,1767302700000000000,1767303000000000000,1.0172,1.0233248942690945,0.005221327437174983,stop,0.6781341550593201,False,22
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,DMC,long,256,257,260,1767302700000000000,1767303600000000000,0.001288,0.001291058199436149,0.001574378444214953,stop,1.2752601919616229,False,23
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,TLM,long,257,258,275,1767303000000000000,1767308100000000000,0.002785,0.002832,0.016076122082585267,time,2.2139268472765856,False,24
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,TAKE,long,258,259,276,1767303300000000000,1767308400000000000,0.0834,0.0858,0.02797697841726623,time,0.8434163428271123,False,25
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,LYN,long,260,261,278,1767303900000000000,1767309000000000000,0.15254,0.15869,0.03951729382457061,time,1.305141612913947,False,26
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,SQD,long,260,261,262,1767303900000000000,1767304200000000000,0.08215,0.08233032209048144,0.0013950345767673963,stop,1.9140749703959317,False,27
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,CC,long,277,278,278,1767309000000000000,1767309000000000000,0.16515,0.1621240862966525,-0.019122214370859678,stop,2.002039910556007,True,28
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,LIGHT,long,306,307,322,1767317700000000000,1767322200000000000,0.5766,0.5813075514106393,0.0073643278020104844,stop,2.448087974982944,False,29
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,BAN,long,322,323,323,1767322500000000000,1767322500000000000,0.06856,0.06749994517468769,-0.01626170982077466,stop,1.226351664987702,True,30
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,Q,long,344,345,346,1767329100000000000,1767329400000000000,0.017864,0.018051512460313557,0.009696667057409148,stop,0.6073196405698688,False,31
long_max2,long_max2/v2,V34_RETEST_V33_TOP_WEAK_E1_CLOSE_000_BE_NEXT,A2Z,long,385,386,387,1767341400000000000,1767341700000000000,0.001827,0.0018342064320637996,0.0031444072598793235,stop,1.488253813405895,False,32
