combo,run_label,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,split_n,rank_metric,rank_by_final_return,mdd_limit
short_max_v12_L20_SPLIT700,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,22.236190996381588,22.330544331892277,4.869434925045809,116.37373808219647,25,62,0,0,True,False,20.0,0.0014285714285714286,0.02857142857142857,0.0004,700,22.236190996381588,78,5
short_max_v12_L3_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,51.36025652527743,51.6057612115812,9.959987016188393,136.50584707911415,25,62,0,0,True,False,3.0,0.02,0.06,0.0004,50,51.36025652527743,48,10
short_max_v12_L25_SPLIT300,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,76.59933781551504,76.99735876863826,13.567279218728501,152.9836328947225,25,62,0,0,True,False,25.0,0.0033333333333333335,0.08333333333333334,0.0004,300,76.59933781551504,37,15
short_max_v12_L25_SPLIT200,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,130.60082278869257,131.38106397217894,19.663012405625665,185.88457665906074,25,62,0,0,True,False,25.0,0.005,0.125,0.0004,200,130.60082278869257,25,20
short_max_v12_L12_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,186.28652132272623,187.52726307203562,24.459112053351447,217.20064761331184,25,62,0,0,True,False,12.0,0.013333333333333334,0.16,0.0004,75,186.28652132272623,18,25
short_max_v12_L10_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,263.66085285858395,265.63251729583266,29.600408972557048,257.40379683961083,25,62,0,0,True,False,10.0,0.02,0.2,0.0004,50,263.66085285858395,12,30
short_max_v12_L20_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,432.59534814102676,436.45057243133135,37.42392319860899,335.68972220613165,25,62,0,0,True,False,20.0,0.013333333333333334,0.26666666666666666,0.0004,75,432.59534814102676,8,40
short_max_v12_L25_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,665.0459581179084,671.9774635386476,44.40092428192965,429.2123344792916,25,62,0,0,True,False,25.0,0.013333333333333334,0.33333333333333337,0.0004,75,665.0459581179084,5,50
short_max_v12_L25_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,1658.3013734022795,1682.277104607856,58.70282222536801,736.0301443264701,25,62,0,0,True,False,25.0,0.02,0.5,0.0004,50,1658.3013734022795,2,60
short_max_v12_L30_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,2672.1043657217056,2717.5549733164103,65.49539992930282,972.186075314866,25,62,0,0,True,False,30.0,0.02,0.6,0.0004,50,2672.1043657217056,1,70
short_max_v12_L30_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,2672.1043657217056,2717.5549733164103,65.49539992930282,972.186075314866,25,62,0,0,True,False,30.0,0.02,0.6,0.0004,50,2672.1043657217056,1,80
