combo,run_label,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,split_n,rank_metric,rank_by_final_return
short_max_v12_L30_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,2672.1043657217056,2717.5549733164103,65.49539992930282,972.186075314866,25,62,0,0,True,False,30.0,0.02,0.6,0.0004,50,2672.1043657217056,1
short_max_v12_L25_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,1658.3013734022795,1682.277104607856,58.70282222536801,736.0301443264701,25,62,0,0,True,False,25.0,0.02,0.5,0.0004,50,1658.3013734022795,2
short_max_v12_L20_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,979.9190568244576,991.6759046697744,50.62057984409605,539.0632317076534,25,62,0,0,True,False,20.0,0.02,0.4,0.0004,50,979.9190568244576,3
short_max_v12_L30_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,979.9190568244576,991.6759046697744,50.62057984409605,539.0632317076534,25,62,0,0,True,False,30.0,0.013333333333333334,0.4,0.0004,75,979.9190568244576,4
short_max_v12_L25_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,665.0459581179084,671.9774635386476,44.40092428192965,429.2123344792916,25,62,0,0,True,False,25.0,0.013333333333333334,0.33333333333333337,0.0004,75,665.0459581179084,5
short_max_v12_L15_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,539.7897075524992,545.0032251612726,41.01243929918855,380.4716689641972,25,62,0,0,True,False,15.0,0.02,0.3,0.0004,50,539.7897075524992,6
short_max_v12_L30_SPLIT100,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,539.7897075524992,545.0032251612726,41.01243929918855,380.4716689641972,25,62,0,0,True,False,30.0,0.01,0.3,0.0004,100,539.7897075524992,7
short_max_v12_L20_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,432.59534814102676,436.45057243133135,37.42392319860899,335.68972220613165,25,62,0,0,True,False,20.0,0.013333333333333334,0.26666666666666666,0.0004,75,432.59534814102676,8
short_max_v12_L25_SPLIT100,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,385.06265874677644,388.35327368799886,35.55110323315611,314.73829721668096,25,62,0,0,True,False,25.0,0.01,0.25,0.0004,100,385.06265874677644,9
short_max_v12_L12_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,358.332009654755,361.31632054264344,34.40142209676738,302.6169459114923,25,62,0,0,True,False,12.0,0.02,0.24,0.0004,50,358.332009654755,10
short_max_v12_L30_SPLIT125,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,358.332009654755,361.31632054264344,34.40142209676738,302.6169459114923,25,62,0,0,True,False,30.0,0.008,0.24,0.0004,125,358.332009654755,11
short_max_v12_L10_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,263.66085285858395,265.63251729583266,29.600408972557048,257.40379683961083,25,62,0,0,True,False,10.0,0.02,0.2,0.0004,50,263.66085285858395,12
short_max_v12_L15_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,263.66085285858395,265.63251729583266,29.600408972557048,257.40379683961083,25,62,0,0,True,False,15.0,0.013333333333333334,0.2,0.0004,75,263.66085285858395,13
short_max_v12_L20_SPLIT100,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,263.66085285858395,265.63251729583266,29.600408972557048,257.40379683961083,25,62,0,0,True,False,20.0,0.01,0.2,0.0004,100,263.66085285858395,14
short_max_v12_L25_SPLIT125,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,263.66085285858395,265.63251729583266,29.600408972557048,257.40379683961083,25,62,0,0,True,False,25.0,0.008,0.2,0.0004,125,263.66085285858395,15
short_max_v12_L30_SPLIT150,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,263.66085285858395,265.63251729583266,29.600408972557048,257.40379683961083,25,62,0,0,True,False,30.0,0.006666666666666667,0.2,0.0004,150,263.66085285858395,16
