run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,comp_n,atr_ratio_max,range_ratio_max,body_ratio_max,vol_ratio_max,release_range_min,release_body_min,release_vol_min,close_pos_min,upper_wick_max,ret1_min,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,rsi_min,rsi_max,ema20_min,ema50_min,ema100_min,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,verdict,note
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_001,balanced_compression_release,atr_range_body_vol_balanced,long,1994,733,1261,36.76028084252758,-1.8254859519076128,0.0,6.595708743143069,93.40429125685694,597,0,0.01,0.0004,0.08,CR21_A_001,48,0.7,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,1.6,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_002,balanced_compression_release,atr_range_body_vol_balanced,long,1994,642,1352,32.19658976930793,-2.091911367608379,0.0,7.034487286271074,92.96551271372893,597,0,0.01,0.0004,0.08,CR21_A_002,48,0.7,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_003,balanced_compression_release,atr_range_body_vol_balanced,long,1994,590,1404,29.58876629889669,-2.208919567033163,0.0,7.239131786675069,92.76086821332493,597,0,0.01,0.0004,0.08,CR21_A_003,48,0.7,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.4,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_004,balanced_compression_release,atr_range_body_vol_balanced,long,8732,3294,5438,37.72331653687586,-7.3169260311789275,0.0,23.860907055363832,76.13909294463616,597,0,0.01,0.0004,0.08,CR21_A_004,48,0.78,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,1.6,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_005,balanced_compression_release,atr_range_body_vol_balanced,long,8732,2888,5844,33.07375171781952,-7.932405125374419,0.0,25.203039689847383,74.79696031015261,597,0,0.01,0.0004,0.08,CR21_A_005,48,0.78,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_006,balanced_compression_release,atr_range_body_vol_balanced,long,8732,2667,6065,30.54283096655978,-7.878565876583677,0.0,25.824152855694514,74.17584714430548,597,0,0.01,0.0004,0.08,CR21_A_006,48,0.78,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.4,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_007,balanced_compression_release,atr_range_body_vol_balanced,long,28542,10772,17770,37.74087309929227,-21.752067827007547,0.0,58.137585439508264,41.862414560491736,597,0,0.01,0.0004,0.08,CR21_A_007,48,0.86,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,1.6,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_008,balanced_compression_release,atr_range_body_vol_balanced,long,28542,9477,19065,33.20369981080513,-22.496335517781464,0.0,60.37550418249279,39.62449581750721,597,0,0.01,0.0004,0.08,CR21_A_008,48,0.86,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_A_009,balanced_compression_release,atr_range_body_vol_balanced,long,28542,8727,19815,30.575993273071262,-22.375446386833996,0.0,61.545578322618276,38.454421677381724,597,0,0.01,0.0004,0.08,CR21_A_009,48,0.86,0.82,0.85,0.92,1.15,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.4,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_010,atr_compression_release,atr_compression_range_release,long,409,118,291,28.850855745721272,-0.6610874751752149,0.0,1.6010621599311659,98.39893784006884,597,0,0.01,0.0004,0.08,CR21_B_010,48,0.6,0.82,1.1,1.2,1.05,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_011,atr_compression_release,atr_compression_range_release,long,275,82,193,29.818181818181817,-0.35649575583722726,0.0,1.0497512781269536,98.95024872187305,597,0,0.01,0.0004,0.08,CR21_B_011,48,0.6,0.82,1.1,1.2,1.2,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_012,atr_compression_release,atr_compression_range_release,long,132,46,86,34.84848484848485,-0.050972431651341576,0.0,0.46087973095945145,99.53912026904055,597,0,0.01,0.0004,0.08,CR21_B_012,48,0.6,0.82,1.1,1.2,1.4,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_013,atr_compression_release,atr_compression_range_release,long,4088,1318,2770,32.240704500978474,-4.232833739317632,0.0,13.14591210063445,86.85408789936555,597,0,0.01,0.0004,0.08,CR21_B_013,48,0.7,0.82,1.1,1.2,1.05,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_014,atr_compression_release,atr_compression_range_release,long,2853,907,1946,31.791097090781633,-3.3069980110907338,0.0,9.585145905165515,90.41485409483448,597,0,0.01,0.0004,0.08,CR21_B_014,48,0.7,0.82,1.1,1.2,1.2,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_015,atr_compression_release,atr_compression_range_release,long,1498,485,1013,32.37650200267023,-1.7672896946486105,0.0,5.25120861522137,94.74879138477863,597,0,0.01,0.0004,0.08,CR21_B_015,48,0.7,0.82,1.1,1.2,1.4,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_016,atr_compression_release,atr_compression_range_release,long,24662,8259,16403,33.48876814532479,-19.48445649956625,0.0,53.63318365012415,46.36681634987585,597,0,0.01,0.0004,0.08,CR21_B_016,48,0.8,0.82,1.1,1.2,1.05,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_017,atr_compression_release,atr_compression_range_release,long,17356,5792,11564,33.37174464162249,-14.795854068709701,0.0,42.11311607395775,57.88688392604225,597,0,0.01,0.0004,0.08,CR21_B_017,48,0.8,0.82,1.1,1.2,1.2,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_018,atr_compression_release,atr_compression_range_release,long,9476,3204,6272,33.81173490924441,-8.459975094428252,0.0,25.896483989654428,74.10351601034557,597,0,0.01,0.0004,0.08,CR21_B_018,48,0.8,0.82,1.1,1.2,1.4,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_019,atr_compression_release,atr_compression_range_release,long,84634,28205,56429,33.32585013115296,-52.04094212225283,0.0,92.6661701518011,7.333829848198903,597,0,0.01,0.0004,0.08,CR21_B_019,48,0.9,0.82,1.1,1.2,1.05,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_020,atr_compression_release,atr_compression_range_release,long,60746,20219,40527,33.28449609850854,-41.007732074360426,0.0,84.96954349799303,15.030456502006972,597,0,0.01,0.0004,0.08,CR21_B_020,48,0.9,0.82,1.1,1.2,1.2,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_B_021,atr_compression_release,atr_compression_range_release,long,34165,11472,22693,33.578223327967216,-24.53682159945797,0.0,65.63496646903018,34.365033530969825,597,0,0.01,0.0004,0.08,CR21_B_021,48,0.9,0.82,1.1,1.2,1.4,0.55,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_022,range_body_compression,range_body_release,long,538,211,327,39.21933085501858,0.6867165531660779,0.6867165531660779,2.103194515737028,98.5690790525442,597,0,0.01,0.0004,0.08,CR21_C_022,48,0.82,0.6,0.65,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,mdd_under5,official candidate pool
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_023,range_body_compression,range_body_release,long,610,232,378,38.0327868852459,0.5559377640110386,0.5559377640110386,2.376423243850523,98.16630308591522,597,0,0.01,0.0004,0.08,CR21_C_023,48,0.82,0.6,0.8,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,mdd_under5,official candidate pool
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_024,range_body_compression,range_body_release,long,614,233,381,37.94788273615635,0.5495688824104672,0.5495688824104672,2.3849278667570473,98.15153419422978,597,0,0.01,0.0004,0.08,CR21_C_024,48,0.82,0.6,0.95,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,mdd_under5,official candidate pool
LONG_COMPRESSION_RELEASE_V21_1H,CR21_C_025,range_body_compression,range_body_release,long,2807,942,1865,33.5589597434984,-1.8900657692611622,0.0,9.907073800774002,90.092926199226,597,0,0.01,0.0004,0.08,CR21_C_025,48,0.82,0.72,0.65,0.92,1.1,0.45,1.05,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
