run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,min_market_count,breadth20_min,breadth60_min,mret20_min,mret20_max,mret60_min,mret60_max,prev_res20_max,prev_res60_max,cur_res20_min,cur_res60_min,d_res20_min,d_res60_min,rel_ret1_min,rel_ret5_min,xret20_min,xret20_max,xret60_min,xret60_max,ret5_min,ret20_min,ret60_min,ret120_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,volr_min,volr_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,close_pos_min,upper_wick_max,body_atr_max,fail_bars,fail_pnl,verdict,note
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_001_D2012_RR150_H8,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_001_D2012_RR150_H8,0.95,1.5,8,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.012,0.006,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_002_D2012_RR150_H12,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_002_D2012_RR150_H12,0.95,1.5,12,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.012,0.006,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_003_D2012_RR200_H8,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_003_D2012_RR200_H8,0.95,2.0,8,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.012,0.006,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_004_D2012_RR200_H12,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_004_D2012_RR200_H12,0.95,2.0,12,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.012,0.006,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_005_D2012_RR260_H8,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_005_D2012_RR260_H8,0.95,2.6,8,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.012,0.006,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_006_D2012_RR260_H12,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_006_D2012_RR260_H12,0.95,2.6,12,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.012,0.006,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_007_D2020_RR150_H8,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_007_D2020_RR150_H8,0.95,1.5,8,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.02,0.008,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_008_D2020_RR150_H12,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_008_D2020_RR150_H12,0.95,1.5,12,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.02,0.008,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_009_D2020_RR200_H8,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_009_D2020_RR200_H8,0.95,2.0,8,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.02,0.008,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
LONG_CROSS_SECTIONAL_DECOUPLING_RECOUPLING_V10_1H,XDR_A_010_D2020_RR200_H12,residual20_recoupling,market_relative_residual20_recovers,long,0,0,0,0.0,0.0,0.0,0.0,100.0,597,0,0.01,0.0004,0.08,XDR_A_010_D2020_RR200_H12,0.95,2.0,12,24,80,0.34,0.28,-0.045,0.045,-0.1,0.12,-0.02,-0.035,-0.004,-0.012,0.02,0.008,-0.001,0.0,0.25,0.72,0.2,0.78,-0.08,-0.18,-0.3,-0.65,0.18,0.42,0.001,0.08,0.2,0.34,0.3,3.8,28.0,68.0,0.88,0.82,0.72,0.52,0.72,2.3,4,-0.38,invalid_zero_trade,0 trades
