run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,stop_atr,rr,hold,cooldown,entry_kind,min_market_count,breadth20_min,breadth60_min,market_ret20_median_min,market_ret60_median_min,xrank_ret20_min,xrank_ret60_min,xrank_ret120_min,xrank_dd20_min,xrank_dd60_min,xsafe_atrp_min,xsafe_range20_min,ret20_min,ret60_min,ret120_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,volr_min,volr_max,rsi_min,rsi_max,ema20_pos_min,ema50_pos_min,ema100_pos_min,close_pos_min,upper_wick_max,body_atr_max,fail_bars,fail_pnl,verdict,note
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_B_036_DD6085_S125_RR240,relative_safety,less_drawdown_relative_safety,long,17421,9265,8156,53.182940129728486,42.8255356575131,42.8255356575131,29.912141282022866,100.10335964483185,597,0,0.01,0.0004,0.08,XSL_B_036_DD6085_S125_RR240,1.25,2.4,24,24,close_above_prev,80,0.38,0.32,-0.03,-0.08,0.45,0.5,0.4,0.6,0.85,0.25,0.25,-0.03,-0.06,-0.08,0.28,0.7,0.001,0.08,0.18,0.3,0.3,3.0,35.0,68.0,0.95,0.9,0.88,0.45,0.7,1.8,7,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_B_034_DD6085_S105_RR240,relative_safety,less_drawdown_relative_safety,long,17849,9030,8819,50.59106952770463,27.25896132055514,27.25896132055514,28.25043649998109,91.30774926215621,597,0,0.01,0.0004,0.08,XSL_B_034_DD6085_S105_RR240,1.05,2.4,24,24,close_above_prev,80,0.38,0.32,-0.03,-0.08,0.45,0.5,0.4,0.6,0.85,0.25,0.25,-0.03,-0.06,-0.08,0.28,0.7,0.001,0.08,0.18,0.3,0.3,3.0,35.0,68.0,0.95,0.9,0.88,0.45,0.7,1.8,7,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_B_035_DD6085_S125_RR180,relative_safety,less_drawdown_relative_safety,long,17781,10086,7695,56.72346887126708,24.88621066919261,24.88621066919261,28.608796643162492,89.15776862349179,597,0,0.01,0.0004,0.08,XSL_B_035_DD6085_S125_RR180,1.25,1.8,24,24,close_above_prev,80,0.38,0.32,-0.03,-0.08,0.45,0.5,0.4,0.6,0.85,0.25,0.25,-0.03,-0.06,-0.08,0.28,0.7,0.001,0.08,0.18,0.3,0.3,3.0,35.0,68.0,0.95,0.9,0.88,0.45,0.7,1.8,7,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_C_045_SAFE65_RR260,relative_strength_safe_vol,relative_strength_with_safer_volatility,long,12953,5962,6991,46.0279471937003,8.663723409016466,8.663723409016466,19.166148081452484,87.83707326962443,597,0,0.01,0.0004,0.08,XSL_C_045_SAFE65_RR260,1.0,2.6,30,24,close_above_prev,80,0.42,0.36,-0.015,-0.04,0.62,0.68,0.48,0.55,0.55,0.65,0.65,-0.02,-0.03,-0.08,0.28,0.7,0.001,0.06,0.14,0.25,0.3,2.4,35.0,72.0,0.97,0.94,0.88,0.45,0.7,1.8,8,-0.52,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_B_032_DD6085_S85_RR240,relative_safety,less_drawdown_relative_safety,long,18346,8793,9553,47.928703804644066,15.062722430856624,15.062722430856624,26.18196420957003,84.93704162545284,597,0,0.01,0.0004,0.08,XSL_B_032_DD6085_S85_RR240,0.85,2.4,24,24,close_above_prev,80,0.38,0.32,-0.03,-0.08,0.45,0.5,0.4,0.6,0.85,0.25,0.25,-0.03,-0.06,-0.08,0.28,0.7,0.001,0.08,0.18,0.3,0.3,3.0,35.0,68.0,0.95,0.9,0.88,0.45,0.7,1.8,7,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_B_033_DD6085_S105_RR180,relative_safety,less_drawdown_relative_safety,long,18170,9935,8235,54.67804072647221,15.656168658985269,15.656168658985269,26.65157697603544,84.83197584130244,597,0,0.01,0.0004,0.08,XSL_B_033_DD6085_S105_RR180,1.05,1.8,24,24,close_above_prev,80,0.38,0.32,-0.03,-0.08,0.45,0.5,0.4,0.6,0.85,0.25,0.25,-0.03,-0.06,-0.08,0.28,0.7,0.001,0.08,0.18,0.3,0.3,3.0,35.0,68.0,0.95,0.9,0.88,0.45,0.7,1.8,7,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_C_044_SAFE65_RR200,relative_strength_safe_vol,relative_strength_with_safer_volatility,long,13193,6505,6688,49.30645039035853,3.419460861280732,3.419460861280732,18.432391065582053,84.35678139741289,597,0,0.01,0.0004,0.08,XSL_C_044_SAFE65_RR200,1.0,2.0,30,24,close_above_prev,80,0.42,0.36,-0.015,-0.04,0.62,0.68,0.48,0.55,0.55,0.65,0.65,-0.02,-0.03,-0.08,0.28,0.7,0.001,0.06,0.14,0.25,0.3,2.4,35.0,72.0,0.97,0.94,0.88,0.45,0.7,1.8,8,-0.52,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_B_031_DD6085_S85_RR180,relative_safety,less_drawdown_relative_safety,long,18620,9589,9031,51.498388829215905,6.077798960770298,6.077798960770298,24.862120773747264,79.70460846901076,597,0,0.01,0.0004,0.08,XSL_B_031_DD6085_S85_RR180,0.85,1.8,24,24,close_above_prev,80,0.38,0.32,-0.03,-0.08,0.45,0.5,0.4,0.6,0.85,0.25,0.25,-0.03,-0.06,-0.08,0.28,0.7,0.001,0.08,0.18,0.3,0.3,3.0,35.0,68.0,0.95,0.9,0.88,0.45,0.7,1.8,7,-0.5,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_C_042_SAFE50_RR260,relative_strength_safe_vol,relative_strength_with_safer_volatility,long,23060,10590,12470,45.923677363399825,21.905833606988235,21.905833606988235,34.73351077046745,79.56365776127686,597,0,0.01,0.0004,0.08,XSL_C_042_SAFE50_RR260,1.0,2.6,30,24,close_above_prev,80,0.42,0.36,-0.015,-0.04,0.62,0.68,0.48,0.55,0.55,0.5,0.5,-0.02,-0.03,-0.08,0.28,0.7,0.001,0.06,0.14,0.25,0.3,2.4,35.0,72.0,0.97,0.94,0.88,0.45,0.7,1.8,8,-0.52,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_C_041_SAFE50_RR200,relative_strength_safe_vol,relative_strength_with_safer_volatility,long,23591,11591,12000,49.13314399559154,10.051082958410573,10.051082958410573,33.64880803776232,73.02020531025643,597,0,0.01,0.0004,0.08,XSL_C_041_SAFE50_RR200,1.0,2.0,30,24,close_above_prev,80,0.42,0.36,-0.015,-0.04,0.62,0.68,0.48,0.55,0.55,0.5,0.5,-0.02,-0.03,-0.08,0.28,0.7,0.001,0.06,0.14,0.25,0.3,2.4,35.0,72.0,0.97,0.94,0.88,0.45,0.7,1.8,8,-0.52,valid_any_mdd,research only; MDD >= 5
LONG_CROSS_SECTIONAL_RELATIVE_SAFETY_V7_LOWMEM_1H,XSL_C_039_SAFE35_RR260,relative_strength_safe_vol,relative_strength_with_safer_volatility,long,32953,15011,17942,45.55275695687798,40.984529935151045,40.984529935151045,49.230298675554174,71.57742476175011,597,0,0.01,0.0004,0.08,XSL_C_039_SAFE35_RR260,1.0,2.6,30,24,close_above_prev,80,0.42,0.36,-0.015,-0.04,0.62,0.68,0.48,0.55,0.55,0.35,0.35,-0.02,-0.03,-0.08,0.28,0.7,0.001,0.06,0.14,0.25,0.3,2.4,35.0,72.0,0.97,0.94,0.88,0.45,0.7,1.8,8,-0.52,valid_any_mdd,research only; MDD >= 5
